t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit,duration_unit
1519237458,22,0.001000,0.000055,0.000000,0.000228,0.000000,0.000000,0.001000,0.001000,0.001000,0.001000,0.031260,0.000023,0.029050,0.104269,calls/second,seconds
1519241058,6,0.001000,0.000196,0.000000,0.000397,0.000000,0.000000,0.001000,0.001000,0.001000,0.001000,0.008439,0.000003,0.020811,0.093990,calls/second,seconds
1519241958,19,0.001000,0.000000,0.000000,0.000006,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.026749,0.086017,0.051297,0.106501,calls/second,seconds
1519242858,8,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.031794,0.011288,0.101941,0.158826,calls/second,seconds
1519243758,3,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.003886,0.000002,0.046849,0.256449,calls/second,seconds
1519373358,5,0.001000,0.000209,0.000000,0.000407,0.000000,0.000000,0.001000,0.001000,0.001000,0.001000,0.021766,0.007303,0.102794,0.160167,calls/second,seconds
1519380373,8,0.001000,0.000165,0.000000,0.000371,0.000000,0.000000,0.001000,0.001000,0.001000,0.001000,0.158004,0.350793,0.532366,0.576211,calls/second,seconds
1519381976,102,0.001000,0.000047,0.000000,0.000211,0.000000,0.000000,0.000000,0.001000,0.001000,0.001000,0.124438,0.127295,0.363279,1.685839,calls/second,seconds
1519382876,82,0.001000,0.000071,0.000000,0.000257,0.000000,0.000000,0.001000,0.001000,0.001000,0.001000,0.093151,0.125032,0.117590,0.210394,calls/second,seconds
1519383776,82,0.001000,0.000027,0.000000,0.000161,0.000000,0.000000,0.000000,0.001000,0.001000,0.001000,0.093172,0.137510,0.121940,0.211119,calls/second,seconds
1519384676,80,0.001000,0.000003,0.000000,0.000056,0.000000,0.000000,0.000000,0.000000,0.000000,0.001000,0.090916,0.135189,0.115003,0.209386,calls/second,seconds
1519385576,82,0.001000,0.000021,0.000000,0.000144,0.000000,0.000000,0.000000,0.001000,0.001000,0.001000,0.093205,0.135183,0.115058,0.210080,calls/second,seconds
1519386476,82,0.001000,0.000139,0.000000,0.000346,0.000000,0.000000,0.001000,0.001000,0.001000,0.001000,0.093221,0.133753,0.115667,0.210460,calls/second,seconds
1519387376,82,0.001000,0.000140,0.000000,0.000347,0.000000,0.000000,0.001000,0.001000,0.001000,0.001000,0.093235,0.133786,0.116998,0.210947,calls/second,seconds
1519388276,84,0.001000,0.000066,0.000000,0.000248,0.000000,0.000000,0.001000,0.001000,0.001000,0.001000,0.095524,0.134462,0.120220,0.212637,calls/second,seconds
1519389176,82,0.001000,0.000015,0.000000,0.000122,0.000000,0.000000,0.000000,0.000000,0.001000,0.001000,0.093266,0.148023,0.123843,0.212269,calls/second,seconds
1519390076,78,0.001000,0.000068,0.000000,0.000251,0.000000,0.000000,0.001000,0.001000,0.001000,0.001000,0.088731,0.133751,0.114047,0.208259,calls/second,seconds
1519390976,82,0.001000,0.000015,0.000000,0.000121,0.000000,0.000000,0.000000,0.000000,0.001000,0.001000,0.093298,0.133751,0.114933,0.210058,calls/second,seconds
1519391876,84,0.001000,0.000019,0.000000,0.000138,0.000000,0.000000,0.000000,0.000000,0.001000,0.001000,0.095585,0.133754,0.116459,0.211552,calls/second,seconds
1519392776,82,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.093328,0.136888,0.117195,0.210971,calls/second,seconds
1519393676,82,0.001000,0.000028,0.000000,0.000165,0.000000,0.000000,0.000000,0.001000,0.001000,0.001000,0.093329,0.134462,0.119423,0.211542,calls/second,seconds
1519394576,82,0.001000,0.000138,0.000000,0.000345,0.000000,0.000000,0.001000,0.001000,0.001000,0.001000,0.093332,0.148023,0.123843,0.212269,calls/second,seconds
1519395476,80,0.001000,0.000019,0.000000,0.000137,0.000000,0.000000,0.000000,0.000000,0.001000,0.001000,0.091057,0.133752,0.114832,0.209346,calls/second,seconds
1519396376,82,0.001000,0.000001,0.000000,0.000032,0.000000,0.000000,0.000000,0.000000,0.000000,0.001000,0.093336,0.133751,0.114940,0.210063,calls/second,seconds
1519397276,82,0.001000,0.000067,0.000000,0.000250,0.000000,0.000000,0.001000,0.001000,0.001000,0.001000,0.093337,0.133753,0.115690,0.210470,calls/second,seconds
1519398176,82,0.001000,0.000138,0.000000,0.000345,0.000000,0.000000,0.001000,0.001000,0.001000,0.001000,0.092996,0.123868,0.115162,0.209799,calls/second,seconds
1519399076,84,0.001000,0.000005,0.000000,0.000069,0.000000,0.000000,0.000000,0.000000,0.000000,0.001000,0.094137,0.104767,0.114442,0.209140,calls/second,seconds
1519399976,82,0.001000,0.000088,0.000000,0.000283,0.000000,0.000000,0.001000,0.001000,0.001000,0.001000,0.093360,0.142938,0.122964,0.212067,calls/second,seconds
1519400876,62,0.001000,0.000005,0.000000,0.000069,0.000000,0.000000,0.000000,0.000000,0.000000,0.001000,0.070577,0.007026,0.069155,0.191496,calls/second,seconds
1519662441,26,0.001000,0.000050,0.000000,0.000217,0.000000,0.000000,0.000000,0.001000,0.001000,0.001000,0.029375,0.000005,0.059840,0.386710,calls/second,seconds
1519664145,151,0.001000,0.000426,0.000000,0.000495,0.000000,0.001000,0.001000,0.001000,0.001000,0.001000,0.187443,0.156072,0.260492,0.834815,calls/second,seconds
