t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit,duration_unit
1515094161,2,0.005000,0.005000,0.005000,0.000000,0.005000,0.005000,0.005000,0.005000,0.005000,0.005000,0.011296,0.023527,0.226965,0.331151,calls/second,seconds
1515100461,5,0.004000,0.002974,0.002000,0.000977,0.003000,0.004000,0.004000,0.004000,0.004000,0.004000,0.005846,0.000001,0.024485,0.157070,calls/second,seconds
1515104961,3,0.004000,0.003537,0.002000,0.000844,0.004000,0.004000,0.004000,0.004000,0.004000,0.004000,0.012942,0.010348,0.190822,0.312438,calls/second,seconds
1515158061,3,0.004000,0.002784,0.002000,0.000976,0.002000,0.004000,0.004000,0.004000,0.004000,0.004000,0.037636,0.130955,0.319508,0.371110,calls/second,seconds
1515158961,5,0.004000,0.002005,0.002000,0.000099,0.002000,0.002000,0.002000,0.002000,0.002000,0.004000,0.006275,0.000080,0.030972,0.168234,calls/second,seconds
1516971447,2,0.004000,0.003000,0.002000,0.001000,0.004000,0.004000,0.004000,0.004000,0.004000,0.004000,0.004270,0.000187,0.086326,0.239931,calls/second,seconds
1517224347,2,0.003000,0.002000,0.001000,0.001000,0.003000,0.003000,0.003000,0.003000,0.003000,0.003000,0.002865,0.000004,0.040104,0.185824,calls/second,seconds
1519235658,1,0.004000,0.004000,0.004000,0.000000,0.004000,0.004000,0.004000,0.004000,0.004000,0.004000,0.020634,0.102683,0.175035,0.191306,calls/second,seconds
1519237458,2,0.001000,0.001000,0.001000,0.000000,0.001000,0.001000,0.001000,0.001000,0.001000,0.001000,0.003157,0.000012,0.049806,0.199741,calls/second,seconds
1519243758,2,0.001000,0.001000,0.001000,0.000000,0.001000,0.001000,0.001000,0.001000,0.001000,0.001000,0.003038,0.000008,0.045824,0.194269,calls/second,seconds
1519264458,4,0.002000,0.001006,0.001000,0.000078,0.001000,0.001000,0.001000,0.001000,0.001000,0.002000,0.012190,0.021329,0.143644,0.282457,calls/second,seconds
1519388276,2,0.004000,0.002500,0.001000,0.001500,0.004000,0.004000,0.004000,0.004000,0.004000,0.004000,0.002577,0.000001,0.030716,0.170019,calls/second,seconds
