t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit,duration_unit
1513089954,20,0.026000,0.001550,0.000000,0.005626,0.000000,0.001000,0.001000,0.026000,0.026000,0.026000,0.042107,0.001723,0.848992,2.386022,calls/second,seconds
1513110998,20,0.049000,0.003350,0.000000,0.010527,0.001000,0.001000,0.005000,0.049000,0.049000,0.049000,0.024111,0.000005,0.260009,1.608309,calls/second,seconds
1513248006,20,0.031000,0.002500,0.000000,0.006682,0.001000,0.001000,0.006000,0.031000,0.031000,0.031000,0.024253,0.000005,0.264379,1.617269,calls/second,seconds
1513267498,20,0.027000,0.001750,0.000000,0.005821,0.000000,0.001000,0.002000,0.027000,0.027000,0.027000,0.025373,0.000009,0.297094,1.681402,calls/second,seconds
1515080661,20,0.039000,0.002700,0.000000,0.008373,0.001000,0.001000,0.004000,0.039000,0.039000,0.039000,0.024159,0.000005,0.260009,1.608309,calls/second,seconds
1515769897,20,0.051000,0.003150,0.000000,0.011015,0.001000,0.001000,0.004000,0.051000,0.051000,0.051000,0.024515,0.000005,0.268822,1.626279,calls/second,seconds
1515781585,20,0.034000,0.002100,0.000000,0.007341,0.000000,0.001000,0.002000,0.034000,0.034000,0.034000,0.024989,0.000007,0.282605,1.653610,calls/second,seconds
1515782918,20,0.039000,0.002800,0.000000,0.008328,0.001000,0.001000,0.003000,0.039000,0.039000,0.039000,0.024660,0.000006,0.273340,1.635339,calls/second,seconds
1516041169,20,0.021000,0.001300,0.000000,0.004551,0.000000,0.000000,0.002000,0.021000,0.021000,0.021000,0.023648,0.000003,0.243240,1.572963,calls/second,seconds
1516877847,20,0.039000,0.002650,0.000000,0.008368,0.001000,0.001000,0.003000,0.039000,0.039000,0.039000,0.024333,0.000005,0.264379,1.617269,calls/second,seconds
1517522958,20,0.038000,0.002300,0.000000,0.008210,0.000000,0.001000,0.002000,0.038000,0.038000,0.038000,0.023779,0.000004,0.247328,1.581726,calls/second,seconds
1519237458,969,0.459000,0.000417,0.000000,0.003808,0.000000,0.001000,0.001000,0.001000,0.001000,0.030000,1.374892,0.715206,1.409424,1.840792,calls/second,seconds
1519238358,213,0.001000,0.000256,0.000000,0.000437,0.000000,0.001000,0.001000,0.001000,0.001000,0.001000,0.235303,0.314175,0.269508,0.230675,calls/second,seconds
