t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit,duration_unit
1513705173,1,0.089000,0.089000,0.089000,0.000000,0.089000,0.089000,0.089000,0.089000,0.089000,0.089000,0.001389,0.000001,0.018759,0.090870,calls/second,seconds
1513708773,8,2.756000,0.487636,0.019000,0.891769,0.029000,0.525000,2.756000,2.756000,2.756000,2.756000,0.012654,0.000048,0.199223,0.798963,calls/second,seconds
1515094161,1,0.086000,0.086000,0.086000,0.000000,0.086000,0.086000,0.086000,0.086000,0.086000,0.086000,0.008780,0.034755,0.140938,0.177976,calls/second,seconds
1515100461,1,0.026000,0.026000,0.026000,0.000000,0.026000,0.026000,0.026000,0.026000,0.026000,0.026000,0.001245,0.000000,0.014130,0.082681,calls/second,seconds
1515104961,37,0.778000,0.163387,0.006000,0.177011,0.151000,0.181000,0.692000,0.778000,0.778000,0.778000,0.115231,0.060580,0.137656,0.173822,calls/second,seconds
1515115761,5,0.145000,0.057216,0.008000,0.053674,0.021000,0.089000,0.145000,0.145000,0.145000,0.145000,0.044111,0.048171,0.150612,0.181970,calls/second,seconds
1515116661,9,0.179000,0.042082,0.009000,0.055045,0.018000,0.021000,0.179000,0.179000,0.179000,0.179000,0.035481,0.009358,0.187668,0.310710,calls/second,seconds
1515122961,1,0.008000,0.008000,0.008000,0.000000,0.008000,0.008000,0.008000,0.008000,0.008000,0.008000,0.001514,0.000004,0.022533,0.096596,calls/second,seconds
1515158061,5,0.150000,0.067997,0.007000,0.065164,0.023000,0.141000,0.150000,0.150000,0.150000,0.150000,0.012639,0.000419,0.058263,0.132583,calls/second,seconds
1515158961,119,0.311000,0.064505,0.008000,0.061507,0.042000,0.093000,0.154000,0.311000,0.311000,0.311000,0.154635,0.005517,0.466352,2.129582,calls/second,seconds
1515159861,14,0.194000,0.046502,0.007000,0.060485,0.018000,0.077000,0.194000,0.194000,0.194000,0.194000,0.028195,0.002781,0.055149,0.126283,calls/second,seconds
1515169761,14,0.208000,0.045335,0.007000,0.061796,0.016000,0.018000,0.200000,0.200000,0.200000,0.208000,0.016182,0.000008,0.016293,0.083812,calls/second,seconds
1515170661,32,0.297000,0.073518,0.007000,0.082589,0.017000,0.196000,0.235000,0.235000,0.235000,0.235000,0.057320,0.030479,0.106594,0.241212,calls/second,seconds
1515194061,5,0.183000,0.081254,0.007000,0.081038,0.018000,0.172000,0.183000,0.183000,0.183000,0.183000,0.008394,0.000015,0.029921,0.106167,calls/second,seconds
1515194961,10,0.237000,0.096722,0.007000,0.101085,0.016000,0.200000,0.237000,0.237000,0.237000,0.237000,0.035314,0.016839,0.175315,0.302035,calls/second,seconds
1515195861,9,0.194000,0.053060,0.007000,0.060300,0.018000,0.090000,0.194000,0.194000,0.194000,0.194000,0.011226,0.000001,0.030004,0.168637,calls/second,seconds
1516971447,9,3.560000,0.532897,0.010000,1.101204,0.203000,0.223000,3.560000,3.560000,3.560000,3.560000,0.017889,0.000470,0.345690,1.038510,calls/second,seconds
1517224347,15,0.301000,0.119815,0.011000,0.091812,0.090000,0.181000,0.301000,0.301000,0.301000,0.301000,0.022284,0.000046,0.326915,1.432933,calls/second,seconds
1518701058,9,5.201000,0.817262,0.006000,1.618281,0.221000,0.551000,5.201000,5.201000,5.201000,5.201000,0.015035,0.000067,0.169318,0.624720,calls/second,seconds
1519235658,39,16.248000,0.401501,0.006000,2.039090,0.061000,0.122000,0.339000,4.053000,16.248000,16.248000,0.335938,0.257131,0.240957,0.216301,calls/second,seconds
1519237458,12,1.181000,0.221466,0.005000,0.303376,0.164000,0.223000,1.181000,1.181000,1.181000,1.181000,0.019487,0.000092,0.314156,1.218586,calls/second,seconds
1519249158,1,1.614000,1.614000,1.614000,0.000000,1.614000,1.614000,1.614000,1.614000,1.614000,1.614000,0.001515,0.000004,0.022533,0.096596,calls/second,seconds
1519264458,69,8.162000,0.378109,0.005000,1.187637,0.073000,0.151000,3.302000,5.616000,5.987000,8.162000,0.353843,0.435778,2.453000,3.609886,calls/second,seconds
1519265358,2,0.037000,0.021500,0.006000,0.015500,0.037000,0.037000,0.037000,0.037000,0.037000,0.037000,0.002229,0.000000,0.020590,0.148796,calls/second,seconds
1519388276,1,0.405000,0.405000,0.405000,0.000000,0.405000,0.405000,0.405000,0.405000,0.405000,0.405000,0.001247,0.000000,0.014130,0.082681,calls/second,seconds
