t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit,duration_unit
1513089954,1,0.001000,0.001000,0.001000,0.000000,0.001000,0.001000,0.001000,0.001000,0.001000,0.001000,0.004236,0.004327,0.092912,0.154897,calls/second,seconds
1513110998,1,0.002000,0.002000,0.002000,0.000000,0.002000,0.002000,0.002000,0.002000,0.002000,0.002000,0.001305,0.000001,0.015879,0.085959,calls/second,seconds
1513248006,1,0.002000,0.002000,0.002000,0.000000,0.002000,0.002000,0.002000,0.002000,0.002000,0.002000,0.001374,0.000001,0.018144,0.089866,calls/second,seconds
1513267498,1,0.001000,0.001000,0.001000,0.000000,0.001000,0.001000,0.001000,0.001000,0.001000,0.001000,0.001849,0.000027,0.033615,0.110374,calls/second,seconds
1515080661,1,0.002000,0.002000,0.002000,0.000000,0.002000,0.002000,0.002000,0.002000,0.002000,0.002000,0.001370,0.000001,0.017844,0.089368,calls/second,seconds
1515769897,1,0.003000,0.003000,0.003000,0.000000,0.003000,0.003000,0.003000,0.003000,0.003000,0.003000,0.001485,0.000003,0.021794,0.095529,calls/second,seconds
1515781585,1,0.002000,0.002000,0.002000,0.000000,0.002000,0.002000,0.002000,0.002000,0.002000,0.002000,0.003223,0.001240,0.072360,0.142512,calls/second,seconds
1515782918,1,0.003000,0.003000,0.003000,0.000000,0.003000,0.003000,0.003000,0.003000,0.003000,0.003000,0.001796,0.000021,0.031976,0.108549,calls/second,seconds
1516041169,1,0.001000,0.001000,0.001000,0.000000,0.001000,0.001000,0.001000,0.001000,0.001000,0.001000,0.001221,0.000000,0.013441,0.081314,calls/second,seconds
1516042069,1,0.001000,0.001000,0.001000,0.000000,0.001000,0.001000,0.001000,0.001000,0.001000,0.001000,0.002772,0.000539,0.061251,0.134811,calls/second,seconds
1516877847,1,0.001000,0.001000,0.001000,0.000000,0.001000,0.001000,0.001000,0.001000,0.001000,0.001000,0.001493,0.000003,0.022161,0.096061,calls/second,seconds
1517522958,1,0.002000,0.002000,0.002000,0.000000,0.002000,0.002000,0.002000,0.002000,0.002000,0.002000,0.001231,0.000000,0.013667,0.081767,calls/second,seconds
1519237458,2,0.001000,0.000489,0.000000,0.000500,0.000000,0.001000,0.001000,0.001000,0.001000,0.001000,0.016165,0.058839,0.272634,0.352020,calls/second,seconds
1519241058,2,0.001000,0.001000,0.001000,0.000000,0.001000,0.001000,0.001000,0.001000,0.001000,0.001000,0.019913,0.082116,0.291429,0.359930,calls/second,seconds
1519241958,2,0.001000,0.000451,0.000000,0.000498,0.000000,0.001000,0.001000,0.001000,0.001000,0.001000,0.002433,0.000000,0.013445,0.081316,calls/second,seconds
1519242858,17,0.001000,0.000502,0.000000,0.000500,0.001000,0.001000,0.001000,0.001000,0.001000,0.001000,0.020907,0.027133,0.053750,0.254573,calls/second,seconds
1519381976,1,0.001000,0.001000,0.001000,0.000000,0.001000,0.001000,0.001000,0.001000,0.001000,0.001000,0.001458,0.000002,0.020731,0.093950,calls/second,seconds
1519661541,1,0.002000,0.002000,0.002000,0.000000,0.002000,0.002000,0.002000,0.002000,0.002000,0.002000,0.001487,0.000003,0.021794,0.095529,calls/second,seconds
1519664145,1,0.002000,0.002000,0.002000,0.000000,0.002000,0.002000,0.002000,0.002000,0.002000,0.002000,0.001406,0.000002,0.019074,0.091376,calls/second,seconds
