t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit,duration_unit
1513099854,1,0.002000,0.002000,0.002000,0.000000,0.002000,0.002000,0.002000,0.002000,0.002000,0.002000,0.001371,0.000001,0.018144,0.089866,calls/second,seconds
1513703373,1,0.002000,0.002000,0.002000,0.000000,0.002000,0.002000,0.002000,0.002000,0.002000,0.002000,0.001703,0.000013,0.028933,0.104991,calls/second,seconds
1515094161,1,0.005000,0.005000,0.005000,0.000000,0.005000,0.005000,0.005000,0.005000,0.005000,0.005000,0.005035,0.008429,0.106164,0.161937,calls/second,seconds
1516971447,1,0.002000,0.002000,0.002000,0.000000,0.002000,0.002000,0.002000,0.002000,0.002000,0.002000,0.001934,0.000041,0.036537,0.113483,calls/second,seconds
1518701058,1,0.002000,0.002000,0.002000,0.000000,0.002000,0.002000,0.002000,0.002000,0.002000,0.002000,0.001644,0.000009,0.027067,0.102683,calls/second,seconds
1519234758,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.002527,0.000301,0.054506,0.129669,calls/second,seconds
1519254558,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.001484,0.000003,0.021794,0.095529,calls/second,seconds
1519381976,1,0.001000,0.001000,0.001000,0.000000,0.001000,0.001000,0.001000,0.001000,0.001000,0.001000,0.001466,0.000003,0.021080,0.094473,calls/second,seconds
1519661541,1,0.002000,0.002000,0.002000,0.000000,0.002000,0.002000,0.002000,0.002000,0.002000,0.002000,0.001700,0.000013,0.028933,0.104991,calls/second,seconds
1519664145,1,0.005000,0.005000,0.005000,0.000000,0.005000,0.005000,0.005000,0.005000,0.005000,0.005000,0.001738,0.000015,0.029914,0.106164,calls/second,seconds
