t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit,duration_unit
1519237458,5,0.001000,0.000661,0.000000,0.000474,0.001000,0.001000,0.001000,0.001000,0.001000,0.001000,0.007459,0.000007,0.023589,0.097799,calls/second,seconds
1519241058,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.001487,0.000003,0.021794,0.095529,calls/second,seconds
1519241958,3,0.008000,0.001078,0.000000,0.002731,0.000000,0.000000,0.008000,0.008000,0.008000,0.008000,0.004842,0.002172,0.028396,0.102519,calls/second,seconds
1519242858,2,0.009000,0.007910,0.007000,0.000996,0.007000,0.009000,0.009000,0.009000,0.009000,0.009000,0.012360,0.016531,0.121340,0.169302,calls/second,seconds
1519243758,1,0.008000,0.008000,0.008000,0.000000,0.008000,0.008000,0.008000,0.008000,0.008000,0.008000,0.001296,0.000001,0.015616,0.085483,calls/second,seconds
1519373358,1,0.008000,0.008000,0.008000,0.000000,0.008000,0.008000,0.008000,0.008000,0.008000,0.008000,0.004797,0.007135,0.102683,0.160147,calls/second,seconds
1519380373,2,0.009000,0.008663,0.008000,0.000473,0.009000,0.009000,0.009000,0.009000,0.009000,0.009000,0.039628,0.109186,0.175393,0.191348,calls/second,seconds
1519381976,47,0.015000,0.007657,0.006000,0.001435,0.008000,0.008000,0.010000,0.010000,0.012000,0.015000,0.057358,0.063644,0.141074,0.598518,calls/second,seconds
1519382876,41,0.012000,0.007254,0.007000,0.000515,0.007000,0.007000,0.008000,0.008000,0.008000,0.012000,0.046582,0.062516,0.058793,0.105196,calls/second,seconds
1519383776,41,0.017000,0.007348,0.006000,0.000845,0.007000,0.008000,0.009000,0.009000,0.009000,0.009000,0.046592,0.074730,0.061995,0.106148,calls/second,seconds
1519384676,40,0.052000,0.007107,0.007000,0.000653,0.007000,0.007000,0.008000,0.008000,0.008000,0.009000,0.045464,0.067594,0.057495,0.104688,calls/second,seconds
1519385576,41,0.015000,0.008494,0.007000,0.002289,0.008000,0.008000,0.014000,0.015000,0.015000,0.015000,0.046608,0.067589,0.057517,0.105036,calls/second,seconds
1519386476,41,0.011000,0.007137,0.006000,0.000628,0.007000,0.008000,0.008000,0.008000,0.008000,0.008000,0.046618,0.066876,0.057833,0.105230,calls/second,seconds
1519387376,41,0.009000,0.007146,0.006000,0.000367,0.007000,0.007000,0.008000,0.008000,0.008000,0.009000,0.046623,0.066893,0.058499,0.105473,calls/second,seconds
1519388276,42,0.016000,0.007004,0.006000,0.000132,0.007000,0.007000,0.007000,0.007000,0.007000,0.008000,0.047767,0.067231,0.060110,0.106318,calls/second,seconds
1519389176,41,0.014000,0.007563,0.006000,0.000709,0.007000,0.008000,0.009000,0.009000,0.009000,0.009000,0.046639,0.074012,0.061922,0.106135,calls/second,seconds
1519390076,39,0.010000,0.007032,0.007000,0.000208,0.007000,0.007000,0.007000,0.008000,0.008000,0.009000,0.044371,0.066875,0.057020,0.104127,calls/second,seconds
1519390976,41,0.009000,0.007131,0.006000,0.000353,0.007000,0.007000,0.008000,0.008000,0.008000,0.009000,0.046654,0.066876,0.057465,0.105028,calls/second,seconds
1519391876,42,0.014000,0.007467,0.006000,0.000880,0.007000,0.008000,0.009000,0.009000,0.009000,0.009000,0.047799,0.066877,0.058228,0.105775,calls/second,seconds
1519392776,41,0.010000,0.007985,0.006000,0.001177,0.007000,0.009000,0.010000,0.010000,0.010000,0.010000,0.046670,0.066203,0.058290,0.105428,calls/second,seconds
1519393676,41,0.015000,0.007172,0.006000,0.000873,0.007000,0.008000,0.008000,0.009000,0.009000,0.015000,0.046670,0.067231,0.059712,0.105771,calls/second,seconds
1519394576,41,0.012000,0.007494,0.006000,0.001318,0.007000,0.007000,0.011000,0.011000,0.011000,0.012000,0.046671,0.074012,0.061922,0.106135,calls/second,seconds
1519395476,40,0.011000,0.007097,0.006000,0.000399,0.007000,0.007000,0.008000,0.008000,0.008000,0.008000,0.045534,0.066875,0.057369,0.104651,calls/second,seconds
1519396376,41,0.014000,0.007501,0.006000,0.001076,0.007000,0.008000,0.010000,0.011000,0.012000,0.012000,0.046674,0.066394,0.057320,0.104986,calls/second,seconds
1519397276,41,0.016000,0.007063,0.006000,0.000564,0.007000,0.007000,0.008000,0.008000,0.008000,0.014000,0.046674,0.066865,0.057752,0.105201,calls/second,seconds
1519398176,41,0.015000,0.008973,0.006000,0.002706,0.008000,0.009000,0.014000,0.014000,0.014000,0.014000,0.046503,0.062322,0.057606,0.104903,calls/second,seconds
1519399076,42,0.011000,0.007189,0.006000,0.000435,0.007000,0.007000,0.008000,0.008000,0.008000,0.011000,0.047074,0.052258,0.057067,0.104524,calls/second,seconds
1519399976,41,0.014000,0.007945,0.006000,0.002348,0.007000,0.007000,0.013000,0.013000,0.013000,0.014000,0.046686,0.071382,0.061461,0.106030,calls/second,seconds
1519400876,31,0.017000,0.011344,0.006000,0.004322,0.011000,0.017000,0.017000,0.017000,0.017000,0.017000,0.035293,0.003513,0.034557,0.095736,calls/second,seconds
1519662441,6,0.008000,0.000524,0.000000,0.001979,0.000000,0.000000,0.008000,0.008000,0.008000,0.008000,0.006780,0.000001,0.022958,0.153336,calls/second,seconds
1519664145,68,0.002000,0.000261,0.000000,0.000448,0.000000,0.001000,0.001000,0.001000,0.001000,0.002000,0.084415,0.078035,0.107965,0.291303,calls/second,seconds
