t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit,duration_unit
1513099854,2,0.014000,0.007000,0.000000,0.007000,0.014000,0.014000,0.014000,0.014000,0.014000,0.014000,0.002743,0.000002,0.036287,0.179732,calls/second,seconds
1513703373,3,0.005000,0.002000,0.000000,0.000084,0.002000,0.002000,0.002000,0.002000,0.002000,0.002000,0.005073,0.003891,0.031423,0.105999,calls/second,seconds
1513818573,2,0.001000,0.000011,0.000000,0.000102,0.000000,0.000000,0.000000,0.000000,0.001000,0.001000,0.002623,0.000009,0.016871,0.087106,calls/second,seconds
1515094161,2,0.020000,0.010595,0.002000,0.008991,0.002000,0.020000,0.020000,0.020000,0.020000,0.020000,0.009847,0.008429,0.106164,0.161937,calls/second,seconds
1515100461,1,0.001000,0.001000,0.001000,0.000000,0.001000,0.001000,0.001000,0.001000,0.001000,0.001000,0.001142,0.000000,0.011005,0.076070,calls/second,seconds
1515154461,1,0.001000,0.001000,0.001000,0.000000,0.001000,0.001000,0.001000,0.001000,0.001000,0.001000,0.001789,0.000021,0.031976,0.108549,calls/second,seconds
1515158061,1,0.001000,0.001000,0.001000,0.000000,0.001000,0.001000,0.001000,0.001000,0.001000,0.001000,0.010336,0.044626,0.148164,0.180967,calls/second,seconds
1515509061,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.001270,0.000000,0.014855,0.084070,calls/second,seconds
1515531561,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.002761,0.000539,0.061251,0.134811,calls/second,seconds
1516971447,2,0.002000,0.002000,0.002000,0.000000,0.002000,0.002000,0.002000,0.002000,0.002000,0.002000,0.003841,0.000075,0.071866,0.225708,calls/second,seconds
1517223447,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.003845,0.002853,0.085483,0.150654,calls/second,seconds
1518701058,2,0.002000,0.000985,0.000000,0.001000,0.000000,0.002000,0.002000,0.002000,0.002000,0.002000,0.003276,0.000017,0.053239,0.204229,calls/second,seconds
1519234758,2,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.005046,0.000601,0.109013,0.259338,calls/second,seconds
1519235658,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.005735,0.012786,0.115390,0.166498,calls/second,seconds
1519236558,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.006661,0.017844,0.123345,0.170239,calls/second,seconds
1519241058,1,0.001000,0.001000,0.001000,0.000000,0.001000,0.001000,0.001000,0.001000,0.001000,0.001000,0.005550,0.010823,0.111607,0.164658,calls/second,seconds
1519242858,1,0.001000,0.001000,0.001000,0.000000,0.001000,0.001000,0.001000,0.001000,0.001000,0.001000,0.001354,0.000001,0.017549,0.088873,calls/second,seconds
1519243758,3,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.004341,0.000004,0.021269,0.094557,calls/second,seconds
1519248258,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.006471,0.017844,0.123345,0.170239,calls/second,seconds
1519252758,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.001558,0.000005,0.024086,0.098767,calls/second,seconds
1519254558,4,0.001000,0.000115,0.000000,0.000319,0.000000,0.000000,0.001000,0.001000,0.001000,0.001000,0.005930,0.000035,0.045079,0.192398,calls/second,seconds
1519255458,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.001124,0.000000,0.010644,0.075229,calls/second,seconds
1519263558,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.130134,0.200000,0.200000,0.200000,calls/second,seconds
1519264458,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.001512,0.000004,0.022533,0.096596,calls/second,seconds
1519306758,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.002087,0.000079,0.041748,0.118640,calls/second,seconds
