t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit,duration_unit
1513089954,61,0.770000,0.025339,0.016000,0.055001,0.021000,0.022000,0.024000,0.034000,0.034000,0.770000,0.249419,0.103473,0.645679,0.973509,calls/second,seconds
1513090854,20,0.036000,0.024434,0.019000,0.006276,0.021000,0.022000,0.036000,0.036000,0.036000,0.036000,0.026968,0.052519,0.077408,0.278872,calls/second,seconds
1513091754,20,0.023000,0.020775,0.020000,0.000813,0.021000,0.021000,0.022000,0.022000,0.022000,0.022000,0.026961,0.052572,0.077469,0.278888,calls/second,seconds
1513092654,20,0.021000,0.020241,0.019000,0.000428,0.020000,0.020000,0.021000,0.021000,0.021000,0.021000,0.026961,0.053515,0.077477,0.278885,calls/second,seconds
1513093554,20,0.022000,0.020915,0.019000,0.000726,0.021000,0.021000,0.022000,0.022000,0.022000,0.022000,0.026959,0.053518,0.077493,0.278889,calls/second,seconds
1513094454,20,0.057000,0.021061,0.019000,0.004535,0.020000,0.022000,0.022000,0.022000,0.057000,0.057000,0.026959,0.053567,0.077513,0.278890,calls/second,seconds
1513095354,20,0.024000,0.020286,0.020000,0.000484,0.020000,0.021000,0.021000,0.021000,0.022000,0.022000,0.026961,0.052519,0.077416,0.278875,calls/second,seconds
1513096254,20,0.053000,0.020933,0.019000,0.000721,0.021000,0.021000,0.022000,0.022000,0.022000,0.022000,0.026961,0.052520,0.077425,0.278879,calls/second,seconds
1513097154,20,0.022000,0.020945,0.019000,0.000731,0.021000,0.021000,0.022000,0.022000,0.022000,0.022000,0.026962,0.052522,0.077432,0.278879,calls/second,seconds
1513098054,20,0.022000,0.019793,0.019000,0.000450,0.020000,0.020000,0.020000,0.020000,0.021000,0.022000,0.026959,0.052522,0.077441,0.278883,calls/second,seconds
1513098954,20,0.022000,0.020483,0.019000,0.000500,0.020000,0.021000,0.021000,0.021000,0.021000,0.021000,0.026957,0.053567,0.077521,0.278894,calls/second,seconds
1513099854,39,0.022000,0.020274,0.019000,0.000481,0.020000,0.021000,0.021000,0.021000,0.022000,0.022000,0.052568,0.053517,0.083076,0.288289,calls/second,seconds
1513100754,20,0.022000,0.020481,0.019000,0.000529,0.020000,0.021000,0.021000,0.021000,0.022000,0.022000,0.026959,0.052522,0.077432,0.278879,calls/second,seconds
1513101654,20,0.022000,0.020450,0.019000,0.001089,0.020000,0.021000,0.022000,0.022000,0.022000,0.022000,0.026954,0.053567,0.077513,0.278890,calls/second,seconds
1513102554,20,0.023000,0.019549,0.019000,0.000614,0.019000,0.020000,0.020000,0.021000,0.022000,0.022000,0.026957,0.053518,0.077493,0.278889,calls/second,seconds
1513103454,20,0.093000,0.020086,0.019000,0.002583,0.020000,0.020000,0.021000,0.021000,0.021000,0.093000,0.026956,0.052572,0.077469,0.278888,calls/second,seconds
1513104354,20,0.103000,0.041172,0.019000,0.036429,0.020000,0.103000,0.103000,0.103000,0.103000,0.103000,0.026959,0.052519,0.077416,0.278875,calls/second,seconds
1513105254,12,0.022000,0.020499,0.020000,0.000856,0.020000,0.021000,0.022000,0.022000,0.022000,0.022000,0.016176,0.000133,0.057934,0.270948,calls/second,seconds
1513110998,87,0.109000,0.042797,0.027000,0.014516,0.043000,0.059000,0.068000,0.068000,0.068000,0.068000,0.110807,0.052291,0.218312,0.970823,calls/second,seconds
1513111898,20,0.125000,0.060834,0.026000,0.030020,0.059000,0.059000,0.125000,0.125000,0.125000,0.125000,0.024841,0.026446,0.049959,0.177942,calls/second,seconds
1513112798,20,0.062000,0.058230,0.025000,0.004412,0.058000,0.059000,0.062000,0.062000,0.062000,0.062000,0.024839,0.026784,0.050020,0.177955,calls/second,seconds
1513113698,20,0.061000,0.046127,0.026000,0.013315,0.050000,0.058000,0.058000,0.058000,0.058000,0.060000,0.024840,0.026447,0.049971,0.177946,calls/second,seconds
1513114598,20,0.127000,0.057957,0.027000,0.004765,0.059000,0.061000,0.061000,0.061000,0.061000,0.061000,0.024839,0.026801,0.050043,0.177959,calls/second,seconds
1513115498,20,0.065000,0.050955,0.025000,0.011457,0.059000,0.059000,0.060000,0.060000,0.060000,0.060000,0.024839,0.026784,0.050013,0.177952,calls/second,seconds
1513116398,20,0.062000,0.034601,0.026000,0.011967,0.030000,0.032000,0.056000,0.057000,0.059000,0.061000,0.024842,0.026463,0.049982,0.177947,calls/second,seconds
1513117298,20,0.062000,0.049646,0.026000,0.012030,0.057000,0.057000,0.057000,0.062000,0.062000,0.062000,0.024839,0.026446,0.049959,0.177942,calls/second,seconds
1513118198,20,0.125000,0.041395,0.026000,0.009175,0.040000,0.040000,0.057000,0.057000,0.057000,0.058000,0.024838,0.026464,0.050001,0.177954,calls/second,seconds
1513119098,20,0.070000,0.058412,0.025000,0.005672,0.056000,0.056000,0.070000,0.070000,0.070000,0.070000,0.024838,0.026784,0.050020,0.177955,calls/second,seconds
1513119998,20,0.131000,0.050945,0.026000,0.017889,0.057000,0.057000,0.057000,0.131000,0.131000,0.131000,0.024837,0.026801,0.050043,0.177959,calls/second,seconds
1513120898,20,0.062000,0.048865,0.026000,0.012902,0.057000,0.057000,0.061000,0.061000,0.062000,0.062000,0.024837,0.026800,0.050023,0.177953,calls/second,seconds
1513121798,20,0.061000,0.054325,0.026000,0.007100,0.058000,0.058000,0.058000,0.058000,0.058000,0.061000,0.024838,0.026800,0.050023,0.177953,calls/second,seconds
1513122698,20,0.066000,0.051963,0.025000,0.011324,0.056000,0.060000,0.060000,0.060000,0.060000,0.060000,0.024841,0.026446,0.049959,0.177942,calls/second,seconds
1513123598,20,0.098000,0.050563,0.027000,0.011320,0.056000,0.056000,0.062000,0.062000,0.062000,0.062000,0.024840,0.026446,0.049959,0.177942,calls/second,seconds
1513124498,20,0.119000,0.051099,0.025000,0.012666,0.057000,0.057000,0.060000,0.060000,0.119000,0.119000,0.024836,0.026784,0.050020,0.177955,calls/second,seconds
1513125398,20,0.120000,0.049074,0.026000,0.012833,0.057000,0.058000,0.058000,0.061000,0.062000,0.062000,0.024841,0.026446,0.049959,0.177942,calls/second,seconds
1513126298,20,0.144000,0.054502,0.026000,0.004199,0.056000,0.056000,0.056000,0.059000,0.059000,0.059000,0.024836,0.026801,0.050043,0.177959,calls/second,seconds
1513127198,20,0.059000,0.050324,0.025000,0.008353,0.056000,0.057000,0.057000,0.057000,0.057000,0.059000,0.024840,0.026801,0.050043,0.177959,calls/second,seconds
1513128098,20,0.070000,0.056863,0.029000,0.004189,0.058000,0.058000,0.061000,0.061000,0.070000,0.070000,0.024837,0.026784,0.050020,0.177955,calls/second,seconds
