t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit,duration_unit
1513099854,1,0.020000,0.020000,0.020000,0.000000,0.020000,0.020000,0.020000,0.020000,0.020000,0.020000,0.001372,0.000001,0.018144,0.089866,calls/second,seconds
1513703373,3,0.059000,0.041495,0.025000,0.016993,0.025000,0.059000,0.059000,0.059000,0.059000,0.059000,0.005112,0.007459,0.033872,0.107002,calls/second,seconds
1513818573,3,0.061000,0.057900,0.055000,0.002994,0.055000,0.061000,0.061000,0.061000,0.061000,0.061000,0.003930,0.000016,0.017584,0.087771,calls/second,seconds
1515094161,1,0.029000,0.029000,0.029000,0.000000,0.029000,0.029000,0.029000,0.029000,0.029000,0.029000,0.005053,0.008429,0.106164,0.161937,calls/second,seconds
1515100461,3,0.066000,0.063439,0.041000,0.006948,0.066000,0.066000,0.066000,0.066000,0.066000,0.066000,0.003381,0.000000,0.011131,0.076151,calls/second,seconds
1515154461,1,0.027000,0.027000,0.027000,0.000000,0.027000,0.027000,0.027000,0.027000,0.027000,0.027000,0.001787,0.000021,0.031976,0.108549,calls/second,seconds
1515158061,1,0.057000,0.057000,0.057000,0.000000,0.057000,0.057000,0.057000,0.057000,0.057000,0.057000,0.010275,0.044626,0.148164,0.180967,calls/second,seconds
1515509061,1,0.071000,0.071000,0.071000,0.000000,0.071000,0.071000,0.071000,0.071000,0.071000,0.071000,0.001268,0.000000,0.014855,0.084070,calls/second,seconds
1515531561,1,0.028000,0.028000,0.028000,0.000000,0.028000,0.028000,0.028000,0.028000,0.028000,0.028000,0.002758,0.000539,0.061251,0.134811,calls/second,seconds
1516971447,1,0.027000,0.027000,0.027000,0.000000,0.027000,0.027000,0.027000,0.027000,0.027000,0.027000,0.001935,0.000041,0.036537,0.113483,calls/second,seconds
1517223447,1,0.052000,0.052000,0.052000,0.000000,0.052000,0.052000,0.052000,0.052000,0.052000,0.052000,0.003835,0.002853,0.085483,0.150654,calls/second,seconds
1518701058,1,0.020000,0.020000,0.020000,0.000000,0.020000,0.020000,0.020000,0.020000,0.020000,0.020000,0.001644,0.000009,0.027067,0.102683,calls/second,seconds
