t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit,duration_unit
1519237458,112,0.003000,0.001467,0.001000,0.000499,0.001000,0.002000,0.002000,0.002000,0.002000,0.002000,0.159243,0.012085,0.122309,0.171517,calls/second,seconds
1519239258,1,0.002000,0.002000,0.002000,0.000000,0.002000,0.002000,0.002000,0.002000,0.002000,0.002000,0.001674,0.000011,0.027984,0.103831,calls/second,seconds
1519241058,16,0.002000,0.001892,0.001000,0.000311,0.002000,0.002000,0.002000,0.002000,0.002000,0.002000,0.022514,0.000405,0.028872,0.100748,calls/second,seconds
1519241958,36,0.002000,0.001852,0.001000,0.000355,0.002000,0.002000,0.002000,0.002000,0.002000,0.002000,0.050704,0.126349,0.073951,0.119259,calls/second,seconds
1519242858,19,0.002000,0.001822,0.001000,0.000382,0.002000,0.002000,0.002000,0.002000,0.002000,0.002000,0.021800,0.043129,0.045343,0.092542,calls/second,seconds
1519243758,1,0.001000,0.001000,0.001000,0.000000,0.001000,0.001000,0.001000,0.001000,0.001000,0.001000,0.001319,0.000001,0.016417,0.086920,calls/second,seconds
1519244658,1,0.002000,0.002000,0.002000,0.000000,0.002000,0.002000,0.002000,0.002000,0.002000,0.002000,0.002378,0.000198,0.050148,0.126117,calls/second,seconds
1519373358,6,0.002000,0.001648,0.001000,0.000478,0.002000,0.002000,0.002000,0.002000,0.002000,0.002000,0.026163,0.007828,0.104463,0.161049,calls/second,seconds
1519380373,9,0.004000,0.002142,0.002000,0.000514,0.002000,0.002000,0.004000,0.004000,0.004000,0.004000,0.181292,0.399087,0.544721,0.580541,calls/second,seconds
1519381976,10,0.004000,0.002532,0.002000,0.000765,0.002000,0.003000,0.004000,0.004000,0.004000,0.004000,0.012244,0.000002,0.068389,0.408870,calls/second,seconds
1519662441,32,0.003000,0.002001,0.001000,0.000055,0.002000,0.002000,0.002000,0.002000,0.002000,0.003000,0.036189,0.000014,0.021308,0.091536,calls/second,seconds
1519664145,21,0.011000,0.005285,0.003000,0.002285,0.004000,0.007000,0.010000,0.011000,0.011000,0.011000,0.026195,0.000002,0.074669,0.420908,calls/second,seconds
