t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit,duration_unit
1513089954,12,8.057000,0.904410,0.261000,1.466082,0.535000,0.812000,0.812000,7.589000,8.057000,8.057000,0.050372,0.064890,0.209096,0.319558,calls/second,seconds
1513090854,20,0.898000,0.531899,0.227000,0.200085,0.498000,0.730000,0.730000,0.764000,0.788000,0.788000,0.026967,0.052519,0.077408,0.278872,calls/second,seconds
1513091754,20,1.245000,0.761571,0.226000,0.445852,0.515000,1.226000,1.245000,1.245000,1.245000,1.245000,0.026960,0.052572,0.077469,0.278888,calls/second,seconds
1513092654,20,0.742000,0.498243,0.222000,0.179840,0.524000,0.620000,0.687000,0.687000,0.696000,0.725000,0.026960,0.053515,0.077477,0.278885,calls/second,seconds
1513093554,20,0.724000,0.502395,0.223000,0.185992,0.456000,0.670000,0.684000,0.684000,0.699000,0.724000,0.026958,0.052522,0.077441,0.278883,calls/second,seconds
1513094454,20,0.772000,0.500475,0.225000,0.178996,0.496000,0.657000,0.657000,0.717000,0.746000,0.746000,0.026958,0.053567,0.077513,0.278890,calls/second,seconds
1513095354,20,0.781000,0.478116,0.223000,0.189844,0.386000,0.658000,0.702000,0.702000,0.702000,0.702000,0.026960,0.052519,0.077416,0.278875,calls/second,seconds
1513096254,20,0.730000,0.477663,0.214000,0.189005,0.397000,0.656000,0.669000,0.669000,0.679000,0.712000,0.026960,0.052520,0.077425,0.278879,calls/second,seconds
1513097154,20,0.720000,0.516653,0.219000,0.197772,0.430000,0.703000,0.720000,0.720000,0.720000,0.720000,0.026961,0.052522,0.077432,0.278879,calls/second,seconds
1513098054,20,0.705000,0.474354,0.248000,0.152461,0.426000,0.621000,0.652000,0.652000,0.701000,0.705000,0.026958,0.052522,0.077441,0.278883,calls/second,seconds
1513098954,20,0.772000,0.540209,0.229000,0.208571,0.525000,0.689000,0.772000,0.772000,0.772000,0.772000,0.026956,0.053567,0.077521,0.278894,calls/second,seconds
1513099854,20,0.878000,0.511281,0.219000,0.195157,0.472000,0.678000,0.719000,0.719000,0.719000,0.719000,0.026957,0.053515,0.077482,0.278888,calls/second,seconds
1513100754,20,0.737000,0.532475,0.216000,0.203543,0.467000,0.721000,0.737000,0.737000,0.737000,0.737000,0.026958,0.052522,0.077432,0.278879,calls/second,seconds
1513101654,20,0.743000,0.503160,0.214000,0.191193,0.495000,0.673000,0.673000,0.673000,0.726000,0.726000,0.026953,0.053567,0.077513,0.278890,calls/second,seconds
