t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit,duration_unit
1519237458,5,0.001000,0.000064,0.000000,0.000244,0.000000,0.000000,0.001000,0.001000,0.001000,0.001000,0.007459,0.000007,0.023589,0.097799,calls/second,seconds
1519241058,1,0.001000,0.001000,0.001000,0.000000,0.001000,0.001000,0.001000,0.001000,0.001000,0.001000,0.001487,0.000003,0.021794,0.095529,calls/second,seconds
1519241958,3,0.001000,0.000135,0.000000,0.000341,0.000000,0.000000,0.001000,0.001000,0.001000,0.001000,0.004842,0.002172,0.028396,0.102519,calls/second,seconds
1519242858,2,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.012347,0.016531,0.121340,0.169302,calls/second,seconds
1519243758,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.001295,0.000001,0.015616,0.085483,calls/second,seconds
1519373358,1,0.001000,0.001000,0.001000,0.000000,0.001000,0.001000,0.001000,0.001000,0.001000,0.001000,0.004795,0.007135,0.102683,0.160147,calls/second,seconds
1519380373,2,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.039489,0.109186,0.175393,0.191348,calls/second,seconds
1519381976,47,0.002000,0.000350,0.000000,0.000477,0.000000,0.001000,0.001000,0.001000,0.001000,0.001000,0.057338,0.063644,0.141066,0.598513,calls/second,seconds
1519382876,41,0.001000,0.000071,0.000000,0.000258,0.000000,0.000000,0.001000,0.001000,0.001000,0.001000,0.046575,0.062516,0.058793,0.105196,calls/second,seconds
1519383776,41,0.001000,0.000124,0.000000,0.000329,0.000000,0.000000,0.001000,0.001000,0.001000,0.001000,0.046586,0.068755,0.060970,0.105560,calls/second,seconds
1519384676,40,0.001000,0.000153,0.000000,0.000360,0.000000,0.000000,0.001000,0.001000,0.001000,0.001000,0.045458,0.067594,0.057502,0.104693,calls/second,seconds
1519385576,41,0.001000,0.000001,0.000000,0.000038,0.000000,0.000000,0.000000,0.000000,0.000000,0.001000,0.046602,0.067589,0.057517,0.105036,calls/second,seconds
1519386476,41,0.001000,0.000000,0.000000,0.000012,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.046610,0.066876,0.057833,0.105230,calls/second,seconds
1519387376,41,0.001000,0.000002,0.000000,0.000039,0.000000,0.000000,0.000000,0.000000,0.000000,0.001000,0.046617,0.066893,0.058499,0.105473,calls/second,seconds
1519388276,42,0.001000,0.000193,0.000000,0.000395,0.000000,0.000000,0.001000,0.001000,0.001000,0.001000,0.047761,0.067231,0.060110,0.106318,calls/second,seconds
1519389176,41,0.001000,0.000083,0.000000,0.000276,0.000000,0.000000,0.001000,0.001000,0.001000,0.001000,0.046633,0.074012,0.061922,0.106135,calls/second,seconds
1519390076,39,0.001000,0.000002,0.000000,0.000043,0.000000,0.000000,0.000000,0.000000,0.000000,0.001000,0.044365,0.066875,0.057024,0.104129,calls/second,seconds
1519390976,41,0.001000,0.000218,0.000000,0.000413,0.000000,0.000000,0.001000,0.001000,0.001000,0.001000,0.046649,0.066876,0.057465,0.105028,calls/second,seconds
1519391876,42,0.002000,0.000233,0.000000,0.000428,0.000000,0.000000,0.001000,0.001000,0.001000,0.002000,0.047792,0.066877,0.058228,0.105775,calls/second,seconds
1519392776,41,0.001000,0.000125,0.000000,0.000330,0.000000,0.000000,0.001000,0.001000,0.001000,0.001000,0.046664,0.068444,0.058598,0.105485,calls/second,seconds
1519393676,41,0.001000,0.000002,0.000000,0.000045,0.000000,0.000000,0.000000,0.000000,0.000000,0.001000,0.046664,0.067231,0.059708,0.105769,calls/second,seconds
1519394576,41,0.001000,0.000078,0.000000,0.000268,0.000000,0.000000,0.001000,0.001000,0.001000,0.001000,0.046666,0.074012,0.061922,0.106135,calls/second,seconds
1519395476,40,0.002000,0.000002,0.000000,0.000050,0.000000,0.000000,0.000000,0.000000,0.000000,0.001000,0.045528,0.066876,0.057411,0.104669,calls/second,seconds
1519396376,41,0.001000,0.000005,0.000000,0.000072,0.000000,0.000000,0.000000,0.000000,0.000000,0.001000,0.046668,0.066876,0.057468,0.105030,calls/second,seconds
1519397276,41,0.002000,0.000370,0.000000,0.000528,0.000000,0.001000,0.001000,0.002000,0.002000,0.002000,0.046668,0.066876,0.057844,0.105234,calls/second,seconds
1519398176,41,0.001000,0.000017,0.000000,0.000129,0.000000,0.000000,0.000000,0.000000,0.001000,0.001000,0.046497,0.061546,0.057556,0.104897,calls/second,seconds
1519399076,42,0.001000,0.000265,0.000000,0.000442,0.000000,0.001000,0.001000,0.001000,0.001000,0.001000,0.047068,0.052384,0.057218,0.104568,calls/second,seconds
1519399976,41,0.001000,0.000032,0.000000,0.000176,0.000000,0.000000,0.000000,0.001000,0.001000,0.001000,0.046679,0.071382,0.061461,0.106030,calls/second,seconds
1519400876,31,0.001000,0.000022,0.000000,0.000147,0.000000,0.000000,0.000000,0.001000,0.001000,0.001000,0.035288,0.003513,0.034576,0.095747,calls/second,seconds
1519662441,6,0.001000,0.000912,0.000000,0.000284,0.001000,0.001000,0.001000,0.001000,0.001000,0.001000,0.006778,0.000001,0.022579,0.152487,calls/second,seconds
1519664145,68,0.003000,0.000332,0.000000,0.000471,0.000000,0.001000,0.001000,0.001000,0.001000,0.001000,0.084392,0.078035,0.107957,0.291298,calls/second,seconds
