t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit,duration_unit
1513089954,13,0.002000,0.000375,0.000000,0.000540,0.000000,0.001000,0.001000,0.002000,0.002000,0.002000,0.054881,0.020946,0.206803,0.319931,calls/second,seconds
1513099854,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.001371,0.000001,0.018144,0.089866,calls/second,seconds
1513703373,14,0.003000,0.001143,0.000000,0.000637,0.001000,0.001000,0.003000,0.003000,0.003000,0.003000,0.023628,0.000163,0.398367,1.461728,calls/second,seconds
1515094161,14,0.004000,0.000995,0.000000,0.001130,0.001000,0.001000,0.004000,0.004000,0.004000,0.004000,0.068436,0.108568,1.461728,2.254555,calls/second,seconds
1515781585,13,0.001000,0.000923,0.000000,0.000267,0.001000,0.001000,0.001000,0.001000,0.001000,0.001000,0.041835,0.016118,0.940677,1.852660,calls/second,seconds
1516041169,13,0.002000,0.000615,0.000000,0.000625,0.001000,0.001000,0.002000,0.002000,0.002000,0.002000,0.015867,0.000004,0.174734,1.057081,calls/second,seconds
1516042069,13,0.001000,0.000462,0.000000,0.000499,0.000000,0.001000,0.001000,0.001000,0.001000,0.001000,0.036012,0.007005,0.796266,1.752541,calls/second,seconds
1516971447,14,0.002000,0.000714,0.000000,0.000588,0.001000,0.001000,0.002000,0.002000,0.002000,0.002000,0.026852,0.000524,0.503059,1.579956,calls/second,seconds
1518701058,14,0.001000,0.000357,0.000000,0.000479,0.000000,0.001000,0.001000,0.001000,0.001000,0.001000,0.022907,0.000117,0.372675,1.429604,calls/second,seconds
1519234758,14,0.001000,0.000498,0.000000,0.000500,0.000000,0.001000,0.001000,0.001000,0.001000,0.001000,0.035284,0.004210,0.763089,1.815364,calls/second,seconds
1519254558,14,0.001000,0.000356,0.000000,0.000479,0.000000,0.001000,0.001000,0.001000,0.001000,0.001000,0.020742,0.000043,0.305121,1.337404,calls/second,seconds
1519381976,14,0.002000,0.000499,0.000000,0.000626,0.000000,0.001000,0.002000,0.002000,0.002000,0.002000,0.020443,0.000036,0.295118,1.322626,calls/second,seconds
1519661541,14,0.002000,0.000643,0.000000,0.000610,0.001000,0.001000,0.002000,0.002000,0.002000,0.002000,0.023688,0.000163,0.398367,1.461728,calls/second,seconds
1519664145,14,0.003000,0.001142,0.000000,0.000638,0.001000,0.001000,0.003000,0.003000,0.003000,0.003000,0.024142,0.000210,0.418792,1.486294,calls/second,seconds
