t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit,duration_unit
1513705173,1,0.004000,0.004000,0.004000,0.000000,0.004000,0.004000,0.004000,0.004000,0.004000,0.004000,0.001389,0.000001,0.018759,0.090870,calls/second,seconds
1513708773,8,0.003000,0.002495,0.002000,0.000500,0.002000,0.003000,0.003000,0.003000,0.003000,0.003000,0.012644,0.000048,0.199223,0.798963,calls/second,seconds
1515094161,1,0.004000,0.004000,0.004000,0.000000,0.004000,0.004000,0.004000,0.004000,0.004000,0.004000,0.008771,0.034755,0.140938,0.177976,calls/second,seconds
1515100461,1,0.004000,0.004000,0.004000,0.000000,0.004000,0.004000,0.004000,0.004000,0.004000,0.004000,0.001244,0.000000,0.014130,0.082681,calls/second,seconds
1515104961,40,0.003000,0.001746,0.001000,0.000537,0.002000,0.002000,0.002000,0.003000,0.003000,0.003000,0.124560,0.065441,0.144485,0.176788,calls/second,seconds
1515115761,4,0.002000,0.001477,0.001000,0.000499,0.001000,0.002000,0.002000,0.002000,0.002000,0.002000,0.035286,0.044603,0.148163,0.180967,calls/second,seconds
1515116661,8,0.003000,0.001949,0.001000,0.000494,0.002000,0.002000,0.003000,0.003000,0.003000,0.003000,0.031537,0.008949,0.186080,0.309842,calls/second,seconds
1515158061,5,0.003000,0.001999,0.001000,0.000115,0.002000,0.002000,0.002000,0.002000,0.002000,0.003000,0.012639,0.007338,0.060115,0.132900,calls/second,seconds
1515158961,133,0.004000,0.002120,0.001000,0.000411,0.002000,0.002000,0.003000,0.003000,0.003000,0.004000,0.170376,0.005370,0.113075,0.169901,calls/second,seconds
1515159861,12,0.003000,0.002003,0.002000,0.000059,0.002000,0.002000,0.002000,0.002000,0.002000,0.003000,0.024167,0.002399,0.052909,0.124767,calls/second,seconds
1515169761,12,0.002000,0.001997,0.001000,0.000052,0.002000,0.002000,0.002000,0.002000,0.002000,0.002000,0.013870,0.000007,0.015614,0.082795,calls/second,seconds
1515170661,22,0.003000,0.001712,0.000000,0.000454,0.002000,0.002000,0.002000,0.002000,0.002000,0.002000,0.039387,0.022603,0.063096,0.125718,calls/second,seconds
