t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit,duration_unit
1519237458,5,1.439000,1.342728,1.261000,0.012175,1.337000,1.356000,1.356000,1.356000,1.383000,1.439000,0.011643,0.008295,0.056153,0.128889,calls/second,seconds
1519238358,6,1.399000,1.286495,1.269000,0.002060,1.286000,1.288000,1.288000,1.288000,1.288000,1.300000,0.008208,0.006859,0.024710,0.093300,calls/second,seconds
1519239258,6,1.400000,1.249323,1.217000,0.004971,1.252000,1.252000,1.252000,1.252000,1.252000,1.252000,0.008272,0.007455,0.025126,0.093820,calls/second,seconds
1519240158,6,1.285000,1.219192,1.207000,0.018762,1.207000,1.247000,1.247000,1.247000,1.256000,1.285000,0.008271,0.007456,0.025139,0.093824,calls/second,seconds
1519241058,5,1.542000,1.465297,1.228000,0.107346,1.514000,1.514000,1.514000,1.514000,1.514000,1.514000,0.006892,0.014634,0.024731,0.093173,calls/second,seconds
1519241958,6,1.538000,1.309766,1.271000,0.049442,1.297000,1.303000,1.303000,1.538000,1.538000,1.538000,0.008272,0.006095,0.025515,0.093954,calls/second,seconds
1519242858,8,1.514000,1.272993,1.234000,0.054296,1.246000,1.323000,1.323000,1.514000,1.514000,1.514000,0.009261,0.009962,0.019915,0.082458,calls/second,seconds
1519243758,3,1.316000,1.284224,1.284000,0.002114,1.284000,1.284000,1.284000,1.284000,1.304000,1.304000,0.004136,0.002006,0.021125,0.091521,calls/second,seconds
1519244658,3,1.388000,1.386949,1.293000,0.009924,1.388000,1.388000,1.388000,1.388000,1.388000,1.388000,0.004116,0.002179,0.021161,0.091526,calls/second,seconds
1519245558,1,1.288000,1.288000,1.288000,0.000000,1.288000,1.288000,1.288000,1.288000,1.288000,1.288000,0.001379,0.000001,0.018144,0.089866,calls/second,seconds
1519662441,2,1.533000,1.369634,1.368000,0.016338,1.368000,1.368000,1.368000,1.368000,1.368000,1.533000,0.003782,0.000479,0.036953,0.113101,calls/second,seconds
