t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit,duration_unit
1513099854,8,0.052000,0.016345,0.011000,0.013440,0.011000,0.012000,0.052000,0.052000,0.052000,0.052000,0.010950,0.000009,0.142750,0.714943,calls/second,seconds
1513703373,8,0.083000,0.052438,0.032000,0.019854,0.040000,0.071000,0.083000,0.083000,0.083000,0.083000,0.013561,0.000101,0.231464,0.839927,calls/second,seconds
1515094161,8,0.145000,0.052611,0.028000,0.037251,0.037000,0.043000,0.145000,0.145000,0.145000,0.145000,0.039517,0.062039,0.835273,1.288317,calls/second,seconds
1516971447,8,0.063000,0.040649,0.030000,0.011095,0.036000,0.042000,0.063000,0.063000,0.063000,0.063000,0.015367,0.000300,0.287462,0.902832,calls/second,seconds
1518701058,8,0.047000,0.023715,0.019000,0.008809,0.021000,0.021000,0.047000,0.047000,0.047000,0.047000,0.013104,0.000067,0.212957,0.816916,calls/second,seconds
1519234758,8,0.022000,0.019500,0.017000,0.002062,0.021000,0.022000,0.022000,0.022000,0.022000,0.022000,0.020186,0.002406,0.436051,1.037351,calls/second,seconds
1519254558,8,0.029000,0.020875,0.017000,0.003333,0.020000,0.022000,0.029000,0.029000,0.029000,0.029000,0.011862,0.000025,0.174355,0.764231,calls/second,seconds
1519381976,8,0.040000,0.023740,0.020000,0.006164,0.022000,0.022000,0.040000,0.040000,0.040000,0.040000,0.011701,0.000021,0.168639,0.755786,calls/second,seconds
1519661541,8,0.046000,0.025213,0.019000,0.008447,0.022000,0.023000,0.046000,0.046000,0.046000,0.046000,0.013562,0.000101,0.231464,0.839927,calls/second,seconds
1519664145,8,0.076000,0.058847,0.044000,0.011890,0.054000,0.073000,0.076000,0.076000,0.076000,0.076000,0.013840,0.000120,0.239310,0.849311,calls/second,seconds
