t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit,duration_unit
1515104961,4,0.003000,0.003000,0.003000,0.000000,0.003000,0.003000,0.003000,0.003000,0.003000,0.003000,0.011322,0.000929,0.066897,0.138682,calls/second,seconds
1515115761,4,0.004000,0.001776,0.001000,0.001124,0.001000,0.002000,0.004000,0.004000,0.004000,0.004000,0.030474,0.034025,0.138956,0.177040,calls/second,seconds
1515116661,1,0.003000,0.003000,0.003000,0.000000,0.003000,0.003000,0.003000,0.003000,0.003000,0.003000,0.003986,0.003370,0.088380,0.152337,calls/second,seconds
1515158061,4,0.003000,0.002234,0.002000,0.000423,0.002000,0.002000,0.003000,0.003000,0.003000,0.003000,0.009663,0.000320,0.054643,0.129705,calls/second,seconds
1515158961,1,0.001000,0.001000,0.001000,0.000000,0.001000,0.001000,0.001000,0.001000,0.001000,0.001000,0.001794,0.000021,0.031976,0.108549,calls/second,seconds
1515159861,5,0.003000,0.002018,0.002000,0.000134,0.002000,0.002000,0.002000,0.002000,0.003000,0.003000,0.009708,0.000284,0.039919,0.116257,calls/second,seconds
1515169761,5,0.003000,0.002016,0.002000,0.000125,0.002000,0.002000,0.002000,0.002000,0.003000,0.003000,0.005694,0.000001,0.012028,0.077928,calls/second,seconds
1515194061,4,0.003000,0.002193,0.002000,0.000395,0.002000,0.002000,0.003000,0.003000,0.003000,0.003000,0.006572,0.000012,0.028502,0.104428,calls/second,seconds
1515194961,4,0.002000,0.002000,0.002000,0.000000,0.002000,0.002000,0.002000,0.002000,0.002000,0.002000,0.026976,0.026499,0.132179,0.174113,calls/second,seconds
1515195861,1,0.002000,0.002000,0.002000,0.000000,0.002000,0.002000,0.002000,0.002000,0.002000,0.002000,0.001252,0.000000,0.014368,0.083141,calls/second,seconds
