t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit,duration_unit
1513099854,1,0.038000,0.038000,0.038000,0.000000,0.038000,0.038000,0.038000,0.038000,0.038000,0.038000,0.001367,0.000001,0.017844,0.089368,calls/second,seconds
1513703373,2,0.003000,0.000002,0.000000,0.000068,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.003367,0.003890,0.030945,0.105417,calls/second,seconds
1513818573,2,0.001000,0.001000,0.001000,0.000000,0.001000,0.001000,0.001000,0.001000,0.001000,0.001000,0.002619,0.000009,0.016871,0.087106,calls/second,seconds
1515094161,1,0.032000,0.032000,0.032000,0.000000,0.032000,0.032000,0.032000,0.032000,0.032000,0.032000,0.004855,0.007135,0.102683,0.160147,calls/second,seconds
1515100461,1,0.001000,0.001000,0.001000,0.000000,0.001000,0.001000,0.001000,0.001000,0.001000,0.001000,0.001142,0.000000,0.011005,0.076070,calls/second,seconds
1515154461,1,0.001000,0.001000,0.001000,0.000000,0.001000,0.001000,0.001000,0.001000,0.001000,0.001000,0.001786,0.000019,0.031447,0.107948,calls/second,seconds
1515158061,1,0.001000,0.001000,0.001000,0.000000,0.001000,0.001000,0.001000,0.001000,0.001000,0.001000,0.010244,0.044626,0.148164,0.180967,calls/second,seconds
1515509061,1,0.012000,0.012000,0.012000,0.000000,0.012000,0.012000,0.012000,0.012000,0.012000,0.012000,0.001263,0.000000,0.014609,0.083604,calls/second,seconds
1515531561,1,0.001000,0.001000,0.001000,0.000000,0.001000,0.001000,0.001000,0.001000,0.001000,0.001000,0.002755,0.000539,0.061251,0.134811,calls/second,seconds
1516971447,1,0.001000,0.001000,0.001000,0.000000,0.001000,0.001000,0.001000,0.001000,0.001000,0.001000,0.001913,0.000037,0.035933,0.112854,calls/second,seconds
1517223447,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.003829,0.002853,0.085483,0.150654,calls/second,seconds
1518701058,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.001633,0.000008,0.026620,0.102115,calls/second,seconds
