t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit,duration_unit
1513708773,2,0.002000,0.001500,0.001000,0.000500,0.002000,0.002000,0.002000,0.002000,0.002000,0.002000,0.003187,0.000013,0.050643,0.200853,calls/second,seconds
1515104961,2,0.002000,0.001496,0.001000,0.000500,0.001000,0.002000,0.002000,0.002000,0.002000,0.002000,0.012031,0.027793,0.234658,0.334851,calls/second,seconds
1515158061,2,0.001000,0.000500,0.000000,0.000500,0.001000,0.001000,0.001000,0.001000,0.001000,0.001000,0.038229,0.188947,0.344283,0.380492,calls/second,seconds
1515158961,4,0.001000,0.001000,0.001000,0.000000,0.001000,0.001000,0.001000,0.001000,0.001000,0.001000,0.005132,0.000168,0.032969,0.171564,calls/second,seconds
1516971447,2,0.002000,0.001500,0.001000,0.000500,0.002000,0.002000,0.002000,0.002000,0.002000,0.002000,0.004018,0.000114,0.078111,0.232066,calls/second,seconds
1517224347,2,0.001000,0.000500,0.000000,0.000500,0.001000,0.001000,0.001000,0.001000,0.001000,0.001000,0.002971,0.000006,0.043589,0.191058,calls/second,seconds
1518701058,2,0.001000,0.000500,0.000000,0.000500,0.001000,0.001000,0.001000,0.001000,0.001000,0.001000,0.003383,0.000023,0.056910,0.208818,calls/second,seconds
1519235658,6,0.001000,0.000601,0.000000,0.000490,0.001000,0.001000,0.001000,0.001000,0.001000,0.001000,0.063491,0.123934,0.312412,0.368132,calls/second,seconds
1519237458,2,0.001000,0.000504,0.000000,0.000500,0.001000,0.001000,0.001000,0.001000,0.001000,0.001000,0.003212,0.000014,0.051494,0.201972,calls/second,seconds
1519243758,2,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.003078,0.000009,0.047377,0.196439,calls/second,seconds
1519264458,8,0.001000,0.000076,0.000000,0.000266,0.000000,0.000000,0.001000,0.001000,0.001000,0.001000,0.030150,0.040035,0.183147,0.305668,calls/second,seconds
1519265358,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.001115,0.000000,0.010295,0.074398,calls/second,seconds
