t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit,duration_unit
1513703373,2,0.031000,0.008014,0.008000,0.000570,0.008000,0.008000,0.008000,0.008000,0.008000,0.008000,0.003460,0.004230,0.032446,0.107178,calls/second,seconds
1513818573,3,0.009000,0.007024,0.007000,0.000154,0.007000,0.007000,0.007000,0.008000,0.008000,0.008000,0.003958,0.000580,0.018852,0.088479,calls/second,seconds
1515094161,1,0.085000,0.085000,0.085000,0.000000,0.085000,0.085000,0.085000,0.085000,0.085000,0.085000,0.005286,0.009957,0.109762,0.163746,calls/second,seconds
1515100461,2,0.009000,0.008078,0.008000,0.000268,0.008000,0.008000,0.009000,0.009000,0.009000,0.009000,0.002306,0.000000,0.011704,0.077432,calls/second,seconds
1515104961,1,0.094000,0.094000,0.094000,0.000000,0.094000,0.094000,0.094000,0.094000,0.094000,0.094000,0.003656,0.002415,0.082681,0.148989,calls/second,seconds
1515154461,1,0.315000,0.315000,0.315000,0.000000,0.315000,0.315000,0.315000,0.315000,0.315000,0.315000,0.001811,0.000023,0.032513,0.109154,calls/second,seconds
1515158061,1,0.242000,0.242000,0.242000,0.000000,0.242000,0.242000,0.242000,0.242000,0.242000,0.242000,0.011342,0.052719,0.153186,0.182989,calls/second,seconds
1515509061,1,0.209000,0.209000,0.209000,0.000000,0.209000,0.209000,0.209000,0.209000,0.209000,0.209000,0.001283,0.000001,0.015358,0.085009,calls/second,seconds
1515531561,1,0.330000,0.330000,0.330000,0.000000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.002823,0.000637,0.063327,0.136317,calls/second,seconds
1516971447,1,0.461000,0.461000,0.461000,0.000000,0.461000,0.461000,0.461000,0.461000,0.461000,0.461000,0.001950,0.000044,0.037151,0.114115,calls/second,seconds
1517223447,1,0.152000,0.152000,0.152000,0.000000,0.152000,0.152000,0.152000,0.152000,0.152000,0.152000,0.003935,0.003370,0.088380,0.152337,calls/second,seconds
