t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit,duration_unit
1513089954,1,0.016000,0.016000,0.016000,0.000000,0.016000,0.016000,0.016000,0.016000,0.016000,0.016000,0.006046,0.013897,0.117329,0.167426,calls/second,seconds
1513099854,2,0.002000,0.002000,0.002000,0.000000,0.002000,0.002000,0.002000,0.002000,0.002000,0.002000,0.002744,0.000002,0.036287,0.179732,calls/second,seconds
1513703373,4,0.014000,0.003504,0.003000,0.000534,0.004000,0.004000,0.004000,0.004000,0.004000,0.004000,0.006811,0.007782,0.062846,0.211998,calls/second,seconds
1513705173,2,0.006000,0.006000,0.006000,0.000000,0.006000,0.006000,0.006000,0.006000,0.006000,0.006000,0.002756,0.000002,0.036287,0.179732,calls/second,seconds
1513818573,4,0.006000,0.005005,0.005000,0.000072,0.005000,0.005000,0.005000,0.005000,0.005000,0.006000,0.005239,0.000018,0.033742,0.174213,calls/second,seconds
1515094161,4,0.014000,0.007610,0.004000,0.003575,0.007000,0.007000,0.014000,0.014000,0.014000,0.014000,0.020178,0.018450,0.215956,0.325688,calls/second,seconds
1515100461,4,0.005000,0.005000,0.005000,0.000000,0.005000,0.005000,0.005000,0.005000,0.005000,0.005000,0.004566,0.000000,0.022609,0.153135,calls/second,seconds
1515104961,1,0.003000,0.003000,0.003000,0.000000,0.003000,0.003000,0.003000,0.003000,0.003000,0.003000,0.006111,0.015104,0.119301,0.168358,calls/second,seconds
1515154461,4,0.005000,0.004722,0.004000,0.000448,0.005000,0.005000,0.005000,0.005000,0.005000,0.005000,0.007144,0.000046,0.065054,0.218319,calls/second,seconds
1515158061,2,0.005000,0.004500,0.004000,0.000500,0.005000,0.005000,0.005000,0.005000,0.005000,0.005000,0.020499,0.089252,0.296327,0.361935,calls/second,seconds
1515158961,4,0.005000,0.004999,0.004000,0.000025,0.005000,0.005000,0.005000,0.005000,0.005000,0.005000,0.005214,0.000168,0.018437,0.088005,calls/second,seconds
1515509061,2,0.038000,0.021500,0.005000,0.016500,0.038000,0.038000,0.038000,0.038000,0.038000,0.038000,0.002527,0.000001,0.029218,0.167209,calls/second,seconds
1515531561,2,0.006000,0.004000,0.002000,0.002000,0.006000,0.006000,0.006000,0.006000,0.006000,0.006000,0.005513,0.001078,0.122502,0.269622,calls/second,seconds
1516971447,4,0.010000,0.006502,0.003000,0.002262,0.007000,0.007000,0.010000,0.010000,0.010000,0.010000,0.007736,0.000091,0.074386,0.228258,calls/second,seconds
1517223447,2,0.009000,0.008000,0.007000,0.001000,0.009000,0.009000,0.009000,0.009000,0.009000,0.009000,0.007660,0.005706,0.170966,0.301307,calls/second,seconds
1517224347,1,0.003000,0.003000,0.003000,0.000000,0.003000,0.003000,0.003000,0.003000,0.003000,0.003000,0.001491,0.000003,0.021794,0.095529,calls/second,seconds
