t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit,duration_unit
1513089954,4,0.001000,0.000203,0.000000,0.000402,0.000000,0.000000,0.001000,0.001000,0.001000,0.001000,0.025332,0.036684,0.246936,0.340516,calls/second,seconds
1513099854,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.001367,0.000001,0.017844,0.089368,calls/second,seconds
1513703373,2,0.001000,0.000001,0.000000,0.000023,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.003375,0.003890,0.030945,0.105417,calls/second,seconds
1513705173,1,0.001000,0.001000,0.001000,0.000000,0.001000,0.001000,0.001000,0.001000,0.001000,0.001000,0.001389,0.000001,0.018449,0.090366,calls/second,seconds
1513708773,3,0.001000,0.000663,0.000000,0.000473,0.001000,0.001000,0.001000,0.001000,0.001000,0.001000,0.004740,0.000018,0.074709,0.299611,calls/second,seconds
1513818573,2,0.001000,0.001000,0.001000,0.000000,0.001000,0.001000,0.001000,0.001000,0.001000,0.001000,0.002619,0.000009,0.016871,0.087106,calls/second,seconds
1515094161,2,0.001000,0.000206,0.000000,0.000404,0.000000,0.000000,0.001000,0.001000,0.001000,0.001000,0.009770,0.010534,0.106739,0.162026,calls/second,seconds
1515100461,2,0.001000,0.000254,0.000000,0.000435,0.000000,0.001000,0.001000,0.001000,0.001000,0.001000,0.002284,0.000000,0.011234,0.076525,calls/second,seconds
1515104961,5,0.001000,0.001000,0.001000,0.000000,0.001000,0.001000,0.001000,0.001000,0.001000,0.001000,0.015459,0.018848,0.078350,0.144699,calls/second,seconds
1515115761,1,0.001000,0.001000,0.001000,0.000000,0.001000,0.001000,0.001000,0.001000,0.001000,0.001000,0.007622,0.024903,0.131848,0.174065,calls/second,seconds
1515116661,1,0.002000,0.002000,0.002000,0.000000,0.002000,0.002000,0.002000,0.002000,0.002000,0.002000,0.003942,0.003370,0.088380,0.152337,calls/second,seconds
1515154461,1,0.001000,0.001000,0.001000,0.000000,0.001000,0.001000,0.001000,0.001000,0.001000,0.001000,0.001786,0.000019,0.031447,0.107948,calls/second,seconds
1515158061,2,0.001000,0.001000,0.001000,0.000000,0.001000,0.001000,0.001000,0.001000,0.001000,0.001000,0.004832,0.003802,0.054297,0.128528,calls/second,seconds
1515158961,8,0.001000,0.000067,0.000000,0.000250,0.000000,0.000000,0.001000,0.001000,0.001000,0.001000,0.010234,0.000166,0.019857,0.089019,calls/second,seconds
1515159861,2,0.001000,0.001000,0.001000,0.000000,0.001000,0.001000,0.001000,0.001000,0.001000,0.001000,0.003883,0.000292,0.038587,0.114954,calls/second,seconds
1515169761,2,0.001000,0.001000,0.001000,0.000000,0.001000,0.001000,0.001000,0.001000,0.001000,0.001000,0.002278,0.000001,0.011445,0.076635,calls/second,seconds
1515170661,8,0.003000,0.000738,0.000000,0.000448,0.001000,0.001000,0.001000,0.001000,0.001000,0.003000,0.014322,0.008737,0.043733,0.114592,calls/second,seconds
1515194061,1,0.001000,0.001000,0.001000,0.000000,0.001000,0.001000,0.001000,0.001000,0.001000,0.001000,0.001643,0.000009,0.027067,0.102683,calls/second,seconds
1515194961,2,0.001000,0.001000,0.001000,0.000000,0.001000,0.001000,0.001000,0.001000,0.001000,0.001000,0.007061,0.003595,0.082043,0.148291,calls/second,seconds
1515195861,1,0.001000,0.001000,0.001000,0.000000,0.001000,0.001000,0.001000,0.001000,0.001000,0.001000,0.001247,0.000000,0.014130,0.082681,calls/second,seconds
