t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit,duration_unit
1519237458,111,0.001000,0.000031,0.000000,0.000174,0.000000,0.000000,0.000000,0.001000,0.001000,0.001000,0.250707,0.129131,0.271701,0.340378,calls/second,seconds
1519238358,6,0.001000,0.000292,0.000000,0.000455,0.000000,0.001000,0.001000,0.001000,0.001000,0.001000,0.008208,0.006859,0.024710,0.093300,calls/second,seconds
1519239258,6,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.008272,0.007455,0.025126,0.093820,calls/second,seconds
1519240158,6,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.008271,0.007456,0.025139,0.093824,calls/second,seconds
1519241058,49,0.001000,0.000034,0.000000,0.000181,0.000000,0.000000,0.000000,0.001000,0.001000,0.001000,0.067539,0.104993,0.089033,0.128077,calls/second,seconds
1519241958,40,0.001000,0.000060,0.000000,0.000237,0.000000,0.000000,0.001000,0.001000,0.001000,0.001000,0.045104,0.074769,0.075094,0.179442,calls/second,seconds
1519242858,231,0.001000,0.000034,0.000000,0.000181,0.000000,0.000000,0.000000,0.001000,0.001000,0.001000,0.264883,0.349699,0.211625,0.370230,calls/second,seconds
1519243758,3,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.004136,0.002007,0.021138,0.091525,calls/second,seconds
1519244658,3,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.004116,0.002179,0.021161,0.091526,calls/second,seconds
1519245558,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.001379,0.000001,0.018144,0.089866,calls/second,seconds
1519662441,18,0.001000,0.000022,0.000000,0.000148,0.000000,0.000000,0.000000,0.001000,0.001000,0.001000,0.032907,0.000505,0.076689,0.229796,calls/second,seconds
