t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit,duration_unit
1513099854,6,0.002000,0.000500,0.000000,0.000764,0.000000,0.001000,0.002000,0.002000,0.002000,0.002000,0.008234,0.000007,0.108862,0.539195,calls/second,seconds
1513703373,12,0.005000,0.000501,0.000000,0.000502,0.001000,0.001000,0.001000,0.001000,0.001000,0.001000,0.020458,0.023345,0.188539,0.635994,calls/second,seconds
1513705173,8,0.001000,0.000744,0.000000,0.000437,0.001000,0.001000,0.001000,0.001000,0.001000,0.001000,0.011028,0.000003,0.038117,0.182735,calls/second,seconds
1513818573,12,0.002000,0.000672,0.000000,0.000473,0.001000,0.001000,0.001000,0.001000,0.001000,0.002000,0.015727,0.000053,0.101226,0.522639,calls/second,seconds
1515094161,8,0.003000,0.001264,0.000000,0.000816,0.001000,0.002000,0.003000,0.003000,0.003000,0.003000,0.040485,0.052165,0.640612,0.973435,calls/second,seconds
1515100461,8,0.004000,0.001158,0.001000,0.000609,0.001000,0.001000,0.002000,0.004000,0.004000,0.004000,0.009137,0.000001,0.066628,0.457414,calls/second,seconds
1515154461,8,0.001000,0.000646,0.000000,0.000478,0.001000,0.001000,0.001000,0.001000,0.001000,0.001000,0.014302,0.000129,0.192949,0.652513,calls/second,seconds
1515158061,6,0.001000,0.000833,0.000000,0.000373,0.001000,0.001000,0.001000,0.001000,0.001000,0.001000,0.061895,0.267756,0.888982,1.085805,calls/second,seconds
1515158961,6,0.001000,0.000833,0.000000,0.000373,0.001000,0.001000,0.001000,0.001000,0.001000,0.001000,0.010043,0.000064,0.167907,0.622984,calls/second,seconds
1515509061,6,0.001000,0.000834,0.000000,0.000372,0.001000,0.001000,0.001000,0.001000,0.001000,0.001000,0.007616,0.000003,0.089128,0.504420,calls/second,seconds
1515531561,6,0.001000,0.000667,0.000000,0.000471,0.001000,0.001000,0.001000,0.001000,0.001000,0.001000,0.016555,0.003233,0.367507,0.808865,calls/second,seconds
1516971447,8,0.002000,0.001000,0.000000,0.000474,0.001000,0.001000,0.002000,0.002000,0.002000,0.002000,0.015482,0.000253,0.220511,0.682182,calls/second,seconds
1517223447,6,0.001000,0.000833,0.000000,0.000373,0.001000,0.001000,0.001000,0.001000,0.001000,0.001000,0.023034,0.017117,0.512898,0.903922,calls/second,seconds
1518701058,6,0.002000,0.000667,0.000000,0.000745,0.001000,0.001000,0.002000,0.002000,0.002000,0.002000,0.009865,0.000054,0.162402,0.616101,calls/second,seconds
1519234758,6,0.001000,0.000167,0.000000,0.000373,0.000000,0.000000,0.001000,0.001000,0.001000,0.001000,0.015178,0.001804,0.327038,0.778013,calls/second,seconds
1519235658,8,0.001000,0.000328,0.000000,0.000470,0.000000,0.001000,0.001000,0.001000,0.001000,0.001000,0.045840,0.079815,0.696486,1.000886,calls/second,seconds
1519236558,6,0.001000,0.000167,0.000000,0.000373,0.000000,0.000000,0.001000,0.001000,0.001000,0.001000,0.039947,0.107062,0.740069,1.021437,calls/second,seconds
1519241058,6,0.001000,0.000667,0.000000,0.000471,0.001000,0.001000,0.001000,0.001000,0.001000,0.001000,0.033284,0.064937,0.669642,0.987950,calls/second,seconds
1519242858,6,0.001000,0.000167,0.000000,0.000373,0.000000,0.000000,0.001000,0.001000,0.001000,0.001000,0.008122,0.000006,0.105293,0.533237,calls/second,seconds
1519243758,18,0.001000,0.000191,0.000000,0.000393,0.000000,0.000000,0.001000,0.001000,0.001000,0.001000,0.026040,0.000024,0.127613,0.567340,calls/second,seconds
1519248258,6,0.001000,0.000333,0.000000,0.000471,0.000000,0.001000,0.001000,0.001000,0.001000,0.001000,0.038788,0.107062,0.740069,1.021437,calls/second,seconds
1519249158,8,0.001000,0.000501,0.000000,0.000500,0.001000,0.001000,0.001000,0.001000,0.001000,0.001000,0.012110,0.000029,0.180265,0.772770,calls/second,seconds
1519252758,6,0.001000,0.000667,0.000000,0.000471,0.001000,0.001000,0.001000,0.001000,0.001000,0.001000,0.009344,0.000030,0.144519,0.592601,calls/second,seconds
1519254558,12,0.001000,0.000005,0.000000,0.000068,0.000000,0.000000,0.000000,0.000000,0.000000,0.001000,0.017809,0.000175,0.136262,0.577508,calls/second,seconds
1519255458,6,0.001000,0.000333,0.000000,0.000471,0.000000,0.001000,0.001000,0.001000,0.001000,0.001000,0.006744,0.000001,0.063863,0.451375,calls/second,seconds
1519263558,6,0.001000,0.000333,0.000000,0.000471,0.000000,0.001000,0.001000,0.001000,0.001000,0.001000,0.767106,1.200000,1.200000,1.200000,calls/second,seconds
1519264458,6,0.001000,0.000167,0.000000,0.000373,0.000000,0.000000,0.001000,0.001000,0.001000,0.001000,0.009067,0.000022,0.135198,0.579577,calls/second,seconds
1519306758,6,0.001000,0.000167,0.000000,0.000373,0.000000,0.000000,0.001000,0.001000,0.001000,0.001000,0.012517,0.000476,0.250488,0.711841,calls/second,seconds
1519377673,6,0.002000,0.000663,0.000000,0.000744,0.000000,0.001000,0.002000,0.002000,0.002000,0.002000,0.009534,0.000039,0.151929,0.602560,calls/second,seconds
1519380373,6,0.001000,0.000333,0.000000,0.000471,0.000000,0.001000,0.001000,0.001000,0.001000,0.001000,0.034669,0.076713,0.692340,0.998989,calls/second,seconds
