t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit,duration_unit
1513089954,8,0.006000,0.000068,0.000000,0.000319,0.000000,0.000000,0.001000,0.001000,0.001000,0.006000,0.016841,0.010741,0.053232,0.124673,calls/second,seconds
1513090854,15,0.001000,0.000595,0.000000,0.000491,0.001000,0.001000,0.001000,0.001000,0.001000,0.001000,0.016764,0.011948,0.025178,0.084716,calls/second,seconds
1513091754,15,0.001000,0.000105,0.000000,0.000307,0.000000,0.000000,0.001000,0.001000,0.001000,0.001000,0.016764,0.011950,0.025210,0.084729,calls/second,seconds
1513092654,15,0.001000,0.000259,0.000000,0.000438,0.000000,0.001000,0.001000,0.001000,0.001000,0.001000,0.016765,0.011080,0.025030,0.084689,calls/second,seconds
1513093554,15,0.001000,0.000241,0.000000,0.000428,0.000000,0.000000,0.001000,0.001000,0.001000,0.001000,0.016764,0.011950,0.025183,0.084714,calls/second,seconds
1513094454,15,0.001000,0.000241,0.000000,0.000428,0.000000,0.000000,0.001000,0.001000,0.001000,0.001000,0.016765,0.011950,0.025202,0.084723,calls/second,seconds
1513095354,15,0.001000,0.000016,0.000000,0.000127,0.000000,0.000000,0.000000,0.000000,0.001000,0.001000,0.016765,0.011950,0.025188,0.084717,calls/second,seconds
1513096254,15,0.001000,0.000259,0.000000,0.000438,0.000000,0.001000,0.001000,0.001000,0.001000,0.001000,0.016765,0.011950,0.025210,0.084729,calls/second,seconds
1513097154,15,0.001000,0.000017,0.000000,0.000131,0.000000,0.000000,0.000000,0.000000,0.001000,0.001000,0.016765,0.010994,0.024971,0.084676,calls/second,seconds
1513098054,15,0.001000,0.000105,0.000000,0.000306,0.000000,0.000000,0.001000,0.001000,0.001000,0.001000,0.016765,0.011950,0.025196,0.084720,calls/second,seconds
1513098954,15,0.001000,0.000040,0.000000,0.000197,0.000000,0.000000,0.000000,0.001000,0.001000,0.001000,0.016764,0.011945,0.025156,0.084709,calls/second,seconds
1513099854,15,0.001000,0.000244,0.000000,0.000430,0.000000,0.000000,0.001000,0.001000,0.001000,0.001000,0.016764,0.011950,0.025210,0.084729,calls/second,seconds
1513100754,15,0.001000,0.000000,0.000000,0.000009,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.016765,0.011949,0.025167,0.084710,calls/second,seconds
1513101654,15,0.001000,0.000003,0.000000,0.000052,0.000000,0.000000,0.000000,0.000000,0.000000,0.001000,0.016763,0.011950,0.025206,0.084726,calls/second,seconds
1513102554,15,0.001000,0.000040,0.000000,0.000197,0.000000,0.000000,0.000000,0.001000,0.001000,0.001000,0.016765,0.011005,0.024995,0.084681,calls/second,seconds
1513103454,15,0.001000,0.000105,0.000000,0.000306,0.000000,0.000000,0.001000,0.001000,0.001000,0.001000,0.016765,0.011950,0.025210,0.084729,calls/second,seconds
1513104354,15,0.001000,0.000099,0.000000,0.000299,0.000000,0.000000,0.001000,0.001000,0.001000,0.001000,0.016765,0.011715,0.025123,0.084709,calls/second,seconds
1513105254,15,0.001000,0.000244,0.000000,0.000430,0.000000,0.000000,0.001000,0.001000,0.001000,0.001000,0.016765,0.011950,0.025210,0.084729,calls/second,seconds
1513110998,14,0.016000,0.000616,0.000000,0.000488,0.001000,0.001000,0.001000,0.001000,0.001000,0.001000,0.016876,0.011950,0.027531,0.089888,calls/second,seconds
1513111898,15,0.001000,0.000855,0.000000,0.000352,0.001000,0.001000,0.001000,0.001000,0.001000,0.001000,0.016870,0.012988,0.025633,0.085201,calls/second,seconds
1513112798,15,0.001000,0.000974,0.000000,0.000158,0.001000,0.001000,0.001000,0.001000,0.001000,0.001000,0.016871,0.012988,0.025633,0.085201,calls/second,seconds
1513113698,15,0.001000,0.000265,0.000000,0.000441,0.000000,0.001000,0.001000,0.001000,0.001000,0.001000,0.016870,0.012988,0.025623,0.085195,calls/second,seconds
1513114598,15,0.001000,0.000895,0.000000,0.000307,0.001000,0.001000,0.001000,0.001000,0.001000,0.001000,0.016872,0.012984,0.025616,0.085196,calls/second,seconds
1513115498,15,0.001000,0.000366,0.000000,0.000482,0.000000,0.001000,0.001000,0.001000,0.001000,0.001000,0.016871,0.012988,0.025625,0.085195,calls/second,seconds
1513116398,15,0.001000,0.000117,0.000000,0.000322,0.000000,0.000000,0.001000,0.001000,0.001000,0.001000,0.016872,0.012988,0.025630,0.085198,calls/second,seconds
1513117298,15,0.001000,0.000358,0.000000,0.000480,0.000000,0.001000,0.001000,0.001000,0.001000,0.001000,0.016871,0.012988,0.025624,0.085197,calls/second,seconds
1513118198,15,0.001000,0.000292,0.000000,0.000455,0.000000,0.001000,0.001000,0.001000,0.001000,0.001000,0.016871,0.012886,0.025536,0.085172,calls/second,seconds
1513119098,15,0.001000,0.000301,0.000000,0.000459,0.000000,0.001000,0.001000,0.001000,0.001000,0.001000,0.016871,0.012956,0.025599,0.085191,calls/second,seconds
1513119998,15,0.001000,0.000651,0.000000,0.000477,0.001000,0.001000,0.001000,0.001000,0.001000,0.001000,0.016871,0.012988,0.025618,0.085192,calls/second,seconds
1513120898,15,0.001000,0.000298,0.000000,0.000457,0.000000,0.001000,0.001000,0.001000,0.001000,0.001000,0.016871,0.012988,0.025626,0.085195,calls/second,seconds
1513121798,15,0.001000,0.000307,0.000000,0.000461,0.000000,0.001000,0.001000,0.001000,0.001000,0.001000,0.016871,0.012988,0.025633,0.085201,calls/second,seconds
1513122698,15,0.001000,0.000643,0.000000,0.000479,0.001000,0.001000,0.001000,0.001000,0.001000,0.001000,0.016871,0.012988,0.025629,0.085198,calls/second,seconds
1513123598,15,0.001000,0.000122,0.000000,0.000328,0.000000,0.000000,0.001000,0.001000,0.001000,0.001000,0.016871,0.012988,0.025630,0.085198,calls/second,seconds
1513124498,15,0.001000,0.000261,0.000000,0.000439,0.000000,0.001000,0.001000,0.001000,0.001000,0.001000,0.016871,0.012988,0.025633,0.085201,calls/second,seconds
1513125398,15,0.001000,0.000936,0.000000,0.000245,0.001000,0.001000,0.001000,0.001000,0.001000,0.001000,0.016871,0.012988,0.025630,0.085198,calls/second,seconds
1513126298,15,0.001000,0.000636,0.000000,0.000481,0.001000,0.001000,0.001000,0.001000,0.001000,0.001000,0.016872,0.012988,0.025633,0.085201,calls/second,seconds
1513127198,15,0.001000,0.000360,0.000000,0.000480,0.000000,0.001000,0.001000,0.001000,0.001000,0.001000,0.016872,0.012956,0.025607,0.085196,calls/second,seconds
1513128098,15,0.001000,0.000101,0.000000,0.000301,0.000000,0.000000,0.001000,0.001000,0.001000,0.001000,0.016872,0.012988,0.025633,0.085201,calls/second,seconds
1513128998,15,0.001000,0.000636,0.000000,0.000481,0.001000,0.001000,0.001000,0.001000,0.001000,0.001000,0.016871,0.012988,0.025633,0.085201,calls/second,seconds
1513129898,15,0.001000,0.000735,0.000000,0.000441,0.001000,0.001000,0.001000,0.001000,0.001000,0.001000,0.016872,0.012988,0.025633,0.085201,calls/second,seconds
1513130798,15,0.001000,0.000003,0.000000,0.000057,0.000000,0.000000,0.000000,0.000000,0.000000,0.001000,0.016872,0.012988,0.025625,0.085197,calls/second,seconds
1513131698,15,0.001000,0.000245,0.000000,0.000430,0.000000,0.000000,0.001000,0.001000,0.001000,0.001000,0.016872,0.012988,0.025612,0.085191,calls/second,seconds
1513132598,15,0.001000,0.000600,0.000000,0.000490,0.001000,0.001000,0.001000,0.001000,0.001000,0.001000,0.016871,0.012988,0.025620,0.085195,calls/second,seconds
1513133498,15,0.001000,0.000899,0.000000,0.000301,0.001000,0.001000,0.001000,0.001000,0.001000,0.001000,0.016873,0.012988,0.025630,0.085198,calls/second,seconds
1513134398,15,0.001000,0.000283,0.000000,0.000450,0.000000,0.001000,0.001000,0.001000,0.001000,0.001000,0.016872,0.012988,0.025633,0.085201,calls/second,seconds
1513135298,15,0.001000,0.000010,0.000000,0.000097,0.000000,0.000000,0.000000,0.000000,0.000000,0.001000,0.016872,0.012988,0.025633,0.085201,calls/second,seconds
1513136198,15,0.001000,0.000161,0.000000,0.000367,0.000000,0.000000,0.001000,0.001000,0.001000,0.001000,0.016873,0.012988,0.025630,0.085198,calls/second,seconds
1513137098,15,0.001000,0.000252,0.000000,0.000434,0.000000,0.001000,0.001000,0.001000,0.001000,0.001000,0.016872,0.012988,0.025633,0.085201,calls/second,seconds
1513137998,15,0.001000,0.000154,0.000000,0.000361,0.000000,0.000000,0.001000,0.001000,0.001000,0.001000,0.016871,0.012988,0.025633,0.085201,calls/second,seconds
1513138898,15,0.001000,0.000884,0.000000,0.000320,0.001000,0.001000,0.001000,0.001000,0.001000,0.001000,0.016873,0.012988,0.025627,0.085198,calls/second,seconds
1513139798,15,0.001000,0.000258,0.000000,0.000438,0.000000,0.001000,0.001000,0.001000,0.001000,0.001000,0.016872,0.012988,0.025633,0.085201,calls/second,seconds
1513140698,15,0.002000,0.000406,0.000000,0.000491,0.000000,0.001000,0.001000,0.001000,0.001000,0.001000,0.016873,0.012606,0.025439,0.085154,calls/second,seconds
1513141598,15,0.001000,0.000937,0.000000,0.000244,0.001000,0.001000,0.001000,0.001000,0.001000,0.001000,0.016872,0.012988,0.025626,0.085195,calls/second,seconds
1513142498,15,0.001000,0.000018,0.000000,0.000132,0.000000,0.000000,0.000000,0.000000,0.001000,0.001000,0.016872,0.012988,0.025626,0.085195,calls/second,seconds
1513143398,15,0.001000,0.000604,0.000000,0.000489,0.001000,0.001000,0.001000,0.001000,0.001000,0.001000,0.016872,0.012848,0.025483,0.085162,calls/second,seconds
1513144298,15,0.001000,0.000897,0.000000,0.000303,0.001000,0.001000,0.001000,0.001000,0.001000,0.001000,0.016872,0.012988,0.025609,0.085189,calls/second,seconds
1513145198,15,0.001000,0.000380,0.000000,0.000485,0.000000,0.001000,0.001000,0.001000,0.001000,0.001000,0.016872,0.012988,0.025630,0.085198,calls/second,seconds
1513146098,15,0.001000,0.000835,0.000000,0.000371,0.001000,0.001000,0.001000,0.001000,0.001000,0.001000,0.016873,0.012986,0.025582,0.085179,calls/second,seconds
1513146998,15,0.001000,0.000066,0.000000,0.000249,0.000000,0.000000,0.001000,0.001000,0.001000,0.001000,0.016873,0.012988,0.025633,0.085201,calls/second,seconds
1513147898,15,0.001000,0.000102,0.000000,0.000303,0.000000,0.000000,0.001000,0.001000,0.001000,0.001000,0.016873,0.012988,0.025633,0.085201,calls/second,seconds
1513148798,15,0.001000,0.000749,0.000000,0.000434,0.001000,0.001000,0.001000,0.001000,0.001000,0.001000,0.016872,0.012988,0.025609,0.085189,calls/second,seconds
1513149698,15,0.001000,0.000002,0.000000,0.000039,0.000000,0.000000,0.000000,0.000000,0.000000,0.001000,0.016873,0.011950,0.025395,0.085149,calls/second,seconds
1513150598,15,0.001000,0.000241,0.000000,0.000428,0.000000,0.000000,0.001000,0.001000,0.001000,0.001000,0.016872,0.012988,0.025633,0.085201,calls/second,seconds
1513151498,15,0.001000,0.000380,0.000000,0.000485,0.000000,0.001000,0.001000,0.001000,0.001000,0.001000,0.016873,0.012988,0.025633,0.085201,calls/second,seconds
1513152398,15,0.001000,0.000959,0.000000,0.000199,0.001000,0.001000,0.001000,0.001000,0.001000,0.001000,0.016873,0.012988,0.025624,0.085197,calls/second,seconds
1513153298,15,0.001000,0.000842,0.000000,0.000365,0.001000,0.001000,0.001000,0.001000,0.001000,0.001000,0.016873,0.012645,0.025511,0.085173,calls/second,seconds
1513154198,15,0.001000,0.000159,0.000000,0.000365,0.000000,0.000000,0.001000,0.001000,0.001000,0.001000,0.016873,0.012988,0.025633,0.085201,calls/second,seconds
1513155098,15,0.001000,0.000593,0.000000,0.000491,0.001000,0.001000,0.001000,0.001000,0.001000,0.001000,0.016874,0.012969,0.025531,0.085167,calls/second,seconds
1513155998,15,0.001000,0.000937,0.000000,0.000243,0.001000,0.001000,0.001000,0.001000,0.001000,0.001000,0.016874,0.012988,0.025630,0.085198,calls/second,seconds
1513156881,15,0.001000,0.000017,0.000000,0.000129,0.000000,0.000000,0.000000,0.000000,0.001000,0.001000,0.016873,0.012988,0.025633,0.085201,calls/second,seconds
1513157781,15,0.001000,0.000604,0.000000,0.000489,0.001000,0.001000,0.001000,0.001000,0.001000,0.001000,0.017203,0.016677,0.026948,0.086632,calls/second,seconds
1513158681,15,0.001000,0.000027,0.000000,0.000163,0.000000,0.000000,0.000000,0.001000,0.001000,0.001000,0.017203,0.016677,0.026948,0.086632,calls/second,seconds
1513159581,15,0.001000,0.000027,0.000000,0.000162,0.000000,0.000000,0.000000,0.001000,0.001000,0.001000,0.017202,0.016677,0.026948,0.086632,calls/second,seconds
1513160481,15,0.001000,0.000065,0.000000,0.000247,0.000000,0.000000,0.001000,0.001000,0.001000,0.001000,0.017202,0.016677,0.026948,0.086632,calls/second,seconds
1513161381,15,0.001000,0.000619,0.000000,0.000486,0.001000,0.001000,0.001000,0.001000,0.001000,0.001000,0.017202,0.016677,0.026948,0.086632,calls/second,seconds
1513162281,15,0.001000,0.000100,0.000000,0.000300,0.000000,0.000000,0.001000,0.001000,0.001000,0.001000,0.017202,0.016677,0.026948,0.086632,calls/second,seconds
1513163181,15,0.001000,0.000056,0.000000,0.000231,0.000000,0.000000,0.001000,0.001000,0.001000,0.001000,0.017202,0.016677,0.026948,0.086632,calls/second,seconds
1513164081,15,0.001000,0.000858,0.000000,0.000349,0.001000,0.001000,0.001000,0.001000,0.001000,0.001000,0.017202,0.016677,0.026948,0.086632,calls/second,seconds
1513164981,15,0.001000,0.000619,0.000000,0.000486,0.001000,0.001000,0.001000,0.001000,0.001000,0.001000,0.017202,0.016498,0.026791,0.086592,calls/second,seconds
1513165881,15,0.001000,0.000099,0.000000,0.000298,0.000000,0.000000,0.001000,0.001000,0.001000,0.001000,0.017203,0.016677,0.026948,0.086632,calls/second,seconds
1513166781,15,0.001000,0.000381,0.000000,0.000486,0.000000,0.001000,0.001000,0.001000,0.001000,0.001000,0.017202,0.016677,0.026948,0.086632,calls/second,seconds
1513167681,15,0.001000,0.000402,0.000000,0.000490,0.000000,0.001000,0.001000,0.001000,0.001000,0.001000,0.017202,0.016677,0.026948,0.086632,calls/second,seconds
1513168581,15,0.001000,0.000839,0.000000,0.000367,0.001000,0.001000,0.001000,0.001000,0.001000,0.001000,0.017202,0.016677,0.026948,0.086632,calls/second,seconds
1513169481,15,0.001000,0.000155,0.000000,0.000362,0.000000,0.000000,0.001000,0.001000,0.001000,0.001000,0.017203,0.016677,0.026948,0.086632,calls/second,seconds
1513170381,15,0.001000,0.000040,0.000000,0.000196,0.000000,0.000000,0.000000,0.001000,0.001000,0.001000,0.017203,0.016677,0.026948,0.086632,calls/second,seconds
1513171281,15,0.001000,0.000065,0.000000,0.000247,0.000000,0.000000,0.001000,0.001000,0.001000,0.001000,0.017202,0.016677,0.026948,0.086632,calls/second,seconds
1513172181,15,0.001000,0.000898,0.000000,0.000303,0.001000,0.001000,0.001000,0.001000,0.001000,0.001000,0.017204,0.016677,0.026948,0.086632,calls/second,seconds
1513173081,15,0.001000,0.000990,0.000000,0.000097,0.001000,0.001000,0.001000,0.001000,0.001000,0.001000,0.017203,0.016677,0.026948,0.086632,calls/second,seconds
1513173981,15,0.001000,0.000027,0.000000,0.000161,0.000000,0.000000,0.000000,0.001000,0.001000,0.001000,0.017204,0.016677,0.026948,0.086632,calls/second,seconds
