t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit,duration_unit
1513099854,17,0.055000,0.032980,0.029000,0.005777,0.031000,0.033000,0.055000,0.055000,0.055000,0.055000,0.023264,0.000019,0.303343,1.519255,calls/second,seconds
1513703373,15,0.470000,0.119825,0.070000,0.095325,0.092000,0.100000,0.470000,0.470000,0.470000,0.470000,0.025413,0.000175,0.426822,1.566137,calls/second,seconds
1515094161,15,0.646000,0.146956,0.069000,0.135850,0.110000,0.152000,0.646000,0.646000,0.646000,0.646000,0.074557,0.116323,1.566137,2.415595,calls/second,seconds
1516971447,15,0.277000,0.130903,0.072000,0.056564,0.106000,0.162000,0.277000,0.277000,0.277000,0.277000,0.028851,0.000610,0.548051,1.702241,calls/second,seconds
1518701058,15,0.324000,0.085110,0.046000,0.065419,0.062000,0.083000,0.324000,0.324000,0.324000,0.324000,0.024591,0.000136,0.406006,1.540251,calls/second,seconds
1519234758,2,0.281000,0.238819,0.196000,0.042499,0.281000,0.281000,0.281000,0.281000,0.281000,0.281000,0.005054,0.000601,0.109013,0.259338,calls/second,seconds
1519254558,2,0.066000,0.057500,0.049000,0.008500,0.066000,0.066000,0.066000,0.066000,0.066000,0.066000,0.002967,0.000006,0.043589,0.191058,calls/second,seconds
1519381976,15,0.162000,0.064722,0.048000,0.027261,0.055000,0.068000,0.162000,0.162000,0.162000,0.162000,0.021932,0.000039,0.316198,1.417100,calls/second,seconds
1519661541,15,0.185000,0.071696,0.048000,0.035594,0.059000,0.081000,0.185000,0.185000,0.185000,0.185000,0.025417,0.000175,0.426822,1.566137,calls/second,seconds
1519664145,15,0.228000,0.113183,0.074000,0.043159,0.100000,0.140000,0.228000,0.228000,0.228000,0.228000,0.025938,0.000225,0.448706,1.592458,calls/second,seconds
