t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit,duration_unit
1513089954,21,0.001000,0.000033,0.000000,0.000177,0.000000,0.000000,0.000000,0.001000,0.001000,0.001000,0.044214,0.033766,0.075798,0.136661,calls/second,seconds
1513090854,30,0.001000,0.000017,0.000000,0.000129,0.000000,0.000000,0.000000,0.000000,0.001000,0.001000,0.033568,0.031652,0.041693,0.095409,calls/second,seconds
1513091754,30,0.001000,0.000016,0.000000,0.000124,0.000000,0.000000,0.000000,0.000000,0.001000,0.001000,0.033583,0.031652,0.041693,0.095409,calls/second,seconds
1513092654,30,0.001000,0.000152,0.000000,0.000359,0.000000,0.000000,0.001000,0.001000,0.001000,0.001000,0.033597,0.031652,0.041693,0.095409,calls/second,seconds
1513093554,30,0.001000,0.000246,0.000000,0.000431,0.000000,0.000000,0.001000,0.001000,0.001000,0.001000,0.033612,0.031652,0.041693,0.095409,calls/second,seconds
1513094454,30,0.001000,0.000133,0.000000,0.000339,0.000000,0.000000,0.001000,0.001000,0.001000,0.001000,0.033626,0.031652,0.041693,0.095409,calls/second,seconds
1513095354,30,0.001000,0.000042,0.000000,0.000201,0.000000,0.000000,0.000000,0.001000,0.001000,0.001000,0.033640,0.031652,0.041693,0.095409,calls/second,seconds
1513096254,30,0.001000,0.000326,0.000000,0.000469,0.000000,0.001000,0.001000,0.001000,0.001000,0.001000,0.033654,0.031652,0.041693,0.095409,calls/second,seconds
1513097154,30,0.001000,0.000001,0.000000,0.000034,0.000000,0.000000,0.000000,0.000000,0.000000,0.001000,0.033668,0.031652,0.041693,0.095409,calls/second,seconds
1513098054,30,0.001000,0.000000,0.000000,0.000007,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.033683,0.031652,0.041693,0.095409,calls/second,seconds
1513098954,30,0.001000,0.000049,0.000000,0.000215,0.000000,0.000000,0.000000,0.001000,0.001000,0.001000,0.033697,0.031652,0.041693,0.095409,calls/second,seconds
1513099854,32,0.001000,0.000026,0.000000,0.000158,0.000000,0.000000,0.000000,0.001000,0.001000,0.001000,0.035957,0.034402,0.042989,0.096934,calls/second,seconds
1513100754,30,0.001000,0.000147,0.000000,0.000355,0.000000,0.000000,0.001000,0.001000,0.001000,0.001000,0.033725,0.034402,0.042394,0.095941,calls/second,seconds
1513101654,30,0.001000,0.000000,0.000000,0.000013,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.033736,0.034402,0.042394,0.095941,calls/second,seconds
1513102554,30,0.001000,0.000001,0.000000,0.000034,0.000000,0.000000,0.000000,0.000000,0.000000,0.001000,0.033753,0.034402,0.042394,0.095941,calls/second,seconds
1513103454,30,0.001000,0.000000,0.000000,0.000009,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.033768,0.034402,0.042394,0.095941,calls/second,seconds
1513104354,30,0.001000,0.000362,0.000000,0.000481,0.000000,0.001000,0.001000,0.001000,0.001000,0.001000,0.033782,0.034402,0.042394,0.095941,calls/second,seconds
1513105254,30,0.001000,0.000401,0.000000,0.000490,0.000000,0.001000,0.001000,0.001000,0.001000,0.001000,0.033796,0.034402,0.042394,0.095941,calls/second,seconds
1513110998,32,0.002000,0.000747,0.000000,0.000434,0.001000,0.001000,0.001000,0.001000,0.001000,0.001000,0.038581,0.034403,0.045389,0.102153,calls/second,seconds
1513111898,30,0.002000,0.000613,0.000000,0.000598,0.001000,0.001000,0.002000,0.002000,0.002000,0.002000,0.033785,0.034402,0.042394,0.095941,calls/second,seconds
1513112798,30,0.001000,0.000792,0.000000,0.000406,0.001000,0.001000,0.001000,0.001000,0.001000,0.001000,0.033828,0.034402,0.042394,0.095941,calls/second,seconds
1513113698,30,0.001000,0.000484,0.000000,0.000500,0.000000,0.001000,0.001000,0.001000,0.001000,0.001000,0.033866,0.034402,0.042394,0.095941,calls/second,seconds
1513114598,30,0.001000,0.000210,0.000000,0.000408,0.000000,0.000000,0.001000,0.001000,0.001000,0.001000,0.033905,0.037392,0.043106,0.096475,calls/second,seconds
1513115498,30,0.001000,0.000338,0.000000,0.000473,0.000000,0.001000,0.001000,0.001000,0.001000,0.001000,0.033939,0.037392,0.043106,0.096475,calls/second,seconds
1513116398,30,0.001000,0.000496,0.000000,0.000500,0.000000,0.001000,0.001000,0.001000,0.001000,0.001000,0.033974,0.037392,0.043106,0.096475,calls/second,seconds
1513117298,30,0.001000,0.000413,0.000000,0.000492,0.000000,0.001000,0.001000,0.001000,0.001000,0.001000,0.034015,0.037392,0.043106,0.096475,calls/second,seconds
1513118198,30,0.001000,0.000105,0.000000,0.000306,0.000000,0.000000,0.001000,0.001000,0.001000,0.001000,0.034052,0.037392,0.043106,0.096475,calls/second,seconds
