t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit,duration_unit
1513099854,1,0.013000,0.013000,0.013000,0.000000,0.013000,0.013000,0.013000,0.013000,0.013000,0.013000,0.001373,0.000001,0.018144,0.089866,calls/second,seconds
1513703373,4,0.043000,0.025767,0.018000,0.008000,0.018000,0.034000,0.034000,0.034000,0.034000,0.034000,0.006824,0.007460,0.034358,0.107586,calls/second,seconds
1513708773,1,0.042000,0.042000,0.042000,0.000000,0.042000,0.042000,0.042000,0.042000,0.042000,0.042000,0.001593,0.000007,0.025321,0.100427,calls/second,seconds
1513818573,3,0.055000,0.024825,0.002000,0.022043,0.046000,0.046000,0.046000,0.046000,0.046000,0.055000,0.003934,0.000016,0.017584,0.087771,calls/second,seconds
1515094161,1,0.042000,0.042000,0.042000,0.000000,0.042000,0.042000,0.042000,0.042000,0.042000,0.042000,0.005074,0.008429,0.106164,0.161937,calls/second,seconds
1515100461,3,0.021000,0.003534,0.002000,0.005176,0.002000,0.002000,0.021000,0.021000,0.021000,0.021000,0.003383,0.000000,0.011131,0.076151,calls/second,seconds
1515104961,9,0.050000,0.026246,0.022000,0.005104,0.024000,0.029000,0.031000,0.050000,0.050000,0.050000,0.054009,0.080016,0.139526,0.175757,calls/second,seconds
1515105861,1,0.012000,0.012000,0.012000,0.000000,0.012000,0.012000,0.012000,0.012000,0.012000,0.012000,0.001113,0.000000,0.010295,0.074398,calls/second,seconds
1515154461,1,0.142000,0.142000,0.142000,0.000000,0.142000,0.142000,0.142000,0.142000,0.142000,0.142000,0.001789,0.000021,0.031976,0.108549,calls/second,seconds
1515158061,1,0.023000,0.023000,0.023000,0.000000,0.023000,0.023000,0.023000,0.023000,0.023000,0.023000,0.010337,0.044626,0.148164,0.180967,calls/second,seconds
1515158961,9,0.077000,0.028794,0.022000,0.013392,0.022000,0.027000,0.077000,0.077000,0.077000,0.077000,0.011690,0.000171,0.021649,0.091182,calls/second,seconds
1515509061,1,0.072000,0.072000,0.072000,0.000000,0.072000,0.072000,0.072000,0.072000,0.072000,0.072000,0.001270,0.000000,0.014855,0.084070,calls/second,seconds
1515531561,1,0.031000,0.031000,0.031000,0.000000,0.031000,0.031000,0.031000,0.031000,0.031000,0.031000,0.002761,0.000539,0.061251,0.134811,calls/second,seconds
1516971447,2,0.031000,0.026671,0.021000,0.004955,0.031000,0.031000,0.031000,0.031000,0.031000,0.031000,0.003873,0.000045,0.037172,0.114122,calls/second,seconds
1517223447,1,0.029000,0.029000,0.029000,0.000000,0.029000,0.029000,0.029000,0.029000,0.029000,0.029000,0.003845,0.002853,0.085483,0.150654,calls/second,seconds
1517224347,1,0.037000,0.037000,0.037000,0.000000,0.037000,0.037000,0.037000,0.037000,0.037000,0.037000,0.001483,0.000003,0.021794,0.095529,calls/second,seconds
1518701058,2,0.029000,0.022239,0.017000,0.005952,0.017000,0.029000,0.029000,0.029000,0.029000,0.029000,0.003289,0.000010,0.027537,0.103262,calls/second,seconds
1519234758,2,0.025000,0.013342,0.000000,0.012472,0.025000,0.025000,0.025000,0.025000,0.025000,0.025000,0.004952,0.000301,0.054506,0.129669,calls/second,seconds
1519235658,4,4.789000,1.096778,0.026000,1.786386,0.099000,3.696000,4.789000,4.789000,4.789000,4.789000,0.023576,0.025850,0.124709,0.170435,calls/second,seconds
1519236558,3,0.063000,0.052349,0.000000,0.021695,0.063000,0.063000,0.063000,0.063000,0.063000,0.063000,0.019337,0.031380,0.126542,0.171335,calls/second,seconds
1519237458,2,1.343000,1.323980,0.017000,0.157665,1.343000,1.343000,1.343000,1.343000,1.343000,1.343000,0.002226,0.000001,0.010728,0.074961,calls/second,seconds
1519241058,5,0.027000,0.007075,0.000000,0.010463,0.000000,0.017000,0.027000,0.027000,0.027000,0.027000,0.027054,0.026004,0.229308,0.332142,calls/second,seconds
1519241958,2,0.016000,0.015522,0.015000,0.000499,0.016000,0.016000,0.016000,0.016000,0.016000,0.016000,0.002741,0.000001,0.018449,0.090366,calls/second,seconds
1519242858,8,0.028000,0.000322,0.000000,0.002527,0.000000,0.000000,0.000000,0.000000,0.017000,0.028000,0.010670,0.000668,0.022193,0.092402,calls/second,seconds
1519243758,10,0.589000,0.018771,0.000000,0.090200,0.000000,0.010000,0.016000,0.589000,0.589000,0.589000,0.014409,0.000014,0.044382,0.191397,calls/second,seconds
1519248258,3,0.015000,0.004433,0.000000,0.006575,0.001000,0.015000,0.015000,0.015000,0.015000,0.015000,0.018846,0.035186,0.244865,0.339568,calls/second,seconds
1519249158,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.001462,0.000003,0.021080,0.094473,calls/second,seconds
1519252758,2,5.111000,1.052998,0.001000,2.066158,0.001000,0.001000,5.111000,5.111000,5.111000,5.111000,0.003141,0.000007,0.025029,0.099922,calls/second,seconds
1519254558,8,0.027000,0.001073,0.000000,0.001175,0.001000,0.001000,0.001000,0.001000,0.001000,0.016000,0.011876,0.010624,0.029333,0.100644,calls/second,seconds
1519255458,4,0.022000,0.002469,0.001000,0.005357,0.001000,0.001000,0.022000,0.022000,0.022000,0.022000,0.004457,0.000000,0.010972,0.075750,calls/second,seconds
1519263558,2,0.018000,0.009270,0.000000,0.008996,0.018000,0.018000,0.018000,0.018000,0.018000,0.018000,0.164489,0.368018,0.393389,0.397784,calls/second,seconds
1519264458,13,8.207000,0.715617,0.000000,1.680380,0.147000,0.147000,3.681000,8.207000,8.207000,8.207000,0.014555,0.024315,0.031446,0.085243,calls/second,seconds
1519265358,1,0.017000,0.017000,0.017000,0.000000,0.017000,0.017000,0.017000,0.017000,0.017000,0.017000,0.001114,0.000000,0.010295,0.074398,calls/second,seconds
1519306758,1,0.020000,0.020000,0.020000,0.000000,0.020000,0.020000,0.020000,0.020000,0.020000,0.020000,0.002087,0.000079,0.041748,0.118640,calls/second,seconds
1519377673,2,0.021000,0.011785,0.002000,0.009496,0.021000,0.021000,0.021000,0.021000,0.021000,0.021000,0.003159,0.000012,0.049806,0.199741,calls/second,seconds
1519380373,5,0.016000,0.003979,0.000000,0.006315,0.001000,0.001000,0.016000,0.016000,0.016000,0.016000,0.015113,0.005410,0.074892,0.142976,calls/second,seconds
1519381976,11,0.017000,0.008896,0.000000,0.006956,0.012000,0.016000,0.017000,0.017000,0.017000,0.017000,0.016138,0.000501,0.030250,0.101602,calls/second,seconds
1519386476,1,0.023000,0.023000,0.023000,0.000000,0.023000,0.023000,0.023000,0.023000,0.023000,0.023000,0.004236,0.004327,0.092912,0.154897,calls/second,seconds
1519390076,1,0.014000,0.014000,0.014000,0.000000,0.014000,0.014000,0.014000,0.014000,0.014000,0.014000,0.001198,0.000000,0.012786,0.079970,calls/second,seconds
1519661541,3,0.014000,0.002475,0.001000,0.004005,0.001000,0.001000,0.014000,0.014000,0.014000,0.014000,0.004933,0.000020,0.028295,0.103941,calls/second,seconds
1519664145,3,0.016000,0.007740,0.002000,0.004784,0.006000,0.006000,0.016000,0.016000,0.016000,0.016000,0.004968,0.000015,0.028630,0.104476,calls/second,seconds
