t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit,duration_unit
1513089954,1,0.002000,0.002000,0.002000,0.000000,0.002000,0.002000,0.002000,0.002000,0.002000,0.002000,0.002105,0.000079,0.041748,0.118640,calls/second,seconds
1513110998,1,0.009000,0.009000,0.009000,0.000000,0.009000,0.009000,0.009000,0.009000,0.009000,0.009000,0.001206,0.000000,0.013000,0.080415,calls/second,seconds
1513248006,1,0.004000,0.004000,0.004000,0.000000,0.004000,0.004000,0.004000,0.004000,0.004000,0.004000,0.001213,0.000000,0.013219,0.080863,calls/second,seconds
1513267498,1,0.003000,0.003000,0.003000,0.000000,0.003000,0.003000,0.003000,0.003000,0.003000,0.003000,0.001269,0.000000,0.014855,0.084070,calls/second,seconds
1513705173,1,0.003000,0.003000,0.003000,0.000000,0.003000,0.003000,0.003000,0.003000,0.003000,0.003000,0.001389,0.000001,0.018759,0.090870,calls/second,seconds
1513708773,8,0.003000,0.001748,0.001000,0.000660,0.002000,0.002000,0.003000,0.003000,0.003000,0.003000,0.012643,0.000048,0.199223,0.798963,calls/second,seconds
1515080661,1,0.008000,0.008000,0.008000,0.000000,0.008000,0.008000,0.008000,0.008000,0.008000,0.008000,0.001208,0.000000,0.013000,0.080415,calls/second,seconds
1515094161,1,0.003000,0.003000,0.003000,0.000000,0.003000,0.003000,0.003000,0.003000,0.003000,0.003000,0.008760,0.034755,0.140938,0.177976,calls/second,seconds
1515100461,1,0.002000,0.002000,0.002000,0.000000,0.002000,0.002000,0.002000,0.002000,0.002000,0.002000,0.001244,0.000000,0.014130,0.082681,calls/second,seconds
1515104961,40,0.039000,0.002363,0.000000,0.005128,0.002000,0.002000,0.002000,0.007000,0.039000,0.039000,0.124525,0.065441,0.144485,0.176788,calls/second,seconds
1515115761,4,0.003000,0.001689,0.001000,0.000799,0.001000,0.002000,0.003000,0.003000,0.003000,0.003000,0.035282,0.044603,0.148163,0.180967,calls/second,seconds
1515116661,8,0.002000,0.001481,0.001000,0.000500,0.001000,0.002000,0.002000,0.002000,0.002000,0.002000,0.031535,0.008949,0.186080,0.309842,calls/second,seconds
1515158061,5,0.003000,0.001991,0.001000,0.000143,0.002000,0.002000,0.002000,0.002000,0.002000,0.003000,0.012637,0.007338,0.060115,0.132900,calls/second,seconds
1515158961,133,0.003000,0.001597,0.001000,0.000571,0.002000,0.002000,0.002000,0.003000,0.003000,0.003000,0.170366,0.005370,0.113075,0.169901,calls/second,seconds
1515159861,12,0.003000,0.001724,0.001000,0.000630,0.002000,0.002000,0.003000,0.003000,0.003000,0.003000,0.024166,0.002399,0.052909,0.124767,calls/second,seconds
1515169761,12,0.002000,0.001628,0.001000,0.000483,0.002000,0.002000,0.002000,0.002000,0.002000,0.002000,0.013870,0.000007,0.015614,0.082795,calls/second,seconds
1515170661,22,0.002000,0.001352,0.000000,0.000479,0.001000,0.002000,0.002000,0.002000,0.002000,0.002000,0.039386,0.022603,0.063096,0.125718,calls/second,seconds
1515194061,4,0.002000,0.002000,0.002000,0.000000,0.002000,0.002000,0.002000,0.002000,0.002000,0.002000,0.006715,0.000014,0.029435,0.105582,calls/second,seconds
1515194961,8,0.002000,0.001741,0.001000,0.000438,0.002000,0.002000,0.002000,0.002000,0.002000,0.002000,0.028249,0.015971,0.250306,0.446755,calls/second,seconds
1515195861,8,0.002000,0.001326,0.001000,0.000469,0.001000,0.002000,0.002000,0.002000,0.002000,0.002000,0.009978,0.000001,0.029750,0.168166,calls/second,seconds
1515769897,1,0.005000,0.005000,0.005000,0.000000,0.005000,0.005000,0.005000,0.005000,0.005000,0.005000,0.001226,0.000000,0.013441,0.081314,calls/second,seconds
1515781585,1,0.004000,0.004000,0.004000,0.000000,0.004000,0.004000,0.004000,0.004000,0.004000,0.004000,0.001249,0.000000,0.014130,0.082681,calls/second,seconds
1515782918,1,0.008000,0.008000,0.008000,0.000000,0.008000,0.008000,0.008000,0.008000,0.008000,0.008000,0.001233,0.000000,0.013667,0.081767,calls/second,seconds
1516041169,1,0.003000,0.003000,0.003000,0.000000,0.003000,0.003000,0.003000,0.003000,0.003000,0.003000,0.001182,0.000000,0.012162,0.078648,calls/second,seconds
1516877847,1,0.004000,0.004000,0.004000,0.000000,0.004000,0.004000,0.004000,0.004000,0.004000,0.004000,0.001217,0.000000,0.013219,0.080863,calls/second,seconds
1516971447,9,0.002000,0.001108,0.001000,0.000311,0.001000,0.001000,0.002000,0.002000,0.002000,0.002000,0.017869,0.000423,0.307925,0.923763,calls/second,seconds
1517224347,21,0.002000,0.000899,0.000000,0.000420,0.001000,0.001000,0.001000,0.002000,0.002000,0.002000,0.030929,0.000008,0.028639,0.105585,calls/second,seconds
1517522958,1,0.003000,0.003000,0.003000,0.000000,0.003000,0.003000,0.003000,0.003000,0.003000,0.003000,0.001189,0.000000,0.012366,0.079086,calls/second,seconds
1518701058,9,0.001000,0.000543,0.000000,0.000498,0.001000,0.001000,0.001000,0.001000,0.001000,0.001000,0.015016,0.000077,0.196832,0.727972,calls/second,seconds
1519235658,45,0.001000,0.000527,0.000000,0.000499,0.001000,0.001000,0.001000,0.001000,0.001000,0.001000,0.383866,0.326064,0.393811,0.398566,calls/second,seconds
1519237458,278,0.251000,0.001606,0.000000,0.007740,0.000000,0.001000,0.013000,0.015000,0.016000,0.075000,0.413869,0.198635,0.486089,0.787850,calls/second,seconds
1519238358,28,0.001000,0.000668,0.000000,0.000471,0.001000,0.001000,0.001000,0.001000,0.001000,0.001000,0.030931,0.036999,0.041333,0.093229,calls/second,seconds
1519239258,26,0.001000,0.000592,0.000000,0.000491,0.001000,0.001000,0.001000,0.001000,0.001000,0.001000,0.030963,0.027198,0.041663,0.097895,calls/second,seconds
1519240158,27,0.001000,0.000474,0.000000,0.000499,0.000000,0.001000,0.001000,0.001000,0.001000,0.001000,0.030010,0.027197,0.039592,0.093207,calls/second,seconds
1519241058,44,0.083000,0.005303,0.000000,0.007876,0.001000,0.012000,0.019000,0.019000,0.019000,0.019000,0.048904,0.059777,0.054294,0.104343,calls/second,seconds
1519241958,61,7.203000,0.002243,0.000000,0.007461,0.001000,0.001000,0.013000,0.015000,0.015000,0.015000,0.067804,0.070299,0.072484,0.113611,calls/second,seconds
1519242858,185,0.028000,0.007469,0.000000,0.007152,0.011000,0.014000,0.019000,0.019000,0.019000,0.019000,0.205639,0.099269,0.130851,0.184264,calls/second,seconds
1519243758,26,0.001000,0.000838,0.000000,0.000369,0.001000,0.001000,0.001000,0.001000,0.001000,0.001000,0.028901,0.015353,0.032774,0.090954,calls/second,seconds
1519244658,22,0.001000,0.000304,0.000000,0.000460,0.000000,0.001000,0.001000,0.001000,0.001000,0.001000,0.024359,0.014124,0.030923,0.088087,calls/second,seconds
1519245558,5,0.001000,0.000683,0.000000,0.000465,0.001000,0.001000,0.001000,0.001000,0.001000,0.001000,0.005956,0.000001,0.013729,0.081492,calls/second,seconds
1519249158,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.001511,0.000004,0.022533,0.096596,calls/second,seconds
1519264458,93,0.002000,0.000713,0.000000,0.000518,0.001000,0.001000,0.001000,0.002000,0.002000,0.002000,0.342589,0.380472,0.293988,0.238806,calls/second,seconds
1519265358,3,0.001000,0.001000,0.001000,0.000000,0.001000,0.001000,0.001000,0.001000,0.001000,0.001000,0.003343,0.000000,0.030885,0.223194,calls/second,seconds
1519373358,4,0.001000,0.000746,0.000000,0.000435,0.001000,0.001000,0.001000,0.001000,0.001000,0.001000,0.019063,0.028539,0.410734,0.640590,calls/second,seconds
1519374973,1,0.003000,0.003000,0.003000,0.000000,0.003000,0.003000,0.003000,0.003000,0.003000,0.003000,0.001203,0.000000,0.012786,0.079970,calls/second,seconds
1519380373,6,0.001000,0.001000,0.001000,0.000000,0.001000,0.001000,0.001000,0.001000,0.001000,0.001000,0.118821,0.247797,0.357287,0.384899,calls/second,seconds
1519381976,95,0.002000,0.000475,0.000000,0.000499,0.000000,0.001000,0.001000,0.001000,0.001000,0.001000,0.112824,0.127285,0.109404,0.144003,calls/second,seconds
