t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit,duration_unit
1515104961,1,0.013000,0.013000,0.013000,0.000000,0.013000,0.013000,0.013000,0.013000,0.013000,0.013000,0.003286,0.001465,0.074812,0.144105,calls/second,seconds
1515115761,2,0.006000,0.006000,0.006000,0.000000,0.006000,0.006000,0.006000,0.006000,0.006000,0.006000,0.020240,0.089252,0.296327,0.361935,calls/second,seconds
1515116661,5,0.010000,0.006981,0.005000,0.001663,0.007000,0.008000,0.010000,0.010000,0.010000,0.010000,0.020093,0.008490,0.184443,0.308965,calls/second,seconds
1515158061,2,0.007000,0.004970,0.003000,0.002000,0.003000,0.007000,0.007000,0.007000,0.007000,0.007000,0.005251,0.000772,0.114602,0.263696,calls/second,seconds
1515158961,5,0.041000,0.013624,0.005000,0.012821,0.007000,0.013000,0.041000,0.041000,0.041000,0.041000,0.008986,0.000048,0.065628,0.218937,calls/second,seconds
1515159861,7,0.007000,0.005815,0.003000,0.000805,0.006000,0.006000,0.007000,0.007000,0.007000,0.007000,0.014522,0.001704,0.089621,0.240224,calls/second,seconds
1515169761,7,0.009000,0.004935,0.002000,0.002096,0.005000,0.005000,0.009000,0.009000,0.009000,0.009000,0.008232,0.000005,0.026228,0.159298,calls/second,seconds
1515194061,2,0.009000,0.007511,0.006000,0.001500,0.009000,0.009000,0.009000,0.009000,0.009000,0.009000,0.003444,0.000028,0.058839,0.211151,calls/second,seconds
1515194961,2,0.010000,0.007481,0.005000,0.002500,0.005000,0.010000,0.010000,0.010000,0.010000,0.010000,0.017342,0.063952,0.277216,0.353981,calls/second,seconds
1515195861,5,0.006000,0.004237,0.002000,0.001381,0.005000,0.005000,0.006000,0.006000,0.006000,0.006000,0.006272,0.000001,0.029489,0.167690,calls/second,seconds
