t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit,duration_unit
1515104961,5,13.524000,1.424313,0.055000,3.933922,0.169000,0.169000,13.524000,13.524000,13.524000,13.524000,0.014875,0.001484,0.071705,0.141835,calls/second,seconds
1515115761,4,0.100000,0.063127,0.031000,0.025933,0.063000,0.100000,0.100000,0.100000,0.100000,0.100000,0.030731,0.034025,0.138956,0.177040,calls/second,seconds
1515116661,5,0.315000,0.090240,0.026000,0.099407,0.054000,0.060000,0.315000,0.315000,0.315000,0.315000,0.020092,0.008490,0.184443,0.308965,calls/second,seconds
1515158061,4,0.266000,0.119392,0.047000,0.094409,0.082000,0.266000,0.266000,0.266000,0.266000,0.266000,0.009686,0.000320,0.054643,0.129705,calls/second,seconds
1515158961,5,0.189000,0.071817,0.031000,0.053052,0.054000,0.060000,0.189000,0.189000,0.189000,0.189000,0.008986,0.000048,0.065628,0.218937,calls/second,seconds
1515159861,9,0.128000,0.057001,0.024000,0.030393,0.051000,0.053000,0.121000,0.121000,0.121000,0.128000,0.017506,0.001670,0.046708,0.120332,calls/second,seconds
1515169761,9,0.135000,0.069470,0.024000,0.038177,0.067000,0.092000,0.135000,0.135000,0.135000,0.135000,0.010260,0.000004,0.013894,0.080236,calls/second,seconds
1515170661,26,0.121000,0.054285,0.000000,0.033338,0.058000,0.077000,0.109000,0.121000,0.121000,0.121000,0.052679,0.037719,0.241853,0.603179,calls/second,seconds
1515194061,4,0.086000,0.059006,0.036000,0.020116,0.063000,0.086000,0.086000,0.086000,0.086000,0.086000,0.006583,0.000012,0.028502,0.104428,calls/second,seconds
1515194961,5,0.111000,0.065850,0.032000,0.030963,0.058000,0.111000,0.111000,0.111000,0.111000,0.111000,0.017672,0.010699,0.088804,0.151217,calls/second,seconds
1515195861,5,0.176000,0.063900,0.025000,0.052449,0.055000,0.067000,0.176000,0.176000,0.176000,0.176000,0.006272,0.000001,0.029489,0.167690,calls/second,seconds
1519232958,2,0.847000,0.386697,0.030000,0.405202,0.030000,0.847000,0.847000,0.847000,0.847000,0.847000,0.008925,0.006127,0.099373,0.158388,calls/second,seconds
1519233858,7,0.291000,0.057147,0.010000,0.083876,0.018000,0.060000,0.291000,0.291000,0.291000,0.291000,0.013011,0.000059,0.038083,0.114854,calls/second,seconds
1519258158,7,0.119000,0.031650,0.010000,0.033021,0.018000,0.024000,0.119000,0.119000,0.119000,0.119000,0.010994,0.000010,0.027209,0.102744,calls/second,seconds
1519259058,7,0.015000,0.011836,0.009000,0.002166,0.012000,0.015000,0.015000,0.015000,0.015000,0.015000,0.007895,0.000000,0.011851,0.077844,calls/second,seconds
1519263558,7,0.014000,0.011321,0.010000,0.001580,0.011000,0.012000,0.014000,0.014000,0.014000,0.014000,0.011886,0.000024,0.032155,0.108617,calls/second,seconds
1519314858,7,0.171000,0.038384,0.010000,0.041914,0.038000,0.039000,0.171000,0.171000,0.171000,0.171000,0.015471,0.000230,0.050468,0.126206,calls/second,seconds
1519316658,4,0.168000,0.073532,0.024000,0.051764,0.047000,0.095000,0.168000,0.168000,0.168000,0.168000,0.004926,0.000000,0.014404,0.083164,calls/second,seconds
