t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit,duration_unit
1515104961,5,0.006000,0.003434,0.003000,0.000905,0.003000,0.003000,0.006000,0.006000,0.006000,0.006000,0.014874,0.001484,0.071705,0.141835,calls/second,seconds
1515115761,4,0.082000,0.017322,0.002000,0.030375,0.002000,0.005000,0.082000,0.082000,0.082000,0.082000,0.030730,0.034025,0.138956,0.177040,calls/second,seconds
1515116661,2,0.006000,0.004466,0.003000,0.001500,0.003000,0.006000,0.006000,0.006000,0.006000,0.006000,0.008037,0.007326,0.179732,0.306371,calls/second,seconds
1515158061,4,0.006000,0.003004,0.002000,0.001463,0.002000,0.003000,0.006000,0.006000,0.006000,0.006000,0.009686,0.000320,0.054643,0.129705,calls/second,seconds
1515158961,2,0.003000,0.002022,0.001000,0.001000,0.003000,0.003000,0.003000,0.003000,0.003000,0.003000,0.003595,0.000042,0.063952,0.217099,calls/second,seconds
1515159861,6,0.004000,0.002963,0.002000,0.000981,0.002000,0.004000,0.004000,0.004000,0.004000,0.004000,0.011671,0.000599,0.042075,0.117753,calls/second,seconds
1515169761,6,0.073000,0.003134,0.002000,0.006420,0.002000,0.003000,0.003000,0.003000,0.010000,0.073000,0.006840,0.000002,0.012475,0.078497,calls/second,seconds
1515170661,18,0.002000,0.001781,0.001000,0.000413,0.002000,0.002000,0.002000,0.002000,0.002000,0.002000,0.036617,0.029446,0.113358,0.248639,calls/second,seconds
1515194061,4,0.003000,0.001675,0.001000,0.000776,0.001000,0.002000,0.003000,0.003000,0.003000,0.003000,0.006583,0.000012,0.028502,0.104428,calls/second,seconds
1515194961,5,0.003000,0.002289,0.002000,0.000453,0.002000,0.003000,0.003000,0.003000,0.003000,0.003000,0.017672,0.010699,0.088804,0.151217,calls/second,seconds
1515195861,2,0.002000,0.002000,0.002000,0.000000,0.002000,0.002000,0.002000,0.002000,0.002000,0.002000,0.002509,0.000001,0.028735,0.166282,calls/second,seconds
1519232958,2,0.007000,0.004183,0.002000,0.002480,0.002000,0.007000,0.007000,0.007000,0.007000,0.007000,0.008924,0.006127,0.099373,0.158388,calls/second,seconds
1519233858,7,0.003000,0.001882,0.001000,0.000824,0.002000,0.003000,0.003000,0.003000,0.003000,0.003000,0.013011,0.000059,0.038083,0.114854,calls/second,seconds
1519258158,7,0.005000,0.002046,0.001000,0.001362,0.001000,0.002000,0.005000,0.005000,0.005000,0.005000,0.010994,0.000010,0.027209,0.102744,calls/second,seconds
1519259058,7,0.002000,0.001192,0.001000,0.000394,0.001000,0.001000,0.002000,0.002000,0.002000,0.002000,0.007895,0.000000,0.011851,0.077844,calls/second,seconds
1519263558,7,0.003000,0.001524,0.001000,0.000647,0.001000,0.002000,0.003000,0.003000,0.003000,0.003000,0.011886,0.000024,0.032155,0.108617,calls/second,seconds
1519314858,7,0.004000,0.001739,0.001000,0.000955,0.001000,0.002000,0.004000,0.004000,0.004000,0.004000,0.015471,0.000230,0.050468,0.126206,calls/second,seconds
1519316658,4,0.002000,0.001445,0.001000,0.000497,0.001000,0.002000,0.002000,0.002000,0.002000,0.002000,0.004926,0.000000,0.014404,0.083164,calls/second,seconds
