t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit,duration_unit
1515104961,5,0.114000,0.084833,0.005000,0.038366,0.108000,0.108000,0.114000,0.114000,0.114000,0.114000,0.014874,0.001484,0.071705,0.141835,calls/second,seconds
1515115761,4,0.011000,0.007945,0.007000,0.001699,0.007000,0.007000,0.011000,0.011000,0.011000,0.011000,0.030729,0.034025,0.138956,0.177040,calls/second,seconds
1515116661,5,0.079000,0.013446,0.000000,0.028822,0.000000,0.004000,0.079000,0.079000,0.079000,0.079000,0.020092,0.008490,0.184443,0.308965,calls/second,seconds
1515158061,4,0.035000,0.016198,0.005000,0.011197,0.012000,0.017000,0.035000,0.035000,0.035000,0.035000,0.009686,0.000320,0.054643,0.129705,calls/second,seconds
1515158961,5,0.023000,0.004559,0.000000,0.008279,0.001000,0.003000,0.023000,0.023000,0.023000,0.023000,0.008986,0.000048,0.065628,0.218937,calls/second,seconds
1515159861,9,0.018000,0.003550,0.000000,0.006504,0.000000,0.003000,0.018000,0.018000,0.018000,0.018000,0.017506,0.001670,0.046708,0.120332,calls/second,seconds
1515169761,9,0.029000,0.002928,0.000000,0.005640,0.000000,0.002000,0.015000,0.015000,0.015000,0.029000,0.010260,0.000004,0.013894,0.080236,calls/second,seconds
1515170661,18,0.094000,0.048040,0.028000,0.016784,0.049000,0.055000,0.094000,0.094000,0.094000,0.094000,0.036616,0.029446,0.113358,0.248639,calls/second,seconds
1515194061,4,0.015000,0.010096,0.007000,0.002714,0.010000,0.010000,0.015000,0.015000,0.015000,0.015000,0.006583,0.000012,0.028502,0.104428,calls/second,seconds
1515194961,5,0.069000,0.009906,0.003000,0.010360,0.006000,0.016000,0.016000,0.069000,0.069000,0.069000,0.017671,0.010699,0.088804,0.151217,calls/second,seconds
1515195861,5,0.025000,0.004800,0.000000,0.009094,0.000000,0.004000,0.025000,0.025000,0.025000,0.025000,0.006272,0.000001,0.029489,0.167690,calls/second,seconds
1519232958,2,0.091000,0.048744,0.016000,0.037197,0.016000,0.091000,0.091000,0.091000,0.091000,0.091000,0.008924,0.006127,0.099373,0.158388,calls/second,seconds
1519233858,7,0.097000,0.016789,0.002000,0.028454,0.005000,0.015000,0.097000,0.097000,0.097000,0.097000,0.013011,0.000059,0.038083,0.114854,calls/second,seconds
1519258158,7,0.088000,0.016689,0.002000,0.027814,0.003000,0.005000,0.088000,0.088000,0.088000,0.088000,0.010994,0.000010,0.027209,0.102744,calls/second,seconds
1519259058,7,0.004000,0.002463,0.002000,0.000796,0.002000,0.003000,0.004000,0.004000,0.004000,0.004000,0.007895,0.000000,0.011851,0.077844,calls/second,seconds
1519263558,7,0.004000,0.002736,0.001000,0.000789,0.003000,0.003000,0.004000,0.004000,0.004000,0.004000,0.011886,0.000024,0.032155,0.108617,calls/second,seconds
1519314858,7,0.060000,0.010314,0.001000,0.016736,0.004000,0.004000,0.060000,0.060000,0.060000,0.060000,0.015471,0.000230,0.050468,0.126206,calls/second,seconds
1519316658,4,0.086000,0.049575,0.018000,0.028609,0.035000,0.077000,0.086000,0.086000,0.086000,0.086000,0.004926,0.000000,0.014404,0.083164,calls/second,seconds
