t,count
1513089954,24009
1513090854,24069
1513091754,24129
1513092654,24189
1513093554,24249
1513094454,24309
1513095354,24369
1513096254,24429
1513097154,24489
1513098054,24549
1513098954,24609
1513099854,24986
1513100754,25046
1513101654,25106
1513102554,25166
1513103454,25226
1513104354,25286
1513105254,25346
1513110998,114
1513111898,174
1513112798,234
1513113698,294
1513114598,354
1513115498,414
1513116398,474
1513117298,534
1513118198,594
1513119098,654
1513119998,714
1513120898,774
1513121798,834
1513122698,894
1513123598,954
1513124498,1014
1513125398,1074
1513126298,1134
1513127198,1194
1513128098,1254
1513128998,1314
1513129898,1374
1513130798,1434
1513131698,1494
1513132598,1554
1513133498,1614
1513134398,1674
1513135298,1734
1513136198,1794
1513137098,1854
1513137998,1914
1513138898,1974
1513139798,2034
1513140698,2094
1513141598,2160
1513142498,2220
1513143398,2280
1513144298,2340
1513145198,2400
1513146098,2460
1513146998,2520
1513147898,2580
1513148798,2640
1513149698,2700
1513150598,2760
1513151498,2820
1513152398,2880
1513153298,2940
1513154198,3000
1513155098,3060
1513155998,3120
1513156881,3179
1513157781,3239
1513158681,3299
1513159581,3359
1513160481,3419
1513161381,3479
1513162281,3539
1513163181,3599
1513164081,3659
1513164981,3719
1513165881,3779
1513166781,3839
1513167681,3899
1513168581,3959
1513169481,4019
1513170381,4079
1513171281,4139
1513172181,4199
1513173081,4259
1513173981,4319
1513174881,4379
1513175781,4439
1513176681,4499
1513177581,4559
1513178481,4619
1513179381,4679
1513180281,4739
1513181181,4799
1513182081,4859
1513182981,4919
1513183881,4979
1513184781,5039
1513185681,5099
1513186581,5159
1513187481,5219
1513188381,5279
1513189281,5339
1513190181,5398
1513191081,5458
1513191981,5518
1513192881,5578
1513193781,5638
1513194681,5698
1513248006,114
1513248906,174
1513249806,234
1513250706,294
1513251606,354
1513252504,414
1513253404,474
1513254304,534
1513255204,594
1513256104,654
1513257004,714
1513257904,774
1513258804,834
1513259704,894
1513260604,954
1513261504,1014
1513262404,1074
1513263304,1134
1513264206,1194
1513265106,1254
1513266006,1314
1513267498,111
1513268398,171
1513269298,231
1513270198,291
1513271098,351
1513271998,411
1513272898,471
1513273798,531
1513274698,591
1513275598,651
1513276498,711
1513277398,771
1513278298,831
1513279198,891
1513280098,951
1513280998,1011
1513281898,1071
1513282798,1131
1513283698,1191
1513284598,1251
1513285498,1311
1513286398,1371
1513287298,1431
1513288198,1491
1513289098,1551
1513289998,1611
1513290898,1671
1513291798,1731
1513292698,1791
1513293598,1851
1513294498,1911
1513295398,1971
1513296298,2031
1513297198,2091
1513298098,2151
1513298998,2211
1513299898,2271
1513300798,2331
1513301698,2391
1513302598,2451
1513303498,2511
1513304398,2571
1513305298,2631
1513306198,2691
1513307098,2751
1513307998,2811
1513308898,2871
1513309798,2931
1513310698,2991
1513311598,3051
1513312498,3111
1513313398,3171
1513314298,3237
1513315198,3297
1513316098,3357
1513316998,3417
1513317898,3477
1513318798,3537
1513319698,3597
1513320598,3657
1513321498,3717
1513322398,3777
1513323298,3837
1513324198,3897
1513325098,3957
1513325998,4017
1513326898,4077
1513327798,4137
1513328698,4197
1513329598,4257
1513330498,4317
1513331398,4377
1513332298,4437
1513333198,4497
1513334098,4557
1513334998,4617
1513335898,4677
1513336798,4737
1513337698,4797
1513338598,4857
1513339498,4917
1513340398,4977
1513341298,5037
1513342198,5097
1513343098,5157
1513343998,5217
1513344898,5277
1513345798,5337
1513346698,5397
1513347598,5457
1513348498,5517
1513349398,5577
1513350298,5637
1513351198,5697
1513352098,5757
1513352998,5817
1513353898,5877
1513354798,5937
1513355698,5997
1513356598,6057
1513357498,6117
1513358398,6177
1513359298,6237
1513360198,6297
1513361098,6357
1513361998,6417
1513362898,6477
1513363798,6537
1513364698,6597
1513365598,6657
1513366498,6717
1513367398,6777
1513368298,6837
1513369198,6897
1513370098,6957
1513370998,7017
1513371898,7077
1513372798,7137
1513373698,7197
1513374598,7257
1513375498,7317
1513376398,7377
1513377298,7437
1513378198,7497
1513379098,7557
1513379998,7617
1513380898,7677
1513381798,7737
1513382698,7797
1513383598,7857
1513384498,7917
1513385398,7977
1513386298,8037
1513387198,8097
1513388098,8157
1513388998,8217
1513389898,8277
1513390798,8337
1513391698,8397
1513392598,8457
1513393498,8517
1513394398,8577
1513395298,8637
1513396198,8697
1513397098,8757
1513397998,8817
1513398898,8877
1513399798,8937
1513400698,9003
1513401598,9063
1513402498,9123
1513403398,9183
1513404298,9243
1513405198,9303
1513406098,9363
1513406998,9423
1513407898,9483
1513408798,9543
1513409698,9603
1513410598,9663
1513411498,9723
1513412398,9783
1513413298,9843
1513414198,9903
1513415098,9963
1513415998,10023
1513416898,10083
1513417798,10143
1513418698,10203
1513419598,10263
1513420498,10323
1513421398,10383
1513422298,10443
1513423198,10503
1513424098,10563
1513424998,10623
1513425898,10683
1513426798,10743
1513427698,10803
1513428598,10863
1513429498,10923
1513430398,10983
1513431298,11043
1513432198,11103
1513433098,11163
1513433998,11223
1513434898,11283
1513435798,11343
1513436698,11403
1513437598,11463
1513438498,11523
1513439398,11583
1513440298,11643
1513441198,11703
1513442098,11763
1513442998,11823
1513443898,11883
1513444798,11943
1513445698,12003
1513446598,12063
1513447498,12123
1513448398,12183
1513449298,12243
1513450198,12303
1513451098,12363
1513451998,12423
1513452898,12483
1513453798,12543
1513454698,12603
1513455598,12663
1513456498,12723
1513457398,12783
1513458298,12843
1513459198,12903
1513460098,12963
1513460998,13023
1513461898,13083
1513462798,13143
1513463698,13203
1513464598,13263
1513465498,13323
1513466398,13383
1513467298,13443
1513468198,13503
1513469098,13563
1513469998,13623
1513470898,13683
1513471798,13743
1513472698,13803
1513473598,13863
1513474498,13923
1513475398,13983
1513476298,14043
1513477198,14103
1513478098,14163
1513478998,14223
1513479898,14283
1513480798,14343
1513481698,14403
1513482598,14463
1513483498,14523
1513484398,14583
1513485298,14643
1513486198,14703
1513487098,14769
1513487998,14829
1513488898,14889
1513489798,14949
1513490698,15009
1513491598,15069
1513492498,15129
1513493398,15189
1513494298,15249
1513495198,15309
1513496098,15369
1513496998,15429
1513497898,15489
1513498798,15549
1513499698,15609
1513500598,15669
1513501498,15729
1513502398,15789
1513503298,15849
1513504198,15909
1513505098,15969
1513505998,16029
1513506898,16089
1513507798,16149
1513508698,16209
1513509598,16269
1513510498,16329
1513511398,16389
1513512298,16449
1513513198,16509
1513514098,16569
1513514998,16629
1513515898,16689
1513516798,16749
1513517698,16809
1513518598,16869
1513519498,16929
1513520398,16989
1513521298,17049
1513522198,17109
1513523098,17169
1513523998,17229
1513524898,17289
1513525798,17349
1513526698,17409
1513527598,17469
1513528498,17529
1513529398,17589
1513530298,17649
1513531198,17709
1513532098,17769
1513532998,17829
1513533898,17889
1513534798,17949
1513535698,18009
1513536598,18069
1513537498,18129
1513538398,18189
1513539298,18249
1513540198,18309
1513541098,18369
1513541998,18429
1513542898,18489
1513543798,18549
1513544698,18609
1513545598,18669
1513546498,18729
1513547398,18789
1513548298,18849
1513549198,18909
1513550098,18969
1513550998,19029
1513551898,19089
1513552798,19149
1513553698,19209
1513554598,19269
1513555498,19329
1513556398,19389
1513557298,19449
1513558198,19509
1513559098,19569
1513559998,19629
1513560898,19689
1513561798,19749
1513562698,19809
1513563598,19869
1513564498,19929
1513565398,19989
1513566298,20049
1513567198,20109
1513568098,20169
1513568998,20229
1513569898,20289
1513570798,20349
1513571698,20409
1513572598,20469
1513573498,20535
1513574398,20595
1513575298,20655
1513576198,20715
1513577098,20775
1513577998,20835
1513578898,20895
1513579798,20955
1513580698,21015
1513581598,21075
1513582498,21135
1513583398,21195
1513584298,21255
1513585198,21315
1513586098,21375
1513586998,21435
1513587898,21495
1513588798,21555
1513589698,21615
1513590598,21675
1513591498,21735
1513592398,21795
1513593298,21855
1513594198,21915
1513595098,21975
1513595998,22035
1513596898,22095
1513597798,22155
1513598698,22215
1513599598,22275
1513600498,22335
1513601398,22395
1513602298,22455
1513603198,22515
1513604098,22575
1513604998,22635
1513605898,22695
1513606798,22755
1513607698,22815
1513608598,22875
1513609498,22935
1513610398,22995
1513611298,23055
1513612198,23115
1513613098,23175
1513613998,23235
1513614898,23295
1513615798,23355
1513616698,23415
1513617598,23475
1513618498,23535
1513619398,23595
1513620298,23655
1513621198,23715
1513622098,23775
1513622998,23835
1513623898,23895
1513624798,23955
1513625698,24015
1513626598,24075
1513627498,24135
1513628398,24195
1513629298,24255
1513630198,24315
1513631098,24375
1513631998,24435
1513632898,24495
1513633798,24555
1513634698,24614
1513635598,24674
1513636498,24734
1513637398,24794
1513638298,24854
1513639198,24914
1513640098,24974
1513640998,25034
1513641898,25094
1513642798,25154
1513643698,25214
1513644598,25274
1513645498,25334
1513646398,25394
1513647298,25454
1513648198,25514
1513649098,25574
1513649998,25634
1513650898,25694
1513651798,25754
1513652698,25814
1513653598,25874
1513654498,25934
1513655398,25994
1513656298,26054
1513657198,26114
1513658098,26174
1513658998,26234
1513659898,26300
1513660798,26360
1513661698,26420
1513662598,26480
1513663498,26540
1513664398,26600
1513665298,26660
1513666198,26720
1513667098,26780
1513667998,26840
1513668898,26900
1513669798,26960
1513670698,27020
1513671598,27080
1513672498,27140
1513673398,27200
1513674298,27260
1513675198,27320
1513676098,27380
1513676998,27440
1513677898,27500
1513678798,27560
1513679698,27620
1513680598,27680
1513682673,27741
1513683573,27801
1513684473,27861
1513685373,27921
1513686273,27981
1513687173,28041
1513688073,28101
1513688973,28161
1513689873,28221
1513690773,28281
1513691673,28341
1513692573,28401
1513693473,28461
1513694373,28521
1513695273,28581
1513696173,28641
1513697073,28701
1513697973,28761
1513698873,28821
1513699773,28881
1513700673,28941
1513701573,29001
1513702473,29063
1513703373,29176
1513704273,29236
1513705173,29296
1513706073,29356
1513706973,29416
1513707873,29476
1513708773,29538
1513709673,29598
1513710573,29658
1513711473,29718
1513712373,29778
1513713273,29838
1513714173,29898
1513715073,29958
1513715973,30018
1513716873,30078
1513717773,30138
1513718673,30198
1513719573,30258
1513720473,30318
1513721373,30378
1513722273,30438
1513723173,30498
1513724073,30558
1513724973,30618
1513725873,30678
1513726773,30738
1513727673,30798
1513728573,30858
1513729473,30918
1513730373,30978
1513731273,31038
1513732173,31098
1513733073,31158
1513733973,31218
1513734873,31278
1513735773,31338
1513736673,31398
1513737573,31458
1513738473,31518
1513739373,31578
1513740273,31638
1513741173,31698
1513742073,31758
1513742973,31818
1513743873,31878
1513744773,31938
1513745673,31998
1513746573,32064
1513747473,32124
1513748373,32184
1513749273,32244
1513750173,32304
1513751073,32364
1513751973,32424
1513752873,32484
1513753773,32544
1513754673,32604
1513755573,32664
1513756473,32724
1513757373,32784
1513758273,32844
1513759173,32904
1513760073,32964
1513760973,33024
1513761873,33084
1513762773,33144
1513763673,33204
1513764573,33264
1513765473,33324
1513766373,33384
1513767273,33444
1513768173,33504
1513769073,33564
1513769973,33624
1513770873,33684
1513771773,33744
1513772673,33804
1513773573,33864
1513774473,33924
1513775373,33984
1513776273,34044
1513777173,34104
1513778073,34164
1513778973,34224
1513779873,34284
1513780773,34344
1513781673,34404
1513782573,34464
1513783473,34524
1513784373,34584
1513785273,34644
1513786173,34704
1513787073,34764
1513787973,34824
1513788873,34884
1513789773,34944
1513790673,35004
1513791573,35064
1513792473,35124
1513793373,35184
1513794273,35244
1513795173,35304
1513796073,35364
1513796973,35424
1513797873,35484
1513798773,35544
1513799673,35604
1513800573,35664
1513801473,35724
1513802373,35784
1513803273,35844
1513804173,35904
1513805073,35964
1513805973,36024
1513806873,36084
1513807773,36144
1513808673,36204
1513809573,36264
1513810473,36324
1513811373,36384
1513812273,36444
1513813173,36504
1513814073,36564
1513814973,36624
1513815873,36684
1513816773,36744
1513817673,36804
1513818573,36866
1513819473,36926
1513820373,36986
1513821273,37046
1513822173,37106
1513823073,37166
1513823973,37226
1513824873,37286
1513825773,37346
1513826673,37406
1513827573,37466
1513828473,37526
1513829373,37586
1513830273,37646
1513831173,37706
1513832073,37766
1513832973,37832
1513833873,37892
1513834773,37952
1513835673,38012
1513836573,38072
1513837473,38132
1513838373,38192
1513839273,38252
1513840173,38312
1513841073,38372
1513841973,38432
1513842873,38492
1513843773,38552
1513844673,38612
1513845573,38672
1513846473,38732
1513847373,38792
1513848273,38852
1513849173,38912
1513850073,38972
1513850973,39032
1513851873,39092
1513852773,39152
1513853673,39212
1513854573,39272
1513855473,39332
1513856373,39392
1513857273,39452
1513858173,39512
1513859073,39572
1513859973,39632
1513860873,39692
1513861773,39752
1513862673,39812
1513863573,39872
1513864473,39932
1513865373,39992
1513866273,40052
1513867173,40112
1513868073,40172
1513868973,40232
1513869873,40292
1513870773,40352
1513871673,40412
1513872573,40472
1513873473,40532
1513874373,40592
1513875273,40652
1513876173,40712
1513877073,40772
1513877973,40832
1513878873,40892
1513879773,40952
1513880673,41012
1513881573,41072
1513882473,41132
1513883373,41192
1513884273,41252
1513885173,41312
1513886073,41372
1513886973,41432
1513887873,41492
1513888773,41552
1513889673,41612
1513890573,41672
1513891473,41732
1513892373,41792
1513893273,41852
1513894173,41912
1513895073,41972
1513895973,42032
1513896873,42092
1513897773,42152
1513898673,42212
1513899573,42272
1513900473,42332
1513901373,42392
1513902273,42452
1513903173,42512
1513904073,42572
1513904973,42632
1513905873,42692
1513906773,42752
1513907673,42812
1513908573,42871
1513909473,42931
1513910373,42991
1513911273,43051
1513912173,43111
1513913073,43171
1513913973,43231
1513914873,43291
1513915773,43351
1513916673,43411
1513917573,43471
1513918473,43531
1513919373,43597
1513920273,43657
1513921173,43717
1513922073,43777
1513922973,43837
1513923873,43897
1513924773,43957
1513925673,44017
1513926573,44077
1513927473,44137
1513928373,44197
1513929273,44257
1513930173,44317
1513931073,44377
1513931973,44437
1513932873,44497
1513933773,44557
1513934673,44617
1513935573,44677
1513936473,44737
1513937373,44797
1513938273,44857
1513939173,44917
