t,value
1513089954,149
1513090854,151
1513091754,152
1513092654,152
1513093554,153
1513094454,154
1513095354,154
1513096254,155
1513097154,156
1513098054,156
1513098954,157
1513099854,159
1513100754,160
1513101654,160
1513102554,161
1513103454,162
1513104354,163
1513105254,163
1513110998,16
1513111898,17
1513112798,18
1513113698,19
1513114598,20
1513115498,21
1513116398,22
1513117298,23
1513118198,24
1513119098,26
1513119998,27
1513120898,28
1513121798,29
1513122698,30
1513123598,32
1513124498,33
1513125398,34
1513126298,35
1513127198,37
1513128098,38
1513128998,39
1513129898,40
1513130798,42
1513131698,43
1513132598,44
1513133498,45
1513134398,46
1513135298,48
1513136198,49
1513137098,50
1513137998,51
1513138898,53
1513139798,54
1513140698,55
1513141598,56
1513142498,58
1513143398,59
1513144298,60
1513145198,62
1513146098,63
1513146998,64
1513147898,65
1513148798,67
1513149698,68
1513150598,69
1513151498,70
1513152398,72
1513153298,73
1513154198,74
1513155098,76
1513155998,77
1513156881,78
1513157781,80
1513158681,81
1513159581,83
1513160481,84
1513161381,85
1513162281,87
1513163181,88
1513164081,90
1513164981,91
1513165881,92
1513166781,94
1513167681,95
1513168581,97
1513169481,98
1513170381,100
1513171281,101
1513172181,103
1513173081,104
1513173981,105
1513174881,107
1513175781,108
1513176681,110
1513177581,112
1513178481,113
1513179381,115
1513180281,116
1513181181,118
1513182081,119
1513182981,121
1513183881,122
1513184781,124
1513185681,126
1513186581,127
1513187481,129
1513188381,130
1513189281,132
1513190181,134
1513191081,135
1513191981,137
1513192881,140
1513193781,141
1513194681,142
1513248006,14
1513248906,15
1513249806,16
1513250706,17
1513251606,18
1513252504,19
1513253404,21
1513254304,22
1513255204,23
1513256104,24
1513257004,25
1513257904,26
1513258804,27
1513259704,28
1513260604,29
1513261504,30
1513262404,32
1513263304,33
1513264206,34
1513265106,35
1513266006,36
1513267498,14
1513268398,16
1513269298,17
1513270198,18
1513271098,19
1513271998,20
1513272898,21
1513273798,22
1513274698,23
1513275598,24
1513276498,25
1513277398,26
1513278298,28
1513279198,29
1513280098,30
1513280998,31
1513281898,32
1513282798,33
1513283698,34
1513284598,35
1513285498,36
1513286398,38
1513287298,39
1513288198,40
1513289098,41
1513289998,42
1513290898,43
1513291798,45
1513292698,46
1513293598,47
1513294498,48
1513295398,49
1513296298,51
1513297198,52
1513298098,54
1513298998,55
1513299898,57
1513300798,58
1513301698,59
1513302598,60
1513303498,62
1513304398,63
1513305298,64
1513306198,66
1513307098,67
1513307998,68
1513308898,69
1513309798,71
1513310698,72
1513311598,73
1513312498,75
1513313398,76
1513314298,78
1513315198,79
1513316098,80
1513316998,82
1513317898,83
1513318798,85
1513319698,86
1513320598,87
1513321498,89
1513322398,90
1513323298,92
1513324198,93
1513325098,94
1513325998,96
1513326898,97
1513327798,99
1513328698,100
1513329598,102
1513330498,103
1513331398,105
1513332298,106
1513333198,108
1513334098,109
1513334998,111
1513335898,112
1513336798,114
1513337698,116
1513338598,117
1513339498,119
1513340398,120
1513341298,122
1513342198,124
1513343098,125
1513343998,129
1513344898,130
1513345798,131
1513346698,133
1513347598,134
1513348498,135
1513349398,137
1513350298,138
1513351198,139
1513352098,141
1513352998,142
1513353898,144
1513354798,145
1513355698,146
1513356598,148
1513357498,149
1513358398,151
1513359298,152
1513360198,154
1513361098,155
1513361998,157
1513362898,158
1513363798,159
1513364698,161
1513365598,162
1513366498,164
1513367398,165
1513368298,167
1513369198,168
1513370098,170
1513370998,172
1513371898,173
1513372798,175
1513373698,176
1513374598,178
1513375498,180
1513376398,181
1513377298,183
1513378198,184
1513379098,187
1513379998,188
1513380898,190
1513381798,191
1513382698,193
1513383598,195
1513384498,197
1513385398,198
1513386298,200
1513387198,202
1513388098,204
1513388998,205
1513389898,207
1513390798,208
1513391698,210
1513392598,213
1513393498,214
1513394398,217
1513395298,218
1513396198,221
1513397098,222
1513397998,224
1513398898,226
1513399798,227
1513400698,229
1513401598,231
1513402498,232
1513403398,234
1513404298,236
1513405198,237
1513406098,240
1513406998,242
1513407898,244
1513408798,247
1513409698,248
1513410598,250
1513411498,252
1513412398,253
1513413298,255
1513414198,257
1513415098,260
1513415998,261
1513416898,263
1513417798,265
1513418698,266
1513419598,268
1513420498,270
1513421398,272
1513422298,274
1513423198,275
1513424098,277
1513424998,280
1513425898,283
1513426798,285
1513427698,287
1513428598,289
1513429498,292
1513430398,294
1513431298,296
1513432198,297
1513433098,299
1513433998,301
1513434898,303
1513435798,305
1513436698,307
1513437598,310
1513438498,312
1513439398,315
1513440298,318
1513441198,320
1513442098,322
1513442998,324
1513443898,326
1513444798,328
1513445698,330
1513446598,332
1513447498,335
1513448398,338
1513449298,340
1513450198,343
1513451098,345
1513451998,347
1513452898,349
1513453798,352
1513454698,354
1513455598,357
1513456498,359
1513457398,361
1513458298,364
1513459198,366
1513460098,368
1513460998,370
1513461898,373
1513462798,377
1513463698,380
1513464598,382
1513465498,385
1513466398,388
1513467298,390
1513468198,394
1513469098,397
1513469998,400
1513470898,403
1513471798,405
1513472698,410
1513473598,412
1513474498,415
1513475398,417
1513476298,420
1513477198,423
1513478098,426
1513478998,429
1513479898,431
1513480798,434
1513481698,436
1513482598,439
1513483498,443
1513484398,445
1513485298,449
1513486198,451
1513487098,454
1513487998,457
1513488898,460
1513489798,463
1513490698,466
1513491598,468
1513492498,471
1513493398,475
1513494298,477
1513495198,480
1513496098,483
1513496998,486
1513497898,490
1513498798,493
1513499698,496
1513500598,499
1513501498,502
1513502398,505
1513503298,508
1513504198,512
1513505098,515
1513505998,518
1513506898,521
1513507798,525
1513508698,528
1513509598,531
1513510498,535
1513511398,539
1513512298,543
1513513198,546
1513514098,549
1513514998,552
1513515898,556
1513516798,560
1513517698,564
1513518598,567
1513519498,571
1513520398,574
1513521298,579
1513522198,583
1513523098,586
1513523998,590
1513524898,594
1513525798,598
1513526698,603
1513527598,606
1513528498,611
1513529398,616
1513530298,620
1513531198,623
1513532098,627
1513532998,633
1513533898,637
1513534798,641
1513535698,646
1513536598,650
1513537498,654
1513538398,659
1513539298,664
1513540198,668
1513541098,673
1513541998,677
1513542898,683
1513543798,688
1513544698,692
1513545598,697
1513546498,702
1513547398,708
1513548298,712
1513549198,717
1513550098,723
1513550998,728
1513551898,734
1513552798,739
1513553698,745
1513554598,750
1513555498,757
1513556398,762
1513557298,768
1513558198,774
1513559098,783
1513559998,790
1513560898,795
1513561798,801
1513562698,807
1513563598,814
1513564498,821
1513565398,827
1513566298,834
1513567198,841
1513568098,847
1513568998,854
1513569898,861
1513570798,869
1513571698,876
1513572598,882
1513573498,892
1513574398,898
1513575298,906
