t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit,duration_unit
1513089954,8,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.009374,0.000004,0.026181,0.159602,calls/second,seconds
1513110998,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.001193,0.000000,0.012574,0.079527,calls/second,seconds
1513248006,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.001198,0.000000,0.012786,0.079970,calls/second,seconds
1513267498,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.001251,0.000000,0.014368,0.083141,calls/second,seconds
1515080661,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.001194,0.000000,0.012574,0.079527,calls/second,seconds
1515104961,7,13.363000,1.021510,0.014000,3.495895,0.027000,0.039000,13.363000,13.363000,13.363000,13.363000,0.020814,0.001667,0.074057,0.143406,calls/second,seconds
1515115761,6,0.029000,0.019186,0.008000,0.007576,0.017000,0.028000,0.029000,0.029000,0.029000,0.029000,0.046053,0.039865,0.143655,0.179017,calls/second,seconds
1515116661,4,0.096000,0.049792,0.010000,0.036622,0.019000,0.076000,0.096000,0.096000,0.096000,0.096000,0.016053,0.014653,0.359463,0.612743,calls/second,seconds
1515158061,6,0.078000,0.034014,0.017000,0.022756,0.019000,0.041000,0.078000,0.078000,0.078000,0.078000,0.014527,0.000375,0.056491,0.131154,calls/second,seconds
1515158961,4,0.127000,0.083081,0.028000,0.038254,0.070000,0.109000,0.127000,0.127000,0.127000,0.127000,0.007187,0.000084,0.127904,0.434198,calls/second,seconds
1515159861,10,0.040000,0.023209,0.008000,0.010652,0.015000,0.026000,0.040000,0.040000,0.040000,0.040000,0.019450,0.001149,0.046321,0.120737,calls/second,seconds
1515169761,10,0.081000,0.031008,0.009000,0.018546,0.020000,0.039000,0.057000,0.057000,0.057000,0.081000,0.011398,0.000003,0.013741,0.080488,calls/second,seconds
1515170661,18,0.022000,0.015644,0.005000,0.004899,0.017000,0.019000,0.022000,0.022000,0.022000,0.022000,0.036614,0.029446,0.113358,0.248639,calls/second,seconds
1515194061,6,0.026000,0.020196,0.010000,0.005402,0.022000,0.025000,0.026000,0.026000,0.026000,0.026000,0.009874,0.000014,0.029451,0.105589,calls/second,seconds
1515194961,7,0.036000,0.020431,0.012000,0.007940,0.021000,0.024000,0.036000,0.036000,0.036000,0.036000,0.024738,0.015247,0.093274,0.153162,calls/second,seconds
