t,value
1513089954,4294967296
1513090854,4294967296
1513091754,4294967296
1513092654,4294967296
1513093554,4294967296
1513094454,4294967296
1513095354,4294967296
1513096254,4294967296
1513097154,4294967296
1513098054,4294967296
1513098954,4294967296
1513099854,4294967296
1513100754,4294967296
1513101654,4294967296
1513102554,4294967296
1513103454,4294967296
1513104354,4294967296
1513105254,4294967296
1513110998,1086324736
1513111898,1086324736
1513112798,1086324736
1513113698,1086324736
1513114598,1086324736
1513115498,1086324736
1513116398,1086324736
1513117298,1086324736
1513118198,1086324736
1513119098,1086324736
1513119998,1086324736
1513120898,1086324736
1513121798,1086324736
1513122698,1086324736
1513123598,1086324736
1513124498,1086324736
1513125398,1086324736
1513126298,1086324736
1513127198,1086324736
1513128098,1086324736
1513128998,1086324736
1513129898,1086324736
1513130798,1086324736
1513131698,1086324736
1513132598,1086324736
1513133498,1086324736
1513134398,1086324736
1513135298,1086324736
1513136198,1086324736
1513137098,1086324736
1513137998,1086324736
1513138898,1086324736
1513139798,1086324736
1513140698,1086324736
1513141598,1086324736
1513142498,1086324736
1513143398,1086324736
1513144298,1086324736
1513145198,1086324736
1513146098,1086324736
1513146998,1086324736
1513147898,1086324736
1513148798,1086324736
1513149698,1086324736
1513150598,1086324736
1513151498,1086324736
1513152398,1086324736
1513153298,1086324736
1513154198,1086324736
1513155098,1086324736
1513155998,1086324736
1513156881,1086324736
1513157781,1086324736
1513158681,1086324736
1513159581,1086324736
1513160481,1086324736
1513161381,1086324736
1513162281,1086324736
1513163181,1086324736
1513164081,1086324736
1513164981,1086324736
1513165881,1086324736
1513166781,1086324736
1513167681,1086324736
1513168581,1086324736
1513169481,1086324736
1513170381,1086324736
1513171281,1086324736
1513172181,1086324736
1513173081,1086324736
1513173981,1086324736
1513174881,1086324736
1513175781,1086324736
1513176681,1086324736
1513177581,1086324736
1513178481,1086324736
1513179381,1086324736
1513180281,1086324736
1513181181,1086324736
1513182081,1086324736
1513182981,1086324736
1513183881,1086324736
1513184781,1086324736
1513185681,1086324736
1513186581,1086324736
1513187481,1086324736
1513188381,1086324736
1513189281,1086324736
1513190181,1086324736
1513191081,1086324736
1513191981,1086324736
1513192881,1086324736
1513193781,1086324736
1513194681,1086324736
1513248006,1073741824
1513248906,1073741824
1513249806,1073741824
1513250706,1073741824
1513251606,1073741824
1513252504,1073741824
1513253404,1073741824
1513254304,1073741824
1513255204,1073741824
1513256104,1073741824
1513257004,1073741824
1513257904,1073741824
1513258804,1073741824
1513259704,1073741824
1513260604,1073741824
1513261504,1073741824
1513262404,1073741824
1513263304,1073741824
1513264206,1073741824
1513265106,1073741824
1513266006,1073741824
1513267498,1107296256
1513268398,1107296256
1513269298,1107296256
1513270198,1107296256
1513271098,1107296256
1513271998,1107296256
1513272898,1107296256
1513273798,1107296256
1513274698,1107296256
1513275598,1107296256
1513276498,1107296256
1513277398,1107296256
1513278298,1107296256
1513279198,1107296256
1513280098,1107296256
1513280998,1107296256
1513281898,1107296256
1513282798,1107296256
1513283698,1107296256
1513284598,1107296256
1513285498,1107296256
1513286398,1107296256
1513287298,1107296256
1513288198,1107296256
1513289098,1107296256
1513289998,1107296256
1513290898,1107296256
1513291798,1107296256
1513292698,1107296256
1513293598,1107296256
1513294498,1107296256
1513295398,1107296256
1513296298,1107296256
1513297198,1107296256
1513298098,1107296256
1513298998,1107296256
1513299898,1107296256
1513300798,1107296256
1513301698,1107296256
1513302598,1107296256
1513303498,1107296256
1513304398,1107296256
1513305298,1107296256
1513306198,1107296256
1513307098,1107296256
1513307998,1107296256
1513308898,1107296256
1513309798,1107296256
1513310698,1107296256
1513311598,1107296256
1513312498,1107296256
1513313398,1107296256
1513314298,1107296256
1513315198,1107296256
1513316098,1107296256
1513316998,1107296256
1513317898,1107296256
1513318798,1107296256
1513319698,1107296256
1513320598,1107296256
1513321498,1107296256
1513322398,1107296256
1513323298,1107296256
1513324198,1107296256
1513325098,1107296256
1513325998,1107296256
1513326898,1107296256
1513327798,1107296256
1513328698,1107296256
1513329598,1107296256
1513330498,1107296256
1513331398,1107296256
1513332298,1107296256
1513333198,1107296256
1513334098,1107296256
1513334998,1107296256
1513335898,1107296256
1513336798,1107296256
1513337698,1107296256
1513338598,1107296256
1513339498,1107296256
1513340398,1107296256
1513341298,1107296256
1513342198,1107296256
1513343098,1107296256
1513343998,1107296256
1513344898,1107296256
1513345798,1107296256
1513346698,1107296256
1513347598,1107296256
1513348498,1107296256
1513349398,1107296256
1513350298,1107296256
1513351198,1107296256
1513352098,1107296256
1513352998,1107296256
1513353898,1107296256
1513354798,1107296256
1513355698,1107296256
1513356598,1107296256
1513357498,1107296256
1513358398,1107296256
1513359298,1107296256
1513360198,1107296256
1513361098,1107296256
1513361998,1107296256
1513362898,1107296256
1513363798,1107296256
1513364698,1107296256
1513365598,1107296256
1513366498,1107296256
1513367398,1107296256
1513368298,1107296256
1513369198,1107296256
1513370098,1107296256
1513370998,1107296256
1513371898,1107296256
1513372798,1107296256
1513373698,1107296256
1513374598,1107296256
1513375498,1107296256
1513376398,1107296256
1513377298,1107296256
1513378198,1107296256
1513379098,1107296256
1513379998,1107296256
1513380898,1107296256
1513381798,1107296256
1513382698,1107296256
1513383598,1107296256
1513384498,1107296256
1513385398,1107296256
1513386298,1107296256
1513387198,1107296256
1513388098,1107296256
1513388998,1107296256
1513389898,1107296256
1513390798,1107296256
1513391698,1107296256
1513392598,1107296256
1513393498,1107296256
1513394398,1107296256
1513395298,1107296256
1513396198,1107296256
1513397098,1107296256
1513397998,1107296256
1513398898,1107296256
1513399798,1107296256
1513400698,1107296256
1513401598,1107296256
1513402498,1107296256
1513403398,1107296256
1513404298,1107296256
1513405198,1107296256
1513406098,1107296256
1513406998,1107296256
1513407898,1107296256
1513408798,1107296256
1513409698,1107296256
1513410598,1107296256
1513411498,1107296256
1513412398,1107296256
1513413298,1107296256
1513414198,1107296256
1513415098,1107296256
1513415998,1107296256
1513416898,1107296256
1513417798,1107296256
1513418698,1107296256
1513419598,1107296256
1513420498,1107296256
1513421398,1107296256
1513422298,1107296256
1513423198,1107296256
1513424098,1107296256
1513424998,1107296256
1513425898,1107296256
1513426798,1107296256
1513427698,1107296256
1513428598,1107296256
1513429498,1107296256
1513430398,1107296256
1513431298,1107296256
1513432198,1107296256
1513433098,1107296256
1513433998,1107296256
1513434898,1107296256
1513435798,1107296256
1513436698,1107296256
1513437598,1107296256
1513438498,1107296256
1513439398,1107296256
1513440298,1107296256
1513441198,1107296256
1513442098,1107296256
1513442998,1107296256
1513443898,1107296256
