t,value
1513089954,4294967296
1513090854,4294967296
1513091754,4294967296
1513092654,4294967296
1513093554,4294967296
1513094454,4294967296
1513095354,4294967296
1513096254,4294967296
1513097154,4294967296
1513098054,4294967296
1513098954,4294967296
1513099854,4294967296
1513100754,4294967296
1513101654,4294967296
1513102554,4294967296
1513103454,4294967296
1513104354,4294967296
1513105254,4294967296
1513110998,4294967296
1513111898,4294967296
1513112798,4294967296
1513113698,4294967296
1513114598,4294967296
1513115498,4294967296
1513116398,4294967296
1513117298,4294967296
1513118198,4294967296
1513119098,4294967296
1513119998,4294967296
1513120898,4294967296
1513121798,4294967296
1513122698,4294967296
1513123598,4294967296
1513124498,4294967296
1513125398,4294967296
1513126298,4294967296
1513127198,4294967296
1513128098,4294967296
1513128998,4294967296
1513129898,4294967296
1513130798,4294967296
1513131698,4294967296
1513132598,4294967296
1513133498,4294967296
1513134398,4294967296
1513135298,4294967296
1513136198,4294967296
1513137098,4294967296
1513137998,4294967296
1513138898,4294967296
1513139798,4294967296
1513140698,4294967296
1513141598,4294967296
1513142498,4294967296
1513143398,4294967296
1513144298,4294967296
1513145198,4294967296
1513146098,4294967296
1513146998,4294967296
1513147898,4294967296
1513148798,4294967296
1513149698,4294967296
1513150598,4294967296
1513151498,4294967296
1513152398,4294967296
1513153298,4294967296
1513154198,4294967296
1513155098,4294967296
1513155998,4294967296
1513156881,4294967296
1513157781,4294967296
1513158681,4294967296
1513159581,4294967296
1513160481,4294967296
1513161381,4294967296
1513162281,4294967296
1513163181,4294967296
1513164081,4294967296
1513164981,4294967296
1513165881,4294967296
1513166781,4294967296
1513167681,4294967296
1513168581,4294967296
1513169481,4294967296
1513170381,4294967296
1513171281,4294967296
1513172181,4294967296
1513173081,4294967296
1513173981,4294967296
1513174881,4294967296
1513175781,4294967296
1513176681,4294967296
1513177581,4294967296
1513178481,4294967296
1513179381,4294967296
1513180281,4294967296
1513181181,4294967296
1513182081,4294967296
1513182981,4294967296
1513183881,4294967296
1513184781,4294967296
1513185681,4294967296
1513186581,4294967296
1513187481,4294967296
1513188381,4294967296
1513189281,4294967296
1513190181,4294967296
1513191081,4294967296
1513191981,4294967296
1513192881,4294967296
1513193781,4294967296
1513194681,4294967296
1513248006,4294967296
1513248906,4294967296
1513249806,4294967296
1513250706,4294967296
1513251606,4294967296
1513252504,4294967296
1513253404,4294967296
1513254304,4294967296
1513255204,4294967296
1513256104,4294967296
1513257004,4294967296
1513257904,4294967296
1513258804,4294967296
1513259704,4294967296
1513260604,4294967296
1513261504,4294967296
1513262404,4294967296
1513263304,4294967296
1513264206,4294967296
1513265106,4294967296
1513266006,4294967296
1513267498,4294967296
1513268398,4294967296
1513269298,4294967296
1513270198,4294967296
1513271098,4294967296
1513271998,4294967296
1513272898,4294967296
1513273798,4294967296
1513274698,4294967296
1513275598,4294967296
1513276498,4294967296
1513277398,4294967296
1513278298,4294967296
1513279198,4294967296
1513280098,4294967296
1513280998,4294967296
1513281898,4294967296
1513282798,4294967296
1513283698,4294967296
1513284598,4294967296
1513285498,4294967296
1513286398,4294967296
1513287298,4294967296
1513288198,4294967296
1513289098,4294967296
1513289998,4294967296
1513290898,4294967296
1513291798,4294967296
1513292698,4294967296
1513293598,4294967296
1513294498,4294967296
1513295398,4294967296
1513296298,4294967296
1513297198,4294967296
1513298098,4294967296
1513298998,4294967296
1513299898,4294967296
1513300798,4294967296
1513301698,4294967296
1513302598,4294967296
1513303498,4294967296
1513304398,4294967296
1513305298,4294967296
1513306198,4294967296
1513307098,4294967296
1513307998,4294967296
1513308898,4294967296
1513309798,4294967296
1513310698,4294967296
1513311598,4294967296
1513312498,4294967296
1513313398,4294967296
1513314298,4294967296
1513315198,4294967296
1513316098,4294967296
1513316998,4294967296
1513317898,4294967296
1513318798,4294967296
1513319698,4294967296
1513320598,4294967296
1513321498,4294967296
1513322398,4294967296
1513323298,4294967296
1513324198,4294967296
1513325098,4294967296
1513325998,4294967296
1513326898,4294967296
1513327798,4294967296
1513328698,4294967296
1513329598,4294967296
1513330498,4294967296
1513331398,4294967296
1513332298,4294967296
1513333198,4294967296
1513334098,4294967296
1513334998,4294967296
1513335898,4294967296
1513336798,4294967296
1513337698,4294967296
1513338598,4294967296
1513339498,4294967296
1513340398,4294967296
1513341298,4294967296
1513342198,4294967296
1513343098,4294967296
1513343998,4294967296
1513344898,4294967296
1513345798,4294967296
1513346698,4294967296
1513347598,4294967296
1513348498,4294967296
1513349398,4294967296
1513350298,4294967296
1513351198,4294967296
1513352098,4294967296
1513352998,4294967296
1513353898,4294967296
1513354798,4294967296
1513355698,4294967296
1513356598,4294967296
1513357498,4294967296
1513358398,4294967296
1513359298,4294967296
1513360198,4294967296
1513361098,4294967296
1513361998,4294967296
1513362898,4294967296
1513363798,4294967296
1513364698,4294967296
1513365598,4294967296
1513366498,4294967296
1513367398,4294967296
1513368298,4294967296
1513369198,4294967296
1513370098,4294967296
1513370998,4294967296
1513371898,4294967296
1513372798,4294967296
1513373698,4294967296
1513374598,4294967296
1513375498,4294967296
1513376398,4294967296
1513377298,4294967296
1513378198,4294967296
1513379098,4294967296
1513379998,4294967296
1513380898,4294967296
1513381798,4294967296
1513382698,4294967296
1513383598,4294967296
1513384498,4294967296
1513385398,4294967296
1513386298,4294967296
1513387198,4294967296
1513388098,4294967296
1513388998,4294967296
1513389898,4294967296
1513390798,4294967296
1513391698,4294967296
1513392598,4294967296
1513393498,4294967296
1513394398,4294967296
1513395298,4294967296
1513396198,4294967296
1513397098,4294967296
1513397998,4294967296
1513398898,4294967296
1513399798,4294967296
1513400698,4294967296
1513401598,4294967296
1513402498,4294967296
1513403398,4294967296
1513404298,4294967296
1513405198,4294967296
1513406098,4294967296
1513406998,4294967296
1513407898,4294967296
1513408798,4294967296
1513409698,4294967296
1513410598,4294967296
1513411498,4294967296
1513412398,4294967296
1513413298,4294967296
1513414198,4294967296
1513415098,4294967296
1513415998,4294967296
1513416898,4294967296
1513417798,4294967296
1513418698,4294967296
1513419598,4294967296
1513420498,4294967296
1513421398,4294967296
1513422298,4294967296
1513423198,4294967296
1513424098,4294967296
1513424998,4294967296
1513425898,4294967296
1513426798,4294967296
1513427698,4294967296
1513428598,4294967296
1513429498,4294967296
1513430398,4294967296
1513431298,4294967296
1513432198,4294967296
1513433098,4294967296
1513433998,4294967296
1513434898,4294967296
1513435798,4294967296
1513436698,4294967296
1513437598,4294967296
1513438498,4294967296
1513439398,4294967296
1513440298,4294967296
1513441198,4294967296
1513442098,4294967296
1513442998,4294967296
1513443898,4294967296
