t,value
1513089954,1593835520
1513090854,1593835520
1513091754,1593835520
1513092654,1593835520
1513093554,1593835520
1513094454,1593835520
1513095354,1593835520
1513096254,1593835520
1513097154,1593835520
1513098054,1593835520
1513098954,1593835520
1513099854,1593835520
1513100754,1593835520
1513101654,1593835520
1513102554,1593835520
1513103454,1593835520
1513104354,1593835520
1513105254,1593835520
1513110998,1593835520
1513111898,1593835520
1513112798,1593835520
1513113698,1593835520
1513114598,1593835520
1513115498,1593835520
1513116398,1593835520
1513117298,1593835520
1513118198,1593835520
1513119098,1593835520
1513119998,1593835520
1513120898,1593835520
1513121798,1593835520
1513122698,1593835520
1513123598,1593835520
1513124498,1593835520
1513125398,1593835520
1513126298,1593835520
1513127198,1593835520
1513128098,1593835520
1513128998,1593835520
1513129898,1593835520
1513130798,1593835520
1513131698,1593835520
1513132598,1593835520
1513133498,1593835520
1513134398,1593835520
1513135298,1593835520
1513136198,1593835520
1513137098,1593835520
1513137998,1593835520
1513138898,1593835520
1513139798,1593835520
1513140698,1593835520
1513141598,1593835520
1513142498,1593835520
1513143398,1593835520
1513144298,1593835520
1513145198,1593835520
1513146098,1593835520
1513146998,1593835520
1513147898,1593835520
1513148798,1593835520
1513149698,1593835520
1513150598,1593835520
1513151498,1593835520
1513152398,1593835520
1513153298,1593835520
1513154198,1593835520
1513155098,1593835520
1513155998,1593835520
1513156881,1593835520
1513157781,1593835520
1513158681,1593835520
1513159581,1593835520
1513160481,1593835520
1513161381,1593835520
1513162281,1593835520
1513163181,1593835520
1513164081,1593835520
1513164981,1593835520
1513165881,1593835520
1513166781,1593835520
1513167681,1593835520
1513168581,1593835520
1513169481,1593835520
1513170381,1593835520
1513171281,1593835520
1513172181,1593835520
1513173081,1593835520
1513173981,1593835520
1513174881,1593835520
1513175781,1593835520
1513176681,1593835520
1513177581,1593835520
1513178481,1593835520
1513179381,1593835520
1513180281,1593835520
1513181181,1593835520
1513182081,1593835520
1513182981,1593835520
1513183881,1593835520
1513184781,1593835520
1513185681,1593835520
1513186581,1593835520
1513187481,1593835520
1513188381,1593835520
1513189281,1593835520
1513190181,1593835520
1513191081,1593835520
1513191981,1593835520
1513192881,1593835520
1513193781,1593835520
1513194681,1593835520
1513248006,1593835520
1513248906,1593835520
1513249806,1593835520
1513250706,1593835520
1513251606,1593835520
1513252504,1593835520
1513253404,1593835520
1513254304,1593835520
1513255204,1593835520
1513256104,1593835520
1513257004,1593835520
1513257904,1593835520
1513258804,1593835520
1513259704,1593835520
1513260604,1593835520
1513261504,1593835520
1513262404,1593835520
1513263304,1593835520
1513264206,1593835520
1513265106,1593835520
1513266006,1593835520
1513267498,1593835520
1513268398,1593835520
1513269298,1593835520
1513270198,1593835520
1513271098,1593835520
1513271998,1593835520
1513272898,1593835520
1513273798,1593835520
1513274698,1593835520
1513275598,1593835520
1513276498,1593835520
1513277398,1593835520
1513278298,1593835520
1513279198,1593835520
1513280098,1593835520
1513280998,1593835520
1513281898,1593835520
1513282798,1593835520
1513283698,1593835520
1513284598,1593835520
1513285498,1593835520
1513286398,1593835520
1513287298,1593835520
1513288198,1593835520
1513289098,1593835520
1513289998,1593835520
1513290898,1593835520
1513291798,1593835520
1513292698,1593835520
1513293598,1593835520
1513294498,1593835520
1513295398,1593835520
1513296298,1593835520
1513297198,1593835520
1513298098,1593835520
1513298998,1593835520
1513299898,1593835520
1513300798,1593835520
1513301698,1593835520
1513302598,1593835520
1513303498,1593835520
1513304398,1593835520
1513305298,1593835520
1513306198,1593835520
1513307098,1593835520
1513307998,1593835520
1513308898,1593835520
1513309798,1593835520
1513310698,1593835520
1513311598,1593835520
1513312498,1593835520
1513313398,1593835520
1513314298,1593835520
1513315198,1593835520
1513316098,1593835520
1513316998,1593835520
1513317898,1593835520
1513318798,1593835520
1513319698,1593835520
1513320598,1593835520
1513321498,1593835520
1513322398,1593835520
1513323298,1593835520
1513324198,1593835520
1513325098,1593835520
1513325998,1593835520
1513326898,1593835520
1513327798,1593835520
1513328698,1593835520
1513329598,1593835520
1513330498,1593835520
1513331398,1593835520
1513332298,1593835520
1513333198,1593835520
1513334098,1593835520
1513334998,1593835520
1513335898,1593835520
1513336798,1593835520
1513337698,1593835520
1513338598,1593835520
1513339498,1593835520
1513340398,1593835520
1513341298,1593835520
1513342198,1593835520
1513343098,1593835520
1513343998,1593835520
1513344898,1593835520
1513345798,1593835520
1513346698,1593835520
1513347598,1593835520
1513348498,1593835520
1513349398,1593835520
1513350298,1593835520
1513351198,1593835520
1513352098,1593835520
1513352998,1593835520
1513353898,1593835520
1513354798,1593835520
1513355698,1593835520
1513356598,1593835520
1513357498,1593835520
1513358398,1593835520
1513359298,1593835520
1513360198,1593835520
1513361098,1593835520
1513361998,1593835520
1513362898,1593835520
1513363798,1593835520
1513364698,1593835520
1513365598,1593835520
1513366498,1593835520
1513367398,1593835520
1513368298,1593835520
1513369198,1593835520
1513370098,1593835520
1513370998,1593835520
1513371898,1593835520
1513372798,1593835520
1513373698,1593835520
1513374598,1593835520
1513375498,1593835520
1513376398,1593835520
1513377298,1593835520
1513378198,1593835520
1513379098,1593835520
1513379998,1593835520
1513380898,1593835520
1513381798,1593835520
1513382698,1593835520
1513383598,1593835520
1513384498,1593835520
1513385398,1593835520
1513386298,1593835520
1513387198,1593835520
1513388098,1593835520
1513388998,1593835520
1513389898,1593835520
1513390798,1593835520
1513391698,1593835520
1513392598,1593835520
1513393498,1593835520
1513394398,1593835520
1513395298,1593835520
1513396198,1593835520
1513397098,1593835520
1513397998,1593835520
1513398898,1593835520
1513399798,1593835520
1513400698,1593835520
1513401598,1593835520
1513402498,1593835520
1513403398,1593835520
1513404298,1593835520
1513405198,1593835520
1513406098,1593835520
1513406998,1593835520
1513407898,1593835520
1513408798,1593835520
1513409698,1593835520
1513410598,1593835520
1513411498,1593835520
1513412398,1593835520
1513413298,1593835520
1513414198,1593835520
1513415098,1593835520
1513415998,1593835520
1513416898,1593835520
1513417798,1593835520
1513418698,1593835520
1513419598,1593835520
1513420498,1593835520
1513421398,1593835520
1513422298,1593835520
1513423198,1593835520
1513424098,1593835520
1513424998,1593835520
1513425898,1593835520
1513426798,1593835520
1513427698,1593835520
1513428598,1593835520
1513429498,1593835520
1513430398,1593835520
1513431298,1593835520
1513432198,1593835520
1513433098,1593835520
1513433998,1593835520
1513434898,1593835520
1513435798,1593835520
1513436698,1593835520
1513437598,1593835520
1513438498,1593835520
1513439398,1593835520
1513440298,1593835520
1513441198,1593835520
1513442098,1593835520
1513442998,1593835520
1513443898,1593835520
1513444798,1593835520
1513445698,1593835520
1513446598,1593835520
1513447498,1593835520
1513448398,1593835520
1513449298,1593835520
1513450198,1593835520
1513451098,1593835520
1513451998,1593835520
1513452898,1593835520
1513453798,1593835520
1513454698,1593835520
1513455598,1593835520
1513456498,1593835520
1513457398,1593835520
1513458298,1593835520
1513459198,1593835520
1513460098,1593835520
1513460998,1593835520
1513461898,1593835520
1513462798,1593835520
1513463698,1593835520
1513464598,1593835520
1513465498,1593835520
1513466398,1593835520
1513467298,1593835520
1513468198,1593835520
1513469098,1593835520
1513469998,1593835520
1513470898,1593835520
1513471798,1593835520
1513472698,1593835520
1513473598,1593835520
1513474498,1593835520
1513475398,1593835520
1513476298,1593835520
1513477198,1593835520
1513478098,1593835520
1513478998,1593835520
1513479898,1593835520
1513480798,1593835520
1513481698,1593835520
1513482598,1593835520
1513483498,1593835520
1513484398,1593835520
1513485298,1593835520
1513486198,1593835520
1513487098,1593835520
1513487998,1593835520
1513488898,1593835520
1513489798,1593835520
1513490698,1593835520
1513491598,1593835520
1513492498,1593835520
1513493398,1593835520
1513494298,1593835520
1513495198,1593835520
1513496098,1593835520
1513496998,1593835520
1513497898,1593835520
1513498798,1593835520
1513499698,1593835520
1513500598,1593835520
1513501498,1593835520
1513502398,1593835520
1513503298,1593835520
1513504198,1593835520
1513505098,1593835520
1513505998,1593835520
1513506898,1593835520
1513507798,1593835520
1513508698,1593835520
1513509598,1593835520
1513510498,1593835520
1513511398,1593835520
1513512298,1593835520
1513513198,1593835520
1513514098,1593835520
1513514998,1593835520
1513515898,1593835520
1513516798,1593835520
1513517698,1593835520
1513518598,1593835520
1513519498,1593835520
1513520398,1593835520
1513521298,1593835520
1513522198,1593835520
1513523098,1593835520
1513523998,1593835520
1513524898,1593835520
1513525798,1593835520
1513526698,1593835520
1513527598,1593835520
1513528498,1593835520
1513529398,1593835520
1513530298,1593835520
1513531198,1593835520
1513532098,1593835520
1513532998,1593835520
1513533898,1593835520
1513534798,1593835520
1513535698,1593835520
1513536598,1593835520
1513537498,1593835520
1513538398,1593835520
1513539298,1593835520
1513540198,1593835520
1513541098,1593835520
1513541998,1593835520
1513542898,1593835520
1513543798,1593835520
1513544698,1593835520
1513545598,1593835520
1513546498,1593835520
1513547398,1593835520
1513548298,1593835520
1513549198,1593835520
1513550098,1593835520
1513550998,1593835520
1513551898,1593835520
1513552798,1593835520
1513553698,1593835520
1513554598,1593835520
1513555498,1593835520
1513556398,1593835520
1513557298,1593835520
1513558198,1593835520
1513559098,1593835520
1513559998,1593835520
1513560898,1593835520
1513561798,1593835520
1513562698,1593835520
1513563598,1593835520
1513564498,1593835520
1513565398,1593835520
1513566298,1593835520
1513567198,1593835520
1513568098,1593835520
1513568998,1593835520
1513569898,1593835520
1513570798,1593835520
1513571698,1593835520
1513572598,1593835520
1513573498,1593835520
1513574398,1593835520
1513575298,1593835520
1513576198,1593835520
1513577098,1593835520
1513577998,1593835520
1513578898,1593835520
1513579798,1593835520
1513580698,1593835520
1513581598,1593835520
1513582498,1593835520
1513583398,1593835520
1513584298,1593835520
1513585198,1593835520
1513586098,1593835520
1513586998,1593835520
1513587898,1593835520
1513588798,1593835520
1513589698,1593835520
1513590598,1593835520
1513591498,1593835520
1513592398,1593835520
1513593298,1593835520
1513594198,1593835520
1513595098,1593835520
1513595998,1593835520
1513596898,1593835520
1513597798,1593835520
1513598698,1593835520
1513599598,1593835520
1513600498,1593835520
1513601398,1593835520
1513602298,1593835520
1513603198,1593835520
1513604098,1593835520
1513604998,1593835520
1513605898,1593835520
1513606798,1593835520
1513607698,1593835520
1513608598,1593835520
1513609498,1593835520
1513610398,1593835520
1513611298,1593835520
1513612198,1593835520
1513613098,1593835520
1513613998,1593835520
1513614898,1593835520
1513615798,1593835520
1513616698,1593835520
1513617598,1593835520
1513618498,1593835520
1513619398,1593835520
1513620298,1593835520
1513621198,1593835520
1513622098,1593835520
1513622998,1593835520
1513623898,1593835520
1513624798,1593835520
1513625698,1593835520
1513626598,1593835520
1513627498,1593835520
1513628398,1593835520
1513629298,1593835520
1513630198,1593835520
1513631098,1593835520
1513631998,1593835520
1513632898,1593835520
1513633798,1593835520
1513634698,1593835520
1513635598,1593835520
1513636498,1593835520
1513637398,1593835520
1513638298,1593835520
1513639198,1593835520
1513640098,1593835520
1513640998,1593835520
1513641898,1593835520
1513642798,1593835520
1513643698,1593835520
1513644598,1593835520
1513645498,1593835520
1513646398,1593835520
1513647298,1593835520
1513648198,1593835520
1513649098,1593835520
1513649998,1593835520
1513650898,1593835520
1513651798,1593835520
1513652698,1593835520
1513653598,1593835520
1513654498,1593835520
1513655398,1593835520
1513656298,1593835520
1513657198,1593835520
1513658098,1593835520
1513658998,1593835520
1513659898,1593835520
1513660798,1593835520
1513661698,1593835520
1513662598,1593835520
1513663498,1593835520
1513664398,1593835520
1513665298,1593835520
1513666198,1593835520
1513667098,1593835520
1513667998,1593835520
1513668898,1593835520
1513669798,1593835520
1513670698,1593835520
1513671598,1593835520
1513672498,1593835520
1513673398,1593835520
1513674298,1593835520
1513675198,1593835520
1513676098,1593835520
1513676998,1593835520
1513677898,1593835520
1513678798,1593835520
1513679698,1593835520
1513680598,1593835520
1513682673,1593835520
1513683573,1593835520
1513684473,1593835520
1513685373,1593835520
1513686273,1593835520
1513687173,1593835520
1513688073,1593835520
1513688973,1593835520
1513689873,1593835520
1513690773,1593835520
1513691673,1593835520
1513692573,1593835520
1513693473,1593835520
1513694373,1593835520
1513695273,1593835520
1513696173,1593835520
1513697073,1593835520
1513697973,1593835520
1513698873,1593835520
1513699773,1593835520
1513700673,1593835520
1513701573,1593835520
1513702473,1593835520
1513703373,1593835520
1513704273,1593835520
1513705173,1593835520
1513706073,1593835520
1513706973,1593835520
1513707873,1593835520
1513708773,1593835520
1513709673,1593835520
1513710573,1593835520
1513711473,1593835520
1513712373,1593835520
1513713273,1593835520
1513714173,1593835520
1513715073,1593835520
1513715973,1593835520
1513716873,1593835520
1513717773,1593835520
1513718673,1593835520
1513719573,1593835520
1513720473,1593835520
1513721373,1593835520
1513722273,1593835520
1513723173,1593835520
1513724073,1593835520
1513724973,1593835520
1513725873,1593835520
1513726773,1593835520
1513727673,1593835520
1513728573,1593835520
1513729473,1593835520
1513730373,1593835520
1513731273,1593835520
1513732173,1593835520
1513733073,1593835520
1513733973,1593835520
1513734873,1593835520
1513735773,1593835520
1513736673,1593835520
1513737573,1593835520
1513738473,1593835520
1513739373,1593835520
1513740273,1593835520
1513741173,1593835520
1513742073,1593835520
1513742973,1593835520
1513743873,1593835520
1513744773,1593835520
1513745673,1593835520
1513746573,1593835520
1513747473,1593835520
1513748373,1593835520
1513749273,1593835520
1513750173,1593835520
1513751073,1593835520
1513751973,1593835520
1513752873,1593835520
1513753773,1593835520
1513754673,1593835520
1513755573,1593835520
1513756473,1593835520
1513757373,1593835520
1513758273,1593835520
1513759173,1593835520
1513760073,1593835520
1513760973,1593835520
1513761873,1593835520
1513762773,1593835520
1513763673,1593835520
1513764573,1593835520
1513765473,1593835520
1513766373,1593835520
1513767273,1593835520
1513768173,1593835520
1513769073,1593835520
1513769973,1593835520
1513770873,1593835520
1513771773,1593835520
1513772673,1593835520
1513773573,1593835520
1513774473,1593835520
1513775373,1593835520
1513776273,1593835520
1513777173,1593835520
1513778073,1593835520
1513778973,1593835520
1513779873,1593835520
1513780773,1593835520
1513781673,1593835520
1513782573,1593835520
1513783473,1593835520
1513784373,1593835520
1513785273,1593835520
1513786173,1593835520
1513787073,1593835520
1513787973,1593835520
1513788873,1593835520
1513789773,1593835520
1513790673,1593835520
1513791573,1593835520
1513792473,1593835520
1513793373,1593835520
1513794273,1593835520
1513795173,1593835520
1513796073,1593835520
1513796973,1593835520
1513797873,1593835520
1513798773,1593835520
1513799673,1593835520
1513800573,1593835520
1513801473,1593835520
1513802373,1593835520
1513803273,1593835520
1513804173,1593835520
1513805073,1593835520
1513805973,1593835520
1513806873,1593835520
1513807773,1593835520
1513808673,1593835520
1513809573,1593835520
1513810473,1593835520
1513811373,1593835520
1513812273,1593835520
1513813173,1593835520
1513814073,1593835520
1513814973,1593835520
1513815873,1593835520
1513816773,1593835520
1513817673,1593835520
1513818573,1593835520
1513819473,1593835520
1513820373,1593835520
1513821273,1593835520
1513822173,1593835520
1513823073,1593835520
1513823973,1593835520
1513824873,1593835520
1513825773,1593835520
1513826673,1593835520
1513827573,1593835520
1513828473,1593835520
1513829373,1593835520
1513830273,1593835520
1513831173,1593835520
1513832073,1593835520
1513832973,1593835520
1513833873,1593835520
1513834773,1593835520
1513835673,1593835520
1513836573,1593835520
1513837473,1593835520
1513838373,1593835520
1513839273,1593835520
1513840173,1593835520
1513841073,1593835520
1513841973,1593835520
1513842873,1593835520
1513843773,1593835520
1513844673,1593835520
1513845573,1593835520
1513846473,1593835520
1513847373,1593835520
1513848273,1593835520
1513849173,1593835520
1513850073,1593835520
1513850973,1593835520
1513851873,1593835520
1513852773,1593835520
1513853673,1593835520
1513854573,1593835520
1513855473,1593835520
1513856373,1593835520
1513857273,1593835520
1513858173,1593835520
1513859073,1593835520
1513859973,1593835520
1513860873,1593835520
1513861773,1593835520
1513862673,1593835520
1513863573,1593835520
1513864473,1593835520
1513865373,1593835520
1513866273,1593835520
1513867173,1593835520
1513868073,1593835520
1513868973,1593835520
1513869873,1593835520
1513870773,1593835520
1513871673,1593835520
1513872573,1593835520
1513873473,1593835520
1513874373,1593835520
1513875273,1593835520
1513876173,1593835520
1513877073,1593835520
1513877973,1593835520
1513878873,1593835520
1513879773,1593835520
1513880673,1593835520
1513881573,1593835520
1513882473,1593835520
1513883373,1593835520
1513884273,1593835520
1513885173,1593835520
1513886073,1593835520
1513886973,1593835520
1513887873,1593835520
1513888773,1593835520
1513889673,1593835520
1513890573,1593835520
1513891473,1593835520
1513892373,1593835520
1513893273,1593835520
1513894173,1593835520
1513895073,1593835520
1513895973,1593835520
1513896873,1593835520
1513897773,1593835520
1513898673,1593835520
1513899573,1593835520
1513900473,1593835520
1513901373,1593835520
1513902273,1593835520
1513903173,1593835520
1513904073,1593835520
1513904973,1593835520
1513905873,1593835520
1513906773,1593835520
1513907673,1593835520
1513908573,1593835520
1513909473,1593835520
1513910373,1593835520
1513911273,1593835520
1513912173,1593835520
1513913073,1593835520
1513913973,1593835520
1513914873,1593835520
1513915773,1593835520
1513916673,1593835520
1513917573,1593835520
1513918473,1593835520
1513919373,1593835520
1513920273,1593835520
1513921173,1593835520
1513922073,1593835520
1513922973,1593835520
1513923873,1593835520
1513924773,1593835520
1513925673,1593835520
1513926573,1593835520
1513927473,1593835520
1513928373,1593835520
1513929273,1593835520
1513930173,1593835520
1513931073,1593835520
1513931973,1593835520
1513932873,1593835520
1513933773,1593835520
1513934673,1593835520
1513935573,1593835520
1513936473,1593835520
1513937373,1593835520
1513938273,1593835520
1513939173,1593835520
1513940073,1593835520
1513940973,1593835520
1513941873,1593835520
1513942773,1593835520
1513943673,1593835520
1513944573,1593835520
1513945473,1593835520
1513946373,1593835520
1513947273,1593835520
1513948173,1593835520
1513949073,1593835520
1513949973,1593835520
1513950873,1593835520
1513951773,1593835520
1513952673,1593835520
1513953573,1593835520
1513954473,1593835520
1513955373,1593835520
1513956273,1593835520
1513957173,1593835520
1513958073,1593835520
1513958973,1593835520
1513959873,1593835520
1513960773,1593835520
1513961673,1593835520
1513962573,1593835520
1513963473,1593835520
1513964373,1593835520
1513965273,1593835520
1513966173,1593835520
1513967073,1593835520
1513967973,1593835520
1513968873,1593835520
1513969773,1593835520
1513970673,1593835520
1513971573,1593835520
1513972473,1593835520
1513973373,1593835520
1513974273,1593835520
1513975173,1593835520
1513976073,1593835520
1513976973,1593835520
1513977873,1593835520
1513978773,1593835520
1513979673,1593835520
1513980573,1593835520
1513981473,1593835520
1513982373,1593835520
1513983273,1593835520
1513984173,1593835520
1513985073,1593835520
1513985973,1593835520
1513986873,1593835520
1513987773,1593835520
1513988673,1593835520
1513989573,1593835520
1513990473,1593835520
1513991373,1593835520
1513992273,1593835520
1513993173,1593835520
1513994073,1593835520
1513994973,1593835520
1513995873,1593835520
1513996773,1593835520
1513997673,1593835520
1513998573,1593835520
1513999473,1593835520
1514000373,1593835520
1514001273,1593835520
1514002173,1593835520
1514003073,1593835520
1514003973,1593835520
1514004873,1593835520
1514005773,1593835520
1514006673,1593835520
1514007573,1593835520
1514008473,1593835520
1514009373,1593835520
1514010273,1593835520
1514011173,1593835520
1514012073,1593835520
1514012973,1593835520
1514013873,1593835520
1514014773,1593835520
1514015673,1593835520
1514016573,1593835520
1514017473,1593835520
1514018373,1593835520
1514019273,1593835520
1514020173,1593835520
1514021073,1593835520
1514021973,1593835520
1514022873,1593835520
1514023773,1593835520
1514024673,1593835520
1514025573,1593835520
1514026473,1593835520
1514027373,1593835520
1514028273,1593835520
1514029173,1593835520
1514030073,1593835520
1514030973,1593835520
1514031873,1593835520
1514032773,1593835520
1514033673,1593835520
1514034573,1593835520
1514035473,1593835520
1514036373,1593835520
1514037273,1593835520
1514038173,1593835520
1514039073,1593835520
1514039973,1593835520
1514040873,1593835520
1514041773,1593835520
1514042673,1593835520
1514043573,1593835520
1514044473,1593835520
1514045373,1593835520
1514046273,1593835520
1514047173,1593835520
1514048073,1593835520
1514048973,1593835520
1514049873,1593835520
1514050773,1593835520
1514051673,1593835520
1514052573,1593835520
1514053473,1593835520
1514054373,1593835520
1514055273,1593835520
1514056173,1593835520
1514057073,1593835520
1514057973,1593835520
1514058873,1593835520
1514059773,1593835520
1514060673,1593835520
1514061573,1593835520
1514062473,1593835520
1514063373,1593835520
1514064273,1593835520
1514065173,1593835520
1514066073,1593835520
1514066973,1593835520
1514067873,1593835520
1514068773,1593835520
1514069673,1593835520
1514070573,1593835520
1514071473,1593835520
1514072373,1593835520
1514073273,1593835520
1514074173,1593835520
1514075073,1593835520
1514075973,1593835520
1514076873,1593835520
1514077773,1593835520
1514078673,1593835520
1514079573,1593835520
1514080473,1593835520
1514081373,1593835520
1514082273,1593835520
1514083173,1593835520
1514084073,1593835520
1514084973,1593835520
1514085873,1593835520
1514086773,1593835520
1514087673,1593835520
1514088573,1593835520
1514089473,1593835520
1514090373,1593835520
1514091273,1593835520
1514092173,1593835520
1514093073,1593835520
1514093973,1593835520
1514094873,1593835520
1514095773,1593835520
1514096673,1593835520
1514097573,1593835520
1514098473,1593835520
1514099373,1593835520
1514100273,1593835520
1514101173,1593835520
1514102073,1593835520
1514102973,1593835520
1514103873,1593835520
1514104773,1593835520
1514105673,1593835520
1514106573,1593835520
1514107473,1593835520
1514108373,1593835520
1514109273,1593835520
1514110173,1593835520
1514111073,1593835520
1514111973,1593835520
1514112873,1593835520
1514113773,1593835520
1514114673,1593835520
1514115573,1593835520
1514116473,1593835520
1514117373,1593835520
1514118273,1593835520
1514119173,1593835520
1514120073,1593835520
1514120973,1593835520
1514121873,1593835520
1514122773,1593835520
1514123673,1593835520
1514124573,1593835520
1514125473,1593835520
1514126373,1593835520
1514127273,1593835520
1514128173,1593835520
1514129073,1593835520
1514129973,1593835520
1514130873,1593835520
1514131773,1593835520
1514132673,1593835520
1514133573,1593835520
1514134473,1593835520
1514135373,1593835520
1514136273,1593835520
1514137173,1593835520
1514138073,1593835520
1514138973,1593835520
1514139873,1593835520
1514140773,1593835520
1514141673,1593835520
1514142573,1593835520
1514143473,1593835520
1514144373,1593835520
1514145273,1593835520
1514146173,1593835520
1514147073,1593835520
1514147973,1593835520
1514148873,1593835520
1514149773,1593835520
1514150673,1593835520
1514151573,1593835520
1514152473,1593835520
1514153373,1593835520
1514154273,1593835520
1514155173,1593835520
1514156073,1593835520
1514156973,1593835520
1514157873,1593835520
1514158773,1593835520
1514159673,1593835520
1514160573,1593835520
1514161473,1593835520
1514162373,1593835520
1514163273,1593835520
1514164173,1593835520
1514165073,1593835520
1514165973,1593835520
1514166873,1593835520
1514167773,1593835520
1514168673,1593835520
1514169573,1593835520
1514170473,1593835520
1514171373,1593835520
1514172273,1593835520
1514173173,1593835520
1514174073,1593835520
1514174973,1593835520
1514175873,1593835520
1514176773,1593835520
1514177673,1593835520
1514178573,1593835520
1514179473,1593835520
1514180373,1593835520
1514181273,1593835520
1514182173,1593835520
1514183073,1593835520
1514183973,1593835520
1514184873,1593835520
1514185773,1593835520
1514186673,1593835520
1514187573,1593835520
1514188473,1593835520
1514189373,1593835520
1514190273,1593835520
1514191173,1593835520
1514192073,1593835520
1514192973,1593835520
1514193873,1593835520
1514194773,1593835520
1514195673,1593835520
1514196573,1593835520
1514197473,1593835520
1514198373,1593835520
1514199273,1593835520
1514200173,1593835520
1514201073,1593835520
1514201973,1593835520
1514202873,1593835520
1514203773,1593835520
1514204673,1593835520
1514205573,1593835520
1514206473,1593835520
1514207373,1593835520
1514208273,1593835520
1514209173,1593835520
1514210073,1593835520
1514210973,1593835520
1514211873,1593835520
1514212773,1593835520
1514213673,1593835520
1514214573,1593835520
1514215473,1593835520
1514216373,1593835520
1514217273,1593835520
1514218173,1593835520
1514219073,1593835520
1514219973,1593835520
1514220873,1593835520
1514221773,1593835520
1514222673,1593835520
1514223573,1593835520
1514224473,1593835520
1514225373,1593835520
1514226273,1593835520
1514227173,1593835520
1514228073,1593835520
1514228973,1593835520
1514229873,1593835520
1514230773,1593835520
1514231673,1593835520
1514232573,1593835520
1514233473,1593835520
1514234373,1593835520
1514235273,1593835520
1514236173,1593835520
1514237073,1593835520
1514237973,1593835520
1514238873,1593835520
1514239773,1593835520
1514240673,1593835520
1514241573,1593835520
1514242473,1593835520
1514243373,1593835520
1514244273,1593835520
1514245173,1593835520
1514246073,1593835520
1514246973,1593835520
1514247873,1593835520
1514248773,1593835520
1514249673,1593835520
1514250573,1593835520
1514251473,1593835520
1514252373,1593835520
1514253273,1593835520
1514254173,1593835520
