t,value
1513089954,252363032
1513090854,256200056
1513091754,258410016
1513092654,259794008
1513093554,261365200
1513094454,262038696
1513095354,263036304
1513096254,263537752
1513097154,264384680
1513098054,265083648
1513098954,265574648
1513099854,269053224
1513100754,269690016
1513101654,270393216
1513102554,270853784
1513103454,271028960
1513104354,271065968
1513105254,271788784
1513110998,215248400
1513111898,218445408
1513112798,221353328
1513113698,223422400
1513114598,224891024
1513115498,225890344
1513116398,226816616
1513117298,227353944
1513118198,228209392
1513119098,228760192
1513119998,229179136
1513120898,229934296
1513121798,230633776
1513122698,230910416
1513123598,232591872
1513124498,233300816
1513125398,233673544
1513126298,234033360
1513127198,235566776
1513128098,235695336
1513128998,236069024
1513129898,236177136
1513130798,236639392
1513131698,236713600
1513132598,237063208
1513133498,237414088
1513134398,237468808
1513135298,237515152
1513136198,237817784
1513137098,237927104
1513137998,238132776
1513138898,238071752
1513139798,238200912
1513140698,238314720
1513141598,238942744
1513142498,239220768
1513143398,238994624
1513144298,239107032
1513145198,239152976
1513146098,239197928
1513146998,239275064
1513147898,239487944
1513148798,239573760
1513149698,239532384
1513150598,239553224
1513151498,239626632
1513152398,239675816
1513153298,239770472
1513154198,239833464
1513155098,239876120
1513155998,239968424
1513156881,239979216
1513157781,240068680
1513158681,240125528
1513159581,240141880
1513160481,240220128
1513161381,240341032
1513162281,240429472
1513163181,240466168
1513164081,240580360
1513164981,240623040
1513165881,240666008
1513166781,240630944
1513167681,240796808
1513168581,240765136
1513169481,240813712
1513170381,240959400
1513171281,241033512
1513172181,241107808
1513173081,241137248
1513173981,241163488
1513174881,241082976
1513175781,241108560
1513176681,241147568
1513177581,241143224
1513178481,241241312
1513179381,241362864
1513180281,241390656
1513181181,241391080
1513182081,241412448
1513182981,241433792
1513183881,241531200
1513184781,241528536
1513185681,241172616
1513186581,241313160
1513187481,241534960
1513188381,241468952
1513189281,241541664
1513190181,241594504
1513191081,241899136
1513191981,240721184
1513192881,240800608
1513193781,241332080
1513194681,241422480
1513248006,216214640
1513248906,219271208
1513249806,222408976
1513250706,224319904
1513251606,226043728
1513252504,227152920
1513253404,228404136
1513254304,229199664
1513255204,229947432
1513256104,230503632
1513257004,230985568
1513257904,231663344
1513258804,232290664
1513259704,232853160
1513260604,233182264
1513261504,233831792
1513262404,234017064
1513263304,234387096
1513264206,234642744
1513265106,234891048
1513266006,235448408
1513267498,217464128
1513268398,220708288
1513269298,223355304
1513270198,225092264
1513271098,226917384
1513271998,227659152
1513272898,228756912
1513273798,229461336
1513274698,230335240
1513275598,231046920
1513276498,231426352
1513277398,232242024
1513278298,232808264
1513279198,233216256
1513280098,233793760
1513280998,234221336
1513281898,234484768
1513282798,234888440
1513283698,235131648
1513284598,235394152
1513285498,235800536
1513286398,236022496
1513287298,236083608
1513288198,236278664
1513289098,236616584
1513289998,237035920
1513290898,237335608
1513291798,237468136
1513292698,237504008
1513293598,237671744
1513294498,237746624
1513295398,237831056
1513296298,239069352
1513297198,239605872
1513298098,239773448
1513298998,239690600
1513299898,240847600
1513300798,241024088
1513301698,241221448
1513302598,241274624
1513303498,241321264
1513304398,241126520
1513305298,241301760
1513306198,241304192
1513307098,241458632
1513307998,241393664
1513308898,241428072
1513309798,241379368
1513310698,241510080
1513311598,241603848
1513312498,241710920
1513313398,241790504
1513314298,242411240
1513315198,242554408
1513316098,242648864
1513316998,242693296
1513317898,242364824
1513318798,242555024
1513319698,242467088
1513320598,242562208
1513321498,242631384
1513322398,242641648
1513323298,242657552
1513324198,242813344
1513325098,242617600
1513325998,242645888
1513326898,242709376
1513327798,242750480
1513328698,243018768
1513329598,243085032
1513330498,243102736
1513331398,243106816
1513332298,243077704
1513333198,243065208
1513334098,242996832
1513334998,243040352
1513335898,243051200
1513336798,243281216
1513337698,243283656
1513338598,243323216
1513339498,243393024
1513340398,243485504
1513341298,243460312
1513342198,243421928
1513343098,243225616
1513343998,242070536
1513344898,242175816
1513345798,242106904
1513346698,242245328
1513347598,242490168
1513348498,242381808
1513349398,242410896
1513350298,243207824
1513351198,243277216
1513352098,243288712
1513352998,243357416
1513353898,243525672
1513354798,243513384
1513355698,243521832
1513356598,243444456
1513357498,243318568
1513358398,243333000
1513359298,243304144
1513360198,243311520
1513361098,243265352
1513361998,243289032
1513362898,243339544
1513363798,243340504
1513364698,243353232
1513365598,243390168
1513366498,243372312
1513367398,243515696
1513368298,243523104
1513369198,243563872
1513370098,243598952
1513370998,243623784
1513371898,243628480
1513372798,243637264
1513373698,243651280
1513374598,243686624
1513375498,243732960
1513376398,243802224
1513377298,243652208
1513378198,243694912
1513379098,243728856
1513379998,243728856
1513380898,243747504
1513381798,243878312
1513382698,244273848
1513383598,244301816
1513384498,244569640
1513385398,244644824
1513386298,244839488
1513387198,244885248
1513388098,244885744
1513388998,244888216
1513389898,244905240
1513390798,244878744
1513391698,244861032
1513392598,244715560
1513393498,244712688
1513394398,244713392
1513395298,244696752
1513396198,244700144
1513397098,244747512
1513397998,244773888
1513398898,244703104
1513399798,244708800
1513400698,244865168
1513401598,244960224
1513402498,244966752
1513403398,244987792
1513404298,245003024
1513405198,244889552
1513406098,244914248
1513406998,244970696
1513407898,245000776
1513408798,245079496
1513409698,245089896
1513410598,245094312
1513411498,245116488
1513412398,245128216
1513413298,245151704
1513414198,245180928
1513415098,245257920
1513415998,245269296
1513416898,245523584
1513417798,245577032
1513418698,245549192
1513419598,245556040
1513420498,245644144
1513421398,245731664
1513422298,245635152
1513423198,245642768
1513424098,245674512
1513424998,245673872
1513425898,245717768
1513426798,245720072
1513427698,245806856
1513428598,245880560
1513429498,245857200
1513430398,245857312
1513431298,245983968
1513432198,245990224
1513433098,246100768
1513433998,246147472
1513434898,246146576
1513435798,246068936
1513436698,246172728
1513437598,246172728
1513438498,246173304
1513439398,246172216
1513440298,246225528
1513441198,246225528
1513442098,246227576
1513442998,246226744
1513443898,246251320
1513444798,246251320
1513445698,246250296
1513446598,246248696
1513447498,246240824
1513448398,246243448
1513449298,246259128
1513450198,246266424
1513451098,246269688
1513451998,246246456
1513452898,246249848
1513453798,246255776
1513454698,246281152
1513455598,246324608
1513456498,246324608
1513457398,246326336
1513458298,246302864
1513459198,246306256
1513460098,246318992
1513460998,246320720
1513461898,246335568
1513462798,246337168
1513463698,246363216
1513464598,246368208
1513465498,246370408
1513466398,246370408
1513467298,246378024
1513468198,246374696
1513469098,246407064
1513469998,246403864
1513470898,246405080
1513471798,246406552
1513472698,246467752
1513473598,246467752
1513474498,246475176
1513475398,246475176
1513476298,246476776
1513477198,246479592
1513478098,246476072
1513478998,246476712
1513479898,246467872
1513480798,246469536
1513481698,246469536
1513482598,246469536
1513483498,246341088
1513484398,246344224
1513485298,246344224
1513486198,246346848
1513487098,246375864
1513487998,246396672
1513488898,246398472
1513489798,246403208
1513490698,246481552
1513491598,246468120
1513492498,246636480
1513493398,246650112
1513494298,246655080
1513495198,246656408
1513496098,246699608
1513496998,246782200
1513497898,246941296
1513498798,246950320
1513499698,247005808
1513500598,247030896
1513501498,247035472
1513502398,247039760
1513503298,247039824
1513504198,247071768
1513505098,247078072
1513505998,247078840
1513506898,247129400
1513507798,247150200
1513508698,247237520
1513509598,247251072
1513510498,247251072
1513511398,247289856
1513512298,247317824
1513513198,247306624
1513514098,247306624
1513514998,247310400
1513515898,247347272
1513516798,247384840
1513517698,247390408
1513518598,247397920
1513519498,247402272
1513520398,247402272
1513521298,247441760
1513522198,247430816
1513523098,247411744
1513523998,247399840
1513524898,247361696
1513525798,247361696
1513526698,247404768
1513527598,247516704
1513528498,247602208
1513529398,247602208
1513530298,247594872
1513531198,247596024
1513532098,247596024
1513532998,247625976
1513533898,247643728
1513534798,247643728
1513535698,247683256
1513536598,247683256
1513537498,247678200
1513538398,247678200
1513539298,247692344
1513540198,247698424
1513541098,247701824
1513541998,247699968
1513542898,247701056
1513543798,247708224
1513544698,247642168
1513545598,247647736
1513546498,247647992
1513547398,247647992
1513548298,247666208
1513549198,247665120
1513550098,247675040
1513550998,247643552
1513551898,247645920
1513552798,247650400
1513553698,247814816
1513554598,247815392
1513555498,247671024
1513556398,247667248
1513557298,247668336
1513558198,247668336
1513559098,247794432
1513559998,247806880
1513560898,247806880
1513561798,247806880
1513562698,247819240
1513563598,247820008
1513564498,247820008
1513565398,247820008
1513566298,247784616
1513567198,247770728
1513568098,247788456
1513568998,247788456
1513569898,247878248
1513570798,247878248
1513571698,247878248
1513572598,247884264
1513573498,247845648
1513574398,247909712
1513575298,247952984
1513576198,247958616
1513577098,247966016
1513577998,247966016
1513578898,247966016
1513579798,247966016
1513580698,247983808
1513581598,247983808
1513582498,247999040
1513583398,248040192
1513584298,248040192
1513585198,248040192
1513586098,248029888
1513586998,248040448
1513587898,248047552
1513588798,248048512
1513589698,248113368
1513590598,248107224
1513591498,248113816
1513592398,248147416
1513593298,248132120
1513594198,248134488
1513595098,248134488
1513595998,248120472
1513596898,248098456
1513597798,248107352
1513598698,248112208
1513599598,248113488
1513600498,248118608
1513601398,248119632
1513602298,248122600
1513603198,248148456
1513604098,248154736
1513604998,248175920
1513605898,248175920
1513606798,248085424
1513607698,248086320
1513608598,248094448
1513609498,248102960
1513610398,248114480
1513611298,248114480
1513612198,248090176
1513613098,248153376
1513613998,248154016
1513614898,248160800
1513615798,248160800
1513616698,248147648
1513617598,248147648
1513618498,248147648
1513619398,248163136
1513620298,248157952
1513621198,248157952
1513622098,248157952
1513622998,248157952
1513623898,248140344
1513624798,248147256
1513625698,248148472
1513626598,248148472
1513627498,248152056
1513628398,248152056
1513629298,248152056
1513630198,248152056
1513631098,248268368
1513631998,248268368
1513632898,248269152
1513633798,248269152
1513634698,248280192
1513635598,248280192
1513636498,248284544
1513637398,248246592
1513638298,248191848
1513639198,248202024
1513640098,248263848
1513640998,248266472
1513641898,248363320
1513642798,248343000
1513643698,248386776
1513644598,248393568
1513645498,248408424
1513646398,248448488
1513647298,248448488
1513648198,248448488
1513649098,248426272
1513649998,248442272
1513650898,248459344
1513651798,248461840
1513652698,248476296
1513653598,248476296
1513654498,248476296
1513655398,248476296
1513656298,248476296
1513657198,248543304
1513658098,248598728
1513658998,248659720
1513659898,248833680
1513660798,248846288
1513661698,248868112
1513662598,248876752
1513663498,248838800
1513664398,248838800
1513665298,248762704
1513666198,248735440
1513667098,248735440
1513667998,248749136
1513668898,248751696
1513669798,248851088
1513670698,248862688
1513671598,248862688
1513672498,248865696
1513673398,248865696
1513674298,248865696
1513675198,248865696
1513676098,248903776
1513676998,248903776
1513677898,248908072
1513678798,248908072
1513679698,248907240
1513680598,248894632
1513682673,248990168
1513683573,249007544
1513684473,249007544
1513685373,248986680
1513686273,248883064
1513687173,248883064
1513688073,248883896
1513688973,248916472
1513689873,248919992
1513690773,248941656
1513691673,248939352
1513692573,248949144
1513693473,248846552
1513694373,248871512
1513695273,248879384
1513696173,248879384
1513697073,248892936
1513697973,248892936
1513698873,248892936
1513699773,248884600
1513700673,248896824
1513701573,248896824
1513702473,250016368
1513703373,254375384
1513704273,254621112
1513705173,255015984
1513706073,254851992
1513706973,254724128
1513707873,254307576
1513708773,254984416
1513709673,255039456
1513710573,255053856
1513711473,254935776
1513712373,254985184
1513713273,254979936
1513714173,255065224
1513715073,255133320
1513715973,255183240
1513716873,255170520
1513717773,255187672
1513718673,255199128
1513719573,255202136
1513720473,255213400
1513721373,255230512
1513722273,255230512
1513723173,255227824
1513724073,255266288
1513724973,255452048
1513725873,255452048
1513726773,255350352
1513727673,255392872
1513728573,255316040
1513729473,255431896
1513730373,255433496
1513731273,255434792
1513732173,255477968
1513733073,255475216
1513733973,255543888
1513734873,255544912
1513735773,255572032
1513736673,255599040
1513737573,255655296
1513738473,255675264
1513739373,255682496
1513740273,255724160
1513741173,255718656
1513742073,255724800
1513742973,255724800
1513743873,255731648
1513744773,255731648
1513745673,255732352
1513746573,255821704
1513747473,255821704
1513748373,255847432
1513749273,255719968
1513750173,255720864
1513751073,255764832
1513751973,255764832
1513752873,255781408
1513753773,255781408
1513754673,255781408
1513755573,255781408
1513756473,255781408
1513757373,255759136
1513758273,255737632
1513759173,255547488
1513760073,255542112
1513760973,255542112
1513761873,255546848
1513762773,255547488
1513763673,255528608
1513764573,255540616
1513765473,255559112
1513766373,255570184
1513767273,255568904
1513768173,255577224
1513769073,255577224
1513769973,255582728
1513770873,255582728
1513771773,255584264
1513772673,255584264
1513773573,255584264
1513774473,255584264
1513775373,255639048
1513776273,255639048
1513777173,255639048
1513778073,255639048
1513778973,255639752
1513779873,255684616
1513780773,255684616
1513781673,255684616
1513782573,255675208
1513783473,255414088
1513784373,255414984
1513785273,255415912
1513786173,255433832
1513787073,255434664
1513787973,255435304
1513788873,255435304
1513789773,255435304
1513790673,255438120
1513791573,255438120
1513792473,255438120
1513793373,255439784
1513794273,255449320
1513795173,255449320
1513796073,255449320
1513796973,255447912
1513797873,255447912
1513798773,255511144
1513799673,255515688
1513800573,255448040
1513801473,255448744
1513802373,255446952
1513803273,255447976
1513804173,255447976
1513805073,255470440
1513805973,255474536
1513806873,255474536
1513807773,255476424
1513808673,255476424
1513809573,255476424
1513810473,255476616
1513811373,255477520
1513812273,255477520
1513813173,255477520
1513814073,255477520
1513814973,255504384
1513815873,255511232
1513816773,255511232
1513817673,255501904
1513818573,255900456
1513819473,255904680
1513820373,255917672
1513821273,255772904
1513822173,255699176
1513823073,255721704
1513823973,255721704
1513824873,255721704
1513825773,255716712
1513826673,255859304
1513827573,255859304
1513828473,255859304
1513829373,255864232
1513830273,255887016
1513831173,255887016
1513832073,255900584
1513832973,255865544
1513833873,255845320
1513834773,255845320
1513835673,255847496
1513836573,255824488
1513837473,255758120
1513838373,255757224
1513839273,255759944
1513840173,255758384
1513841073,255861808
1513841973,255935088
1513842873,255944944
1513843773,255947376
1513844673,255948720
1513845573,255948720
1513846473,255894256
1513847373,255898928
1513848273,255898928
1513849173,255898928
1513850073,255898928
1513850973,255898928
1513851873,255898928
1513852773,255898928
1513853673,255930544
1513854573,255856728
1513855473,255856728
1513856373,255856728
1513857273,255856728
1513858173,256001216
1513859073,256001216
1513859973,256001216
1513860873,256001216
1513861773,256002112
1513862673,256002112
1513863573,256002112
1513864473,256002112
1513865373,256002112
1513866273,256002112
1513867173,256002112
1513868073,255992896
1513868973,255992896
1513869873,255992896
1513870773,255992896
1513871673,256025696
1513872573,256026976
1513873473,256047392
1513874373,256047392
1513875273,256047392
1513876173,256102560
1513877073,256106016
1513877973,256106016
1513878873,256119256
1513879773,256144992
1513880673,256144992
1513881573,256145632
1513882473,256154336
1513883373,256155104
1513884273,256155104
1513885173,256155104
1513886073,256155104
1513886973,256155104
1513887873,256155104
1513888773,256155104
1513889673,256155680
1513890573,256155680
1513891473,256155680
1513892373,256155680
1513893273,256175968
1513894173,256187512
1513895073,256187512
1513895973,256195576
1513896873,256195576
1513897773,256199920
1513898673,256199920
1513899573,256199920
1513900473,256199920
1513901373,256290464
1513902273,256290464
1513903173,256318176
1513904073,256314928
1513904973,256125344
1513905873,256125344
1513906773,256125344
1513907673,256144800
1513908573,256144544
1513909473,256155168
1513910373,256155168
1513911273,256174752
1513912173,256178272
1513913073,256295840
1513913973,256295840
1513914873,256295840
1513915773,256308072
1513916673,256308072
1513917573,256308072
1513918473,256308072
1513919373,256305664
1513920273,256305664
1513921173,256305664
1513922073,256305664
1513922973,256305664
1513923873,256305664
1513924773,256305664
1513925673,256305664
1513926573,256360280
1513927473,256360280
1513928373,256360280
1513929273,256352128
