t,value
1513089954,2555904
1513090854,2555904
1513091754,2555904
1513092654,2555904
1513093554,2555904
1513094454,2555904
1513095354,2555904
1513096254,2555904
1513097154,2555904
1513098054,2555904
1513098954,2555904
1513099854,2555904
1513100754,2555904
1513101654,2555904
1513102554,2555904
1513103454,2555904
1513104354,2555904
1513105254,2555904
1513110998,2555904
1513111898,2555904
1513112798,2555904
1513113698,2555904
1513114598,2555904
1513115498,2555904
1513116398,2555904
1513117298,2555904
1513118198,2555904
1513119098,2555904
1513119998,2555904
1513120898,2555904
1513121798,2555904
1513122698,2555904
1513123598,2555904
1513124498,2555904
1513125398,2555904
1513126298,2555904
1513127198,2555904
1513128098,2555904
1513128998,2555904
1513129898,2555904
1513130798,2555904
1513131698,2555904
1513132598,2555904
1513133498,2555904
1513134398,2555904
1513135298,2555904
1513136198,2555904
1513137098,2555904
1513137998,2555904
1513138898,2555904
1513139798,2555904
1513140698,2555904
1513141598,2555904
1513142498,2555904
1513143398,2555904
1513144298,2555904
1513145198,2555904
1513146098,2555904
1513146998,2555904
1513147898,2555904
1513148798,2555904
1513149698,2555904
1513150598,2555904
1513151498,2555904
1513152398,2555904
1513153298,2555904
1513154198,2555904
1513155098,2555904
1513155998,2555904
1513156881,2555904
1513157781,2555904
1513158681,2555904
1513159581,2555904
1513160481,2555904
1513161381,2555904
1513162281,2555904
1513163181,2555904
1513164081,2555904
1513164981,2555904
1513165881,2555904
1513166781,2555904
1513167681,2555904
1513168581,2555904
1513169481,2555904
1513170381,2555904
1513171281,2555904
1513172181,2555904
1513173081,2555904
1513173981,2555904
1513174881,2555904
1513175781,2555904
1513176681,2555904
1513177581,2555904
1513178481,2555904
1513179381,2555904
1513180281,2555904
1513181181,2555904
1513182081,2555904
1513182981,2555904
1513183881,2555904
1513184781,2555904
1513185681,2555904
1513186581,2555904
1513187481,2555904
1513188381,2555904
1513189281,2555904
1513190181,2555904
1513191081,2555904
1513191981,2555904
1513192881,2555904
1513193781,2555904
1513194681,2555904
1513248006,2555904
1513248906,2555904
1513249806,2555904
1513250706,2555904
1513251606,2555904
1513252504,2555904
1513253404,2555904
1513254304,2555904
1513255204,2555904
1513256104,2555904
1513257004,2555904
1513257904,2555904
1513258804,2555904
1513259704,2555904
1513260604,2555904
1513261504,2555904
1513262404,2555904
1513263304,2555904
1513264206,2555904
1513265106,2555904
1513266006,2555904
1513267498,2555904
