t,value
1513089954,89470464
1513090854,91763328
1513091754,93602816
1513092654,94752192
1513093554,96027712
1513094454,96633920
1513095354,97545472
1513096254,97957888
1513097154,98654976
1513098054,99277888
1513098954,99734464
1513099854,100928704
1513100754,101466560
1513101654,102119296
1513102554,102498496
1513103454,102664256
1513104354,102655488
1513105254,103310976
1513110998,62933376
1513111898,65622400
1513112798,67471936
1513113698,69235840
1513114598,70496320
1513115498,71351744
1513116398,72085440
1513117298,72505728
1513118198,73192192
1513119098,73708096
1513119998,74056896
1513120898,74704640
1513121798,75302720
1513122698,75556416
1513123598,76859840
1513124498,77514432
1513125398,77830656
1513126298,78134528
1513127198,79460736
1513128098,79577216
1513128998,79879680
1513129898,79909056
1513130798,80142720
1513131698,80199936
1513132598,80515904
1513133498,80840448
1513134398,80841792
1513135298,80884736
1513136198,81162304
1513137098,81270464
1513137998,81470016
1513138898,81392512
1513139798,81515072
1513140698,81622208
1513141598,81998144
1513142498,82273216
1513143398,82039680
1513144298,82146880
1513145198,82182144
1513146098,82224128
1513146998,82287616
1513147898,82484736
1513148798,82541952
1513149698,82496640
1513150598,82515648
1513151498,82585152
1513152398,82631424
1513153298,82673216
1513154198,82727360
1513155098,82768192
1513155998,82850432
1513156881,82855104
1513157781,82937280
1513158681,82992640
1513159581,83006656
1513160481,83077504
1513161381,83173696
1513162281,83258432
1513163181,83293184
1513164081,83406976
1513164981,83448128
1513165881,83490176
1513166781,83442560
1513167681,83576064
1513168581,83540352
1513169481,83588544
1513170381,83732224
1513171281,83806336
1513172181,83879552
1513173081,83905344
1513173981,83929280
1513174881,83848768
1513175781,83874048
1513176681,83908224
1513177581,83896128
1513178481,83991680
1513179381,84112064
1513180281,84137984
1513181181,84135744
1513182081,84151872
1513182981,84165696
1513183881,84263104
1513184781,84258752
1513185681,83897664
1513186581,84014016
1513187481,84213184
1513188381,84144448
1513189281,84216512
1513190181,84267712
1513191081,84571904
1513191981,84543104
1513192881,84622528
1513193781,84485568
1513194681,84571328
1513248006,63828224
1513248906,66316160
1513249806,68390848
1513250706,70036032
1513251606,71486912
1513252504,72450176
1513253404,73578752
1513254304,74254848
1513255204,74843072
1513256104,75354240
1513257004,75790144
1513257904,76388736
1513258804,76891520
1513259704,77431680
1513260604,77718976
1513261504,78323840
1513262404,78459200
1513263304,78765568
1513264206,78982976
1513265106,79222592
1513266006,79696832
1513267498,64266176
1513268398,66861120
1513269298,69061376
1513270198,70607040
1513271098,72139456
1513271998,72765120
1513272898,73771968
1513273798,74355520
1513274698,75069056
1513275598,75726720
1513276498,76074240
1513277398,76813760
1513278298,77261760
1513279198,77624000
1513280098,78159808
1513280998,78562944
1513281898,78776576
1513282798,79103744
1513283698,79331648
1513284598,79542464
1513285498,79898496
1513286398,80054720
1513287298,80094912
1513288198,80262528
1513289098,80487488
1513289998,80872896
1513290898,81161856
1513291798,81288960
1513292698,81286784
1513293598,81453760
1513294498,81526976
1513295398,81592640
1513296298,82516160
1513297198,83049600
1513298098,83193280
1513298998,83084352
1513299898,84018240
1513300798,84192256
1513301698,84388288
1513302598,84440384
1513303498,84276800
1513304398,84058880
1513305298,84213952
1513306198,84209472
1513307098,84344256
1513307998,84275520
1513308898,84304256
1513309798,84199232
1513310698,84314752
1513311598,84405696
1513312498,84511104
1513313398,84584064
1513314298,85078720
1513315198,85221888
1513316098,85315904
1513316998,85360000
1513317898,85023360
1513318798,85209856
1513319698,85128064
1513320598,85216640
1513321498,85280000
1513322398,85289344
1513323298,85301760
1513324198,85364096
1513325098,85223936
1513325998,85251840
1513326898,85312448
1513327798,85351552
1513328698,85619840
1513329598,85679040
1513330498,85696256
1513331398,85699136
1513332298,85668736
1513333198,85651264
1513334098,85575552
1513334998,85615360
1513335898,85624704
1513336798,85851328
1513337698,85853376
1513338598,85885248
1513339498,85949568
1513340398,86042048
1513341298,86015168
1513342198,85971968
1513343098,85745728
1513343998,85827520
1513344898,85932800
1513345798,85863232
1513346698,86001216
1513347598,86244416
1513348498,86132672
1513349398,86161728
1513350298,86265152
1513351198,86332096
1513352098,86342400
1513352998,86410816
1513353898,86547392
1513354798,86535104
1513355698,86543552
1513356598,86466176
1513357498,86339136
1513358398,86352128
1513359298,86318208
1513360198,86323072
1513361098,86275968
1513361998,86299648
1513362898,86342208
1513363798,86343168
1513364698,86353344
1513365598,86382400
1513366498,86357952
1513367398,86500032
1513368298,86504768
1513369198,86545536
1513370098,86580032
1513370998,86604864
1513371898,86607552
1513372798,86614336
1513373698,86628352
1513374598,86662848
1513375498,86699456
1513376398,86763904
1513377298,86612032
1513378198,86652160
1513379098,86682944
1513379998,86682944
1513380898,86694976
1513381798,86788992
1513382698,87139072
1513383598,87167040
1513384498,87433664
1513385398,87507968
1513386298,87700672
1513387198,87743424
1513388098,87742720
1513388998,87743296
1513389898,87758912
1513390798,87732416
1513391698,87718784
1513392598,87573312
1513393498,87573120
1513394398,87573824
1513395298,87557184
1513396198,87560576
1513397098,87607296
1513397998,87632960
1513398898,87561792
1513399798,87567488
1513400698,87705472
1513401598,87787392
1513402498,87793920
1513403398,87813760
1513404298,87828992
1513405198,87715520
1513406098,87739520
1513406998,87795968
1513407898,87826048
1513408798,87897664
1513409698,87904832
1513410598,87909248
1513411498,87927616
1513412398,87938880
1513413298,87962368
1513414198,87988032
