t,value
1513089954,17220336
1513090854,17374648
1513091754,17384376
1513092654,17386528
1513093554,17398352
1513094454,17399352
1513095354,17399352
1513096254,17401008
1513097154,17401528
1513098054,17401528
1513098954,17401528
1513099854,17714016
1513100754,17714016
1513101654,17714016
1513102554,17714016
1513103454,17714016
1513104354,17714016
1513105254,17714016
1513110998,16313672
1513111898,16332848
1513112798,16427888
1513113698,16429560
1513114598,16436944
1513115498,16441912
1513116398,16454368
1513117298,16456504
1513118198,16457464
1513119098,16457984
1513119998,16459640
1513120898,16459640
1513121798,16459640
1513122698,16460120
1513123598,16484128
1513124498,16484128
1513125398,16484128
1513126298,16484128
1513127198,16499568
1513128098,16499568
1513128998,16499568
1513129898,16499568
1513130798,16530040
1513131698,16530040
1513132598,16533536
1513133498,16533536
1513134398,16535480
1513135298,16535480
1513136198,16535480
1513137098,16535480
1513137998,16535968
1513138898,16535968
1513139798,16535968
1513140698,16536448
1513141598,16570904
1513142498,16570904
1513143398,16570904
1513144298,16570904
1513145198,16570904
1513146098,16570904
1513146998,16570904
1513147898,16570904
1513148798,16570904
1513149698,16570904
1513150598,16570904
1513151498,16570904
1513152398,16570904
1513153298,16571376
1513154198,16571376
1513155098,16571856
1513155998,16572408
1513156881,16572408
1513157781,16572880
1513158681,16572880
1513159581,16572880
1513160481,16572880
1513161381,16572880
1513162281,16572880
1513163181,16572880
1513164081,16572880
1513164981,16572880
1513165881,16572880
1513166781,16573432
1513167681,16573432
1513168581,16573432
1513169481,16573432
1513170381,16573432
1513171281,16573432
1513172181,16573432
1513173081,16573432
1513173981,16573432
1513174881,16573432
1513175781,16573432
1513176681,16573432
1513177581,16573432
1513178481,16573432
1513179381,16573432
1513180281,16573432
1513181181,16573432
1513182081,16573432
1513182981,16573432
1513183881,16573432
1513184781,16573432
1513185681,16573432
1513186581,16573432
1513187481,16573432
1513188381,16573432
1513189281,16573432
1513190181,16573912
1513191081,16573912
1513191981,16428304
1513192881,16428304
1513193781,16511344
1513194681,16511344
1513248006,16322760
1513248906,16341520
1513249806,16436592
1513250706,16438264
1513251606,16444992
1513252504,16450512
1513253404,16450512
1513254304,16452168
1513255204,16454128
1513256104,16454128
1513257004,16454128
1513257904,16454128
1513258804,16454128
1513259704,16454608
1513260604,16454608
1513261504,16454608
1513262404,16455088
1513263304,16455088
1513264206,16457672
1513265106,16457672
1513266006,16457672
1513267498,16430864
1513268398,16451272
1513269298,16464784
1513270198,16465336
1513271098,16473360
1513271998,16478328
