t,value
1513089954,1114636288
1513090854,1110441984
1513091754,1098907648
1513092654,1098907648
1513093554,1095761920
1513094454,1093664768
1513095354,1093664768
1513096254,1091567616
1513097154,1090519040
1513098054,1090519040
1513098954,1086324736
1513099854,1059061760
1513100754,1051721728
1513101654,1051721728
1513102554,1050673152
1513103454,1047527424
1513104354,1048576000
1513105254,1048576000
1513110998,678428672
1513111898,718274560
1513112798,711983104
1513113698,711983104
1513114598,707788800
1513115498,705691648
1513116398,703594496
1513117298,699400192
1513118198,692060160
1513119098,689963008
1513119998,685768704
1513120898,691011584
1513121798,686817280
1513122698,680525824
1513123598,677380096
1513124498,675282944
1513125398,668991488
1513126298,668991488
1513127198,667942912
1513128098,662700032
1513128998,662700032
1513129898,659554304
1513130798,651165696
1513131698,651165696
1513132598,645922816
1513133498,648019968
1513134398,641728512
1513135298,638582784
1513136198,633339904
1513137098,633339904
1513137998,633339904
1513138898,625999872
1513139798,622854144
1513140698,622854144
1513141598,620756992
1513142498,612368384
1513143398,612368384
1513144298,612368384
1513145198,605028352
1513146098,603979776
1513146998,600834048
1513147898,598736896
1513148798,595591168
1513149698,593494016
1513150598,592445440
1513151498,586153984
1513152398,585105408
1513153298,587202560
1513154198,583008256
1513155098,576716800
1513155998,574619648
1513156881,574619648
1513157781,567279616
1513158681,567279616
1513159581,558891008
1513160481,557842432
1513161381,559939584
1513162281,553648128
1513163181,549453824
1513164081,546308096
1513164981,543162368
1513165881,542113792
1513166781,538968064
1513167681,536870912
1513168581,534773760
1513169481,532676608
1513170381,529530880
1513171281,527433728
1513172181,523239424
1513173081,521142272
1513173981,519045120
1513174881,517996544
1513175781,516947968
1513176681,512753664
1513177581,507510784
1513178481,504365056
1513179381,502267904
1513180281,500170752
1513181181,495976448
1513182081,493879296
1513182981,490733568
1513183881,488636416
1513184781,485490688
1513185681,479199232
1513186581,481296384
1513187481,479199232
1513188381,478150656
1513189281,473956352
1513190181,470810624
1513191081,466616320
1513191981,465567744
1513192881,593494016
1513193781,571473920
1513194681,577765376
1513248006,718274560
1513248906,710934528
1513249806,740294656
1513250706,736100352
1513251606,727711744
1513252504,729808896
1513253404,719323136
1513254304,715128832
1513255204,715128832
1513256104,708837376
1513257004,706740224
1513257904,701497344
1513258804,716177408
1513259704,710934528
1513260604,708837376
1513261504,705691648
1513262404,701497344
1513263304,698351616
1513264206,695205888
1513265106,696254464
1513266006,694157312
1513267498,703594496
1513268398,731906048
1513269298,729808896
1513270198,727711744
1513271098,718274560
1513271998,718274560
1513272898,714080256
1513273798,714080256
1513274698,711983104
1513275598,705691648
1513276498,701497344
1513277398,697303040
1513278298,697303040
1513279198,693108736
1513280098,689963008
1513280998,688914432
1513281898,683671552
1513282798,683671552
1513283698,680525824
1513284598,679477248
1513285498,675282944
1513286398,667942912
1513287298,666894336
1513288198,665845760
1513289098,662700032
1513289998,657457152
1513290898,657457152
1513291798,648019968
1513292698,648019968
1513293598,644874240
1513294498,642777088
1513295398,642777088
1513296298,635437056
1513297198,628097024
1513298098,624951296
1513298998,620756992
1513299898,620756992
1513300798,614465536
1513301698,612368384
1513302598,611319808
1513303498,600834048
1513304398,598736896
1513305298,600834048
1513306198,595591168
1513307098,587202560
1513307998,590348288
1513308898,590348288
1513309798,581959680
1513310698,575668224
1513311598,577765376
1513312498,573571072
1513313398,570425344
1513314298,566231040
1513315198,562036736
1513316098,557842432
1513316998,556793856
1513317898,553648128
1513318798,544210944
1513319698,546308096
1513320598,547356672
1513321498,542113792
1513322398,537919488
1513323298,530579456
1513324198,533725184
1513325098,530579456
1513325998,526385152
1513326898,526385152
1513327798,521142272
1513328698,519045120
1513329598,513802240
1513330498,513802240
1513331398,509607936
1513332298,509607936
1513333198,502267904
1513334098,502267904
1513334998,497025024
1513335898,494927872
1513336798,491782144
1513337698,483393536
1513338598,485490688
1513339498,479199232
1513340398,480247808
1513341298,472907776
1513342198,470810624
1513343098,468713472
1513343998,602931200
1513344898,590348288
1513345798,586153984
1513346698,579862528
1513347598,574619648
1513348498,572522496
1513349398,568328192
1513350298,564133888
1513351198,562036736
1513352098,558891008
1513352998,553648128
1513353898,550502400
1513354798,545259520
1513355698,547356672
1513356598,537919488
1513357498,536870912
1513358398,534773760
1513359298,534773760
