t,value
1513089954,282066944
1513090854,282066944
1513091754,282066944
1513092654,282066944
1513093554,282066944
1513094454,282066944
1513095354,282066944
1513096254,282066944
1513097154,282066944
1513098054,282066944
1513098954,282066944
1513099854,282066944
1513100754,282066944
1513101654,282066944
1513102554,282066944
1513103454,282066944
1513104354,282066944
1513105254,282066944
1513110998,282066944
1513111898,282066944
1513112798,282066944
1513113698,282066944
1513114598,282066944
1513115498,282066944
1513116398,282066944
1513117298,282066944
1513118198,282066944
1513119098,282066944
1513119998,282066944
1513120898,282066944
1513121798,282066944
1513122698,282066944
1513123598,282066944
1513124498,282066944
1513125398,282066944
1513126298,282066944
1513127198,282066944
1513128098,282066944
1513128998,282066944
1513129898,282066944
1513130798,282066944
1513131698,282066944
1513132598,282066944
1513133498,282066944
1513134398,282066944
1513135298,282066944
1513136198,282066944
1513137098,282066944
1513137998,282066944
1513138898,282066944
1513139798,282066944
1513140698,282066944
1513141598,282066944
1513142498,282066944
1513143398,282066944
1513144298,282066944
1513145198,282066944
1513146098,282066944
1513146998,282066944
1513147898,282066944
1513148798,282066944
1513149698,282066944
1513150598,282066944
1513151498,282066944
1513152398,282066944
1513153298,282066944
1513154198,282066944
1513155098,282066944
1513155998,282066944
1513156881,282066944
1513157781,282066944
1513158681,282066944
1513159581,282066944
1513160481,282066944
1513161381,282066944
1513162281,282066944
1513163181,282066944
1513164081,282066944
1513164981,282066944
1513165881,282066944
1513166781,282066944
1513167681,282066944
1513168581,282066944
1513169481,282066944
1513170381,282066944
1513171281,282066944
1513172181,282066944
1513173081,282066944
1513173981,282066944
1513174881,282066944
1513175781,282066944
1513176681,282066944
1513177581,282066944
1513178481,282066944
1513179381,282066944
1513180281,282066944
1513181181,282066944
1513182081,282066944
1513182981,282066944
1513183881,282066944
1513184781,282066944
1513185681,282066944
1513186581,282066944
1513187481,282066944
1513188381,282066944
1513189281,282066944
1513190181,282066944
1513191081,282066944
1513191981,282066944
1513192881,282066944
1513193781,282066944
1513194681,282066944
1513248006,282066944
1513248906,282066944
1513249806,282066944
1513250706,282066944
1513251606,282066944
1513252504,282066944
1513253404,282066944
1513254304,282066944
1513255204,282066944
1513256104,282066944
1513257004,282066944
1513257904,282066944
1513258804,282066944
1513259704,282066944
1513260604,282066944
1513261504,282066944
1513262404,282066944
1513263304,282066944
1513264206,282066944
1513265106,282066944
1513266006,282066944
1513267498,282066944
