t,value
1513089954,978321408
1513090854,457179136
1513091754,132120576
1513092654,855638016
1513093554,534773760
1513094454,209715200
1513095354,921698304
1513096254,596639744
1513097154,288358400
1513098054,1007681536
1513098954,695205888
1513099854,412090368
1513100754,141557760
1513101654,858783744
1513102554,569376768
1513103454,279969792
1513104354,13631488
1513105254,515899392
1513110998,1048576
1513111898,115343360
1513112798,193986560
1513113698,252706816
1513114598,334495744
1513115498,389021696
1513116398,487587840
1513117298,558891008
1513118198,643825664
1513119098,63963136
1513119998,164626432
1513120898,235929600
1513121798,324009984
1513122698,405798912
1513123598,144703488
1513124498,225443840
1513125398,344981504
1513126298,425721856
1513127198,276824064
1513128098,377487360
1513128998,487587840
1513129898,590348288
1513130798,103809024
1513131698,210763776
1513132598,340787200
1513133498,452984832
1513134398,589299712
1513135298,104857600
1513136198,241172480
1513137098,367001600
1513137998,506462208
1513138898,47185920
1513139798,211812352
1513140698,342884352
1513141598,578813952
1513142498,138412032
1513143398,304087040
1513144298,442499072
1513145198,29360128
1513146098,173015040
1513146998,354418688
1513147898,500170752
1513148798,106954752
1513149698,164626432
1513150598,349175808
1513151498,509607936
1513152398,136314880
1513153298,301989888
1513154198,486539264
1513155098,114294784
1513155998,317718528
1513156881,478150656
1513157781,136314880
1513158681,322961408
1513159581,2097152
1513160481,196083712
1513161381,423624704
1513162281,101711872
1513163181,326107136
1513164081,13631488
1513164981,243269632
1513165881,445644800
1513166781,153092096
1513167681,365953024
1513168581,111149056
1513169481,326107136
1513170381,62914560
1513171281,279969792
1513172181,16777216
1513173081,240123904
1513173981,483393536
1513174881,219152384
1513175781,471859200
1513176681,223346688
1513177581,2097152
1513178481,254803968
1513179381,49283072
1513180281,305135616
1513181181,93323264
1513182081,357564416
1513182981,166723584
1513183881,424673280
1513184781,240123904
1513185681,52428800
1513186581,318767104
1513187481,126877696
1513188381,403701760
1513189281,224395264
1513190181,75497472
1513191081,358612992
1513191981,3145728
1513192881,27262976
1513193781,214958080
1513194681,407896064
1513248006,394264576
1513248906,452984832
1513249806,527433728
1513250706,563085312
1513251606,616562688
1513252504,664797184
1513253404,41943040
1513254304,97517568
1513255204,160432128
1513256104,220200960
1513257004,295698432
1513257904,357564416
1513258804,430964736
1513259704,488636416
1513260604,540016640
1513261504,606076928
1513262404,7340032
1513263304,71303168
1513264206,139460608
1513265106,203423744
1513266006,289406976
1513267498,643825664
1513268398,66060288
1513269298,114294784
1513270198,150994944
1513271098,212860928
1513271998,252706816
1513272898,304087040
1513273798,333447168
1513274698,404750336
1513275598,454033408
1513276498,533725184
1513277398,587202560
1513278298,18874368
1513279198,75497472
1513280098,158334976
1513280998,220200960
1513281898,305135616
1513282798,377487360
1513283698,463470592
1513284598,534773760
1513285498,634388480
1513286398,88080384
1513287298,179306496
1513288198,263192576
1513289098,383778816
1513289998,466616320
1513290898,576716800
1513291798,57671680
1513292698,174063616
1513293598,284164096
1513294498,400556032
1513295398,519045120
1513296298,338690048
1513297198,461373440
1513298098,13631488
1513298998,143654912
1513299898,92274688
1513300798,241172480
1513301698,397410304
1513302598,542113792
1513303498,133169152
1513304398,279969792
1513305298,437256192
1513306198,23068672
1513307098,197132288
1513307998,361758720
1513308898,538968064
1513309798,145752064
1513310698,340787200
1513311598,514850816
1513312498,152043520
1513313398,336592896
1513314298,85983232
1513315198,268435456
1513316098,472907776
1513316998,123731968
1513317898,342884352
