t,value
1513089954,791674880
1513090854,791674880
1513091754,791674880
1513092654,791674880
1513093554,791674880
1513094454,791674880
1513095354,791674880
1513096254,791674880
1513097154,791674880
1513098054,791674880
1513098954,791674880
1513099854,791674880
1513100754,791674880
1513101654,791674880
1513102554,791674880
1513103454,791674880
1513104354,791674880
1513105254,791674880
1513110998,791674880
1513111898,791674880
1513112798,791674880
1513113698,791674880
1513114598,791674880
1513115498,791674880
1513116398,791674880
1513117298,791674880
1513118198,791674880
1513119098,791674880
1513119998,791674880
1513120898,791674880
1513121798,791674880
1513122698,791674880
1513123598,791674880
1513124498,791674880
1513125398,791674880
1513126298,791674880
1513127198,791674880
1513128098,791674880
1513128998,791674880
1513129898,791674880
1513130798,791674880
1513131698,791674880
1513132598,791674880
1513133498,791674880
1513134398,791674880
1513135298,791674880
1513136198,791674880
1513137098,791674880
1513137998,791674880
1513138898,791674880
1513139798,791674880
1513140698,791674880
1513141598,791674880
1513142498,791674880
1513143398,791674880
1513144298,791674880
1513145198,791674880
1513146098,791674880
1513146998,791674880
1513147898,791674880
1513148798,791674880
1513149698,791674880
1513150598,791674880
1513151498,791674880
1513152398,791674880
1513153298,791674880
1513154198,791674880
1513155098,791674880
1513155998,791674880
1513156881,791674880
1513157781,791674880
1513158681,791674880
1513159581,791674880
1513160481,791674880
1513161381,791674880
1513162281,791674880
1513163181,791674880
1513164081,791674880
1513164981,791674880
1513165881,791674880
1513166781,791674880
1513167681,791674880
1513168581,791674880
1513169481,791674880
1513170381,791674880
1513171281,791674880
1513172181,791674880
1513173081,791674880
1513173981,791674880
1513174881,791674880
1513175781,791674880
1513176681,791674880
1513177581,791674880
1513178481,791674880
1513179381,791674880
1513180281,791674880
1513181181,791674880
1513182081,791674880
1513182981,791674880
1513183881,791674880
1513184781,791674880
1513185681,791674880
1513186581,791674880
1513187481,791674880
1513188381,791674880
1513189281,791674880
1513190181,791674880
1513191081,791674880
1513191981,791674880
1513192881,791674880
1513193781,791674880
1513194681,791674880
1513248006,791674880
1513248906,791674880
1513249806,791674880
1513250706,791674880
1513251606,791674880
1513252504,791674880
1513253404,791674880
1513254304,791674880
1513255204,791674880
1513256104,791674880
1513257004,791674880
1513257904,791674880
1513258804,791674880
1513259704,791674880
1513260604,791674880
1513261504,791674880
1513262404,791674880
1513263304,791674880
1513264206,791674880
1513265106,791674880
1513266006,791674880
1513267498,791674880
1513268398,791674880
1513269298,791674880
1513270198,791674880
1513271098,791674880
1513271998,791674880
1513272898,791674880
1513273798,791674880
1513274698,791674880
1513275598,791674880
1513276498,791674880
1513277398,791674880
1513278298,791674880
1513279198,791674880
1513280098,791674880
1513280998,791674880
1513281898,791674880
1513282798,791674880
1513283698,791674880
1513284598,791674880
1513285498,791674880
1513286398,791674880
1513287298,791674880
1513288198,791674880
1513289098,791674880
1513289998,791674880
1513290898,791674880
1513291798,791674880
1513292698,791674880
1513293598,791674880
1513294498,791674880
1513295398,791674880
1513296298,791674880
1513297198,791674880
1513298098,791674880
1513298998,791674880
1513299898,791674880
1513300798,791674880
1513301698,791674880
1513302598,791674880
1513303498,791674880
1513304398,791674880
1513305298,791674880
1513306198,791674880
1513307098,791674880
1513307998,791674880
1513308898,791674880
1513309798,791674880
1513310698,791674880
1513311598,791674880
1513312498,791674880
1513313398,791674880
1513314298,791674880
1513315198,791674880
1513316098,791674880
1513316998,791674880
1513317898,791674880
1513318798,791674880
1513319698,791674880
1513320598,791674880
1513321498,791674880
1513322398,791674880
1513323298,791674880
1513324198,791674880
1513325098,791674880
1513325998,791674880
1513326898,791674880
1513327798,791674880
1513328698,791674880
1513329598,791674880
1513330498,791674880
1513331398,791674880
1513332298,791674880
1513333198,791674880
1513334098,791674880
1513334998,791674880
1513335898,791674880
1513336798,791674880
1513337698,791674880
1513338598,791674880
1513339498,791674880
1513340398,791674880
1513341298,791674880
1513342198,791674880
1513343098,791674880
1513343998,791674880
1513344898,791674880
1513345798,791674880
1513346698,791674880
1513347598,791674880
1513348498,791674880
1513349398,791674880
1513350298,791674880
1513351198,791674880
1513352098,791674880
1513352998,791674880
1513353898,791674880
1513354798,791674880
1513355698,791674880
1513356598,791674880
1513357498,791674880
1513358398,791674880
1513359298,791674880
1513360198,791674880
1513361098,791674880
1513361998,791674880
1513362898,791674880
1513363798,791674880
1513364698,791674880
1513365598,791674880
1513366498,791674880
1513367398,791674880
1513368298,791674880
1513369198,791674880
1513370098,791674880
1513370998,791674880
1513371898,791674880
1513372798,791674880
1513373698,791674880
1513374598,791674880
1513375498,791674880
1513376398,791674880
1513377298,791674880
1513378198,791674880
1513379098,791674880
1513379998,791674880
1513380898,791674880
1513381798,791674880
1513382698,791674880
1513383598,791674880
1513384498,791674880
1513385398,791674880
1513386298,791674880
1513387198,791674880
1513388098,791674880
1513388998,791674880
1513389898,791674880
1513390798,791674880
1513391698,791674880
1513392598,791674880
1513393498,791674880
1513394398,791674880
1513395298,791674880
1513396198,791674880
1513397098,791674880
1513397998,791674880
1513398898,791674880
1513399798,791674880
1513400698,791674880
1513401598,791674880
1513402498,791674880
1513403398,791674880
1513404298,791674880
1513405198,791674880
1513406098,791674880
1513406998,791674880
1513407898,791674880
1513408798,791674880
1513409698,791674880
1513410598,791674880
1513411498,791674880
1513412398,791674880
1513413298,791674880
1513414198,791674880
1513415098,791674880
1513415998,791674880
1513416898,791674880
1513417798,791674880
1513418698,791674880
1513419598,791674880
1513420498,791674880
1513421398,791674880
1513422298,791674880
1513423198,791674880
1513424098,791674880
1513424998,791674880
1513425898,791674880
1513426798,791674880
1513427698,791674880
1513428598,791674880
1513429498,791674880
1513430398,791674880
1513431298,791674880
1513432198,791674880
1513433098,791674880
1513433998,791674880
1513434898,791674880
1513435798,791674880
1513436698,791674880
1513437598,791674880
1513438498,791674880
1513439398,791674880
1513440298,791674880
1513441198,791674880
1513442098,791674880
1513442998,791674880
1513443898,791674880
1513444798,791674880
1513445698,791674880
1513446598,791674880
1513447498,791674880
1513448398,791674880
1513449298,791674880
1513450198,791674880
1513451098,791674880
1513451998,791674880
1513452898,791674880
