t,value
1513089954,2889913736
1513090854,1072759552
1513091754,1073283832
1513092654,1073283832
1513093554,1072759552
1513094454,1073283832
1513095354,1073283832
1513096254,1073283832
1513097154,1073283832
1513098054,1073283832
1513098954,1073283832
1513099854,1078330152
1513100754,1077805872
1513101654,1077805872
1513102554,1078330152
1513103454,1078330152
1513104354,1080370984
1513105254,1080370984
1513110998,204451176
1513111898,239314280
1513112798,239314280
1513113698,239838560
1513114598,239838560
1513115498,239838560
1513116398,239838560
1513117298,239838560
1513118198,239314280
1513119098,239838560
1513119998,239838560
1513120898,247311208
1513121798,251554664
1513122698,253138792
1513123598,258616672
1513124498,261157728
1513125398,264034656
1513126298,266148712
1513127198,271525728
1513128098,275483984
1513128998,276709736
1513129898,280068448
1513130798,285122400
1513131698,287727968
1513132598,289589608
1513133498,292111712
1513134398,294302056
1513135298,300395872
1513136198,302262632
1513137098,304845672
1513137998,307628896
1513138898,310541672
1513139798,312230760
1513140698,314481512
1513141598,317163872
1513142498,322112360
1513143398,324699496
1513144298,327523680
1513145198,332574568
1513146098,334896992
1513146998,337182568
1513147898,339550056
1513148798,344761696
1513149698,346634592
1513150598,349317992
1513151498,351248744
1513152398,356463456
1513153298,358379368
1513154198,360846176
1513155098,363990376
1513155998,366401384
1513156881,368678248
1513157781,372921192
1513158681,375229792
1513159581,378652520
1513160481,380592488
1513161381,382950240
1513162281,387084640
1513163181,388993888
1513164081,391697256
1513164981,394475360
1513165881,396820840
1513166781,400668512
1513167681,402073448
1513168581,406247272
1513169481,408845672
1513170381,414187360
1513171281,415813480
1513172181,421344608
1513173081,423290208
1513173981,425439072
1513174881,428271976
1513175781,430319456
1513176681,434243936
1513177581,437703008
1513178481,439683424
1513179381,443244384
1513180281,444856168
1513181181,447518568
1513182081,449219944
1513182981,453393248
1513183881,454223720
1513184781,457795936
1513185681,461573472
1513186581,463627104
1513187481,467688288
1513188381,469215584
1513189281,472839008
1513190181,475879784
1513191081,478348128
1513191981,442088296
1513192881,392670560
1513193781,392372768
1513194681,392146280
1513248006,163557216
1513248906,163032936
1513249806,194681184
1513250706,194681184
1513251606,194681184
1513252504,194681184
1513253404,194681184
1513254304,194156904
1513255204,194681184
1513256104,194156904
1513257004,194681184
1513257904,194156904
1513258804,206504808
1513259704,210035048
1513260604,212500328
1513261504,215023976
1513262404,219977568
1513263304,222802792
1513264206,225864040
1513265106,229192040
1513266006,232740192
1513267498,202878320
1513268398,246082400
1513269298,246082400
1513270198,246082400
1513271098,245558120
1513271998,246082400
1513272898,245558120
1513273798,246082400
1513274698,246082400
1513275598,246082400
1513276498,245558120
1513277398,245558120
1513278298,252528488
1513279198,256707432
1513280098,259275616
1513280998,261594472
1513281898,264982880
1513282798,267477856
1513283698,270616928
1513284598,273013608
1513285498,276010336
1513286398,280119648
1513287298,282812264
1513288198,286165352
1513289098,289837408
1513289998,292248416
1513290898,294386536
1513291798,300006760
1513292698,302487912
1513293598,306009952
1513294498,307648872
1513295398,310708064
1513296298,315426152
1513297198,318562152
1513298098,325370208
1513298998,327531360
1513299898,333267296
1513300798,335879008
1513301698,337797472
1513302598,340752224
1513303498,345084264
1513304398,347430248
1513305298,350707552
1513306198,357738848
1513307098,360905064
1513307998,364293480
1513308898,367136096
1513309798,372015456
1513310698,373469544
1513311598,375641960
1513312498,380904288
1513313398,383458656
1513314298,387792232
1513315198,390937440
1513316098,393224544
1513316998,398273376
1513317898,399766368
1513318798,404624232
1513319698,406615912
1513320598,409624424
1513321498,414075744
1513322398,416616288
1513323298,420886888
1513324198,424452960
1513325098,426964328
1513325998,431450472
1513326898,433978720
1513327798,438796640
1513328698,440535904
1513329598,443257192
1513330498,445570400
1513331398,449521504
1513332298,451213160
1513333198,455163240
1513334098,457945440
1513334998,461350240
1513335898,463053160
1513336798,466258792
1513337698,471072096
1513338598,472762728
1513339498,477180776
1513340398,479531360
1513341298,482000744
1513342198,486961504
1513343098,488311656
1513343998,399486312
1513344898,398962536
1513345798,398962536
1513346698,399486816
1513347598,398962536
1513348498,399486816
1513349398,399486816
1513350298,398962536
1513351198,399486816
1513352098,399943016
1513352998,401819488
1513353898,401690984
1513354798,403292520
1513355698,406127968
1513356598,411467624
