t,value
1513089954,268435456
1513090854,268435456
1513091754,268435456
1513092654,268435456
1513093554,268435456
1513094454,268435456
1513095354,268435456
1513096254,268435456
1513097154,268435456
1513098054,268435456
1513098954,268435456
1513099854,268435456
1513100754,268435456
1513101654,268435456
1513102554,268435456
1513103454,268435456
1513104354,268435456
1513105254,268435456
1513110998,268435456
1513111898,268435456
1513112798,268435456
1513113698,268435456
1513114598,268435456
1513115498,268435456
1513116398,268435456
1513117298,268435456
1513118198,268435456
1513119098,268435456
1513119998,268435456
1513120898,268435456
1513121798,268435456
1513122698,268435456
1513123598,268435456
1513124498,268435456
1513125398,268435456
1513126298,268435456
1513127198,268435456
1513128098,268435456
1513128998,268435456
1513129898,268435456
1513130798,268435456
1513131698,268435456
1513132598,268435456
1513133498,268435456
1513134398,268435456
1513135298,268435456
1513136198,268435456
1513137098,268435456
1513137998,268435456
1513138898,268435456
1513139798,268435456
1513140698,268435456
1513141598,268435456
1513142498,268435456
1513143398,268435456
1513144298,268435456
1513145198,268435456
1513146098,268435456
1513146998,268435456
1513147898,268435456
1513148798,268435456
1513149698,268435456
1513150598,268435456
1513151498,268435456
1513152398,268435456
1513153298,268435456
1513154198,268435456
1513155098,268435456
1513155998,268435456
1513156881,268435456
1513157781,268435456
1513158681,268435456
1513159581,268435456
1513160481,268435456
1513161381,268435456
1513162281,268435456
1513163181,268435456
1513164081,268435456
1513164981,268435456
1513165881,268435456
1513166781,268435456
1513167681,268435456
1513168581,268435456
1513169481,268435456
1513170381,268435456
1513171281,268435456
1513172181,268435456
1513173081,268435456
1513173981,268435456
1513174881,268435456
1513175781,268435456
1513176681,268435456
1513177581,268435456
1513178481,268435456
1513179381,268435456
1513180281,268435456
1513181181,268435456
1513182081,268435456
1513182981,268435456
1513183881,268435456
1513184781,268435456
1513185681,268435456
1513186581,268435456
1513187481,268435456
1513188381,268435456
1513189281,268435456
1513190181,268435456
1513191081,268435456
1513191981,268435456
1513192881,268435456
1513193781,268435456
1513194681,268435456
1513248006,268435456
1513248906,268435456
1513249806,268435456
1513250706,268435456
1513251606,268435456
1513252504,268435456
1513253404,268435456
1513254304,268435456
1513255204,268435456
1513256104,268435456
1513257004,268435456
1513257904,268435456
1513258804,268435456
1513259704,268435456
