t,value
1513089954,4551409664
1513090854,4555472896
1513091754,4557504512
1513092654,4558684160
1513093554,4560453632
1513094454,4561108992
1513095354,4562092032
1513096254,4562419712
1513097154,4563468288
1513098054,4564058112
1513098954,4564779008
1513099854,4568907776
1513100754,4569235456
1513101654,4569890816
1513102554,4570218496
1513103454,4570415104
1513104354,4570808320
1513105254,4571267072
1513110998,1305116672
1513111898,1308327936
1513112798,1311277056
1513113698,1313439744
1513114598,1314816000
1513115498,1315930112
1513116398,1316782080
1513117298,1317109760
1513118198,1318092800
1513119098,1318682624
1513119998,1319337984
1513120898,1319862272
1513121798,1320779776
1513122698,1321041920
1513123598,1323073536
1513124498,1323597824
1513125398,1323859968
1513126298,1324122112
1513127198,1325760512
1513128098,1325957120
1513128998,1326219264
1513129898,1326678016
1513130798,1326809088
1513131698,1326809088
1513132598,1327136768
1513133498,1327464448
1513134398,1327726592
1513135298,1327726592
1513136198,1327988736
1513137098,1328119808
1513137998,1328316416
1513138898,1328447488
1513139798,1328513024
1513140698,1328513024
1513141598,1329102848
1513142498,1329430528
1513143398,1329496064
1513144298,1329561600
1513145198,1329561600
1513146098,1329561600
1513146998,1329561600
1513147898,1329758208
1513148798,1329823744
1513149698,1329823744
1513150598,1329823744
1513151498,1329823744
1513152398,1329823744
1513153298,1329823744
1513154198,1329889280
1513155098,1329889280
1513155998,1329954816
1513156881,1330020352
1513157781,1330085888
1513158681,1330085888
1513159581,1330085888
1513160481,1330216960
1513161381,1330348032
1513162281,1330413568
1513163181,1330479104
1513164081,1330675712
1513164981,1330675712
1513165881,1330675712
1513166781,1330937856
1513167681,1331003392
1513168581,1331003392
1513169481,1331003392
1513170381,1331134464
1513171281,1331200000
1513172181,1331265536
1513173081,1331265536
1513173981,1331331072
1513174881,1331331072
1513175781,1331331072
1513176681,1331331072
1513177581,1331331072
1513178481,1331462144
1513179381,1331527680
1513180281,1331527680
1513181181,1331527680
1513182081,1331527680
1513182981,1331658752
1513183881,1331724288
1513184781,1331724288
1513185681,1331724288
1513186581,1331724288
1513187481,1331724288
1513188381,1331724288
1513189281,1331724288
1513190181,1331789824
1513191081,1331986432
1513191981,1331986432
1513192881,1332051968
1513193781,1332969472
1513194681,1333035008
1513248006,1293467648
1513248906,1296482304
1513249806,1299693568
1513250706,1301594112
1513251606,1303560192
