t,value
1513089954,1076297728
1513090854,1076297728
1513091754,1076297728
1513092654,1076297728
1513093554,1076297728
1513094454,1076297728
1513095354,1076297728
1513096254,1076297728
1513097154,1076297728
1513098054,1076297728
1513098954,1076297728
1513099854,1076297728
1513100754,1076297728
1513101654,1076297728
1513102554,1076297728
1513103454,1076297728
1513104354,1076297728
1513105254,1076297728
1513110998,1076297728
1513111898,1076297728
1513112798,1076297728
1513113698,1076297728
1513114598,1076297728
1513115498,1076297728
1513116398,1076297728
1513117298,1076297728
1513118198,1076297728
1513119098,1076297728
1513119998,1076297728
1513120898,1076297728
1513121798,1076297728
1513122698,1076297728
1513123598,1076297728
1513124498,1076297728
1513125398,1076297728
1513126298,1076297728
1513127198,1076297728
1513128098,1076297728
1513128998,1076297728
1513129898,1076297728
1513130798,1076297728
1513131698,1076297728
1513132598,1076297728
1513133498,1076297728
1513134398,1076297728
1513135298,1076297728
1513136198,1076297728
1513137098,1076297728
1513137998,1076297728
1513138898,1076297728
1513139798,1076297728
1513140698,1076297728
1513141598,1076297728
1513142498,1076297728
1513143398,1076297728
1513144298,1076297728
1513145198,1076297728
1513146098,1076297728
1513146998,1076297728
1513147898,1076297728
1513148798,1076297728
1513149698,1076297728
1513150598,1076297728
1513151498,1076297728
1513152398,1076297728
1513153298,1076297728
1513154198,1076297728
1513155098,1076297728
1513155998,1076297728
1513156881,1076297728
1513157781,1076297728
1513158681,1076297728
1513159581,1076297728
1513160481,1076297728
1513161381,1076297728
1513162281,1076297728
1513163181,1076297728
1513164081,1076297728
1513164981,1076297728
1513165881,1076297728
1513166781,1076297728
1513167681,1076297728
1513168581,1076297728
1513169481,1076297728
1513170381,1076297728
1513171281,1076297728
1513172181,1076297728
1513173081,1076297728
1513173981,1076297728
1513174881,1076297728
1513175781,1076297728
1513176681,1076297728
1513177581,1076297728
1513178481,1076297728
1513179381,1076297728
1513180281,1076297728
1513181181,1076297728
1513182081,1076297728
1513182981,1076297728
1513183881,1076297728
1513184781,1076297728
1513185681,1076297728
1513186581,1076297728
1513187481,1076297728
1513188381,1076297728
1513189281,1076297728
1513190181,1076297728
1513191081,1076297728
1513191981,1076297728
1513192881,1076297728
1513193781,1076297728
1513194681,1076297728
1513248006,1076297728
1513248906,1076297728
1513249806,1076297728
1513250706,1076297728
1513251606,1076297728
1513252504,1076297728
1513253404,1076297728
1513254304,1076297728
1513255204,1076297728
1513256104,1076297728
1513257004,1076297728
1513257904,1076297728
1513258804,1076297728
1513259704,1076297728
1513260604,1076297728
1513261504,1076297728
