t,value
1513089954,5888802816
1513090854,5888802816
1513091754,5888802816
1513092654,5888802816
1513093554,5888802816
1513094454,5888802816
1513095354,5888802816
1513096254,5888802816
1513097154,5888802816
1513098054,5888802816
1513098954,5888802816
1513099854,5888802816
1513100754,5888802816
1513101654,5888802816
1513102554,5888802816
1513103454,5888802816
1513104354,5888802816
1513105254,5888802816
1513110998,5888802816
1513111898,5888802816
1513112798,5888802816
1513113698,5888802816
1513114598,5888802816
1513115498,5888802816
1513116398,5888802816
1513117298,5888802816
1513118198,5888802816
1513119098,5888802816
1513119998,5888802816
1513120898,5888802816
1513121798,5888802816
1513122698,5888802816
1513123598,5888802816
1513124498,5888802816
1513125398,5888802816
1513126298,5888802816
1513127198,5888802816
1513128098,5888802816
1513128998,5888802816
1513129898,5888802816
1513130798,5888802816
1513131698,5888802816
1513132598,5888802816
1513133498,5888802816
1513134398,5888802816
1513135298,5888802816
1513136198,5888802816
1513137098,5888802816
1513137998,5888802816
1513138898,5888802816
1513139798,5888802816
1513140698,5888802816
1513141598,5888802816
1513142498,5888802816
1513143398,5888802816
1513144298,5888802816
1513145198,5888802816
1513146098,5888802816
1513146998,5888802816
1513147898,5888802816
1513148798,5888802816
1513149698,5888802816
1513150598,5888802816
1513151498,5888802816
1513152398,5888802816
1513153298,5888802816
1513154198,5888802816
1513155098,5888802816
1513155998,5888802816
1513156881,5888802816
1513157781,5888802816
1513158681,5888802816
1513159581,5888802816
1513160481,5888802816
1513161381,5888802816
1513162281,5888802816
1513163181,5888802816
1513164081,5888802816
1513164981,5888802816
1513165881,5888802816
1513166781,5888802816
1513167681,5888802816
1513168581,5888802816
1513169481,5888802816
1513170381,5888802816
1513171281,5888802816
1513172181,5888802816
1513173081,5888802816
1513173981,5888802816
1513174881,5888802816
1513175781,5888802816
1513176681,5888802816
1513177581,5888802816
1513178481,5888802816
1513179381,5888802816
1513180281,5888802816
1513181181,5888802816
1513182081,5888802816
1513182981,5888802816
1513183881,5888802816
1513184781,5888802816
1513185681,5888802816
1513186581,5888802816
1513187481,5888802816
1513188381,5888802816
1513189281,5888802816
1513190181,5888802816
1513191081,5888802816
1513191981,5888802816
1513192881,5888802816
1513193781,5888802816
1513194681,5888802816
1513248006,5888802816
1513248906,5888802816
1513249806,5888802816
1513250706,5888802816
1513251606,5888802816
1513252504,5888802816
1513253404,5888802816
1513254304,5888802816
1513255204,5888802816
1513256104,5888802816
1513257004,5888802816
1513257904,5888802816
1513258804,5888802816
1513259704,5888802816
1513260604,5888802816
1513261504,5888802816
1513262404,5888802816
1513263304,5888802816
1513264206,5888802816
1513265106,5888802816
1513266006,5888802816
1513267498,5888802816
1513268398,5888802816
1513269298,5888802816
1513270198,5888802816
1513271098,5888802816
1513271998,5888802816
1513272898,5888802816
1513273798,5888802816
1513274698,5888802816
1513275598,5888802816
1513276498,5888802816
1513277398,5888802816
1513278298,5888802816
1513279198,5888802816
1513280098,5888802816
1513280998,5888802816
1513281898,5888802816
1513282798,5888802816
1513283698,5888802816
1513284598,5888802816
1513285498,5888802816
1513286398,5888802816
1513287298,5888802816
1513288198,5888802816
1513289098,5888802816
1513289998,5888802816
1513290898,5888802816
1513291798,5888802816
1513292698,5888802816
1513293598,5888802816
1513294498,5888802816
1513295398,5888802816
1513296298,5888802816
1513297198,5888802816
1513298098,5888802816
1513298998,5888802816
1513299898,5888802816
1513300798,5888802816
1513301698,5888802816
1513302598,5888802816
1513303498,5888802816
1513304398,5888802816
1513305298,5888802816
1513306198,5888802816
1513307098,5888802816
1513307998,5888802816
1513308898,5888802816
1513309798,5888802816
1513310698,5888802816
1513311598,5888802816
1513312498,5888802816
1513313398,5888802816
1513314298,5888802816
1513315198,5888802816
1513316098,5888802816
1513316998,5888802816
1513317898,5888802816
1513318798,5888802816
1513319698,5888802816
1513320598,5888802816
1513321498,5888802816
1513322398,5888802816
1513323298,5888802816
1513324198,5888802816
1513325098,5888802816
1513325998,5888802816
1513326898,5888802816
1513327798,5888802816
1513328698,5888802816
1513329598,5888802816
1513330498,5888802816
1513331398,5888802816
1513332298,5888802816
1513333198,5888802816
1513334098,5888802816
1513334998,5888802816
1513335898,5888802816
1513336798,5888802816
1513337698,5888802816
1513338598,5888802816
1513339498,5888802816
1513340398,5888802816
1513341298,5888802816
1513342198,5888802816
1513343098,5888802816
1513343998,5888802816
1513344898,5888802816
1513345798,5888802816
1513346698,5888802816
1513347598,5888802816
1513348498,5888802816
1513349398,5888802816
1513350298,5888802816
1513351198,5888802816
1513352098,5888802816
1513352998,5888802816
1513353898,5888802816
1513354798,5888802816
1513355698,5888802816
1513356598,5888802816
1513357498,5888802816
1513358398,5888802816
1513359298,5888802816
1513360198,5888802816
1513361098,5888802816
1513361998,5888802816
1513362898,5888802816
1513363798,5888802816
1513364698,5888802816
1513365598,5888802816
1513366498,5888802816
1513367398,5888802816
1513368298,5888802816
