t,count
1515104961,0
1515105861,0
1515106761,0
1515107661,0
1515108561,0
1515109461,0
1515110361,0
1515111261,0
1515112161,0
1515113061,0
1515113961,0
1515114861,0
1515115761,0
1515116661,0
1515117561,0
1515118461,0
1515119361,0
1515120261,0
1515121161,0
1515122061,0
1515122961,0
1515123861,0
1515124761,0
1515125661,0
1515126561,0
1515127461,0
1515128361,0
1515129261,0
1515130161,0
1515131061,0
1515131961,0
1515132861,0
1515133761,0
1515134661,0
1515135561,0
1515136461,0
1515137361,0
1515138261,0
1515139161,0
1515140061,0
1515140961,0
1515141861,0
1515142761,0
1515143661,0
1515144561,0
1515145461,0
1515146361,0
1515147261,0
1515148161,0
1515149061,0
1515149961,0
1515150861,0
1515151761,0
1515152661,0
1515153561,0
1515154461,0
1515155361,0
1515156261,0
1515157161,0
1515158061,0
1515158961,0
1515159861,0
1515160761,0
1515161661,0
1515162561,0
1515163461,0
1515164361,0
1515165261,0
1515166161,0
1515167061,0
1515167961,0
1515168861,0
1515169761,0
1515170661,0
1515171561,0
1515172461,0
1515173361,0
1515174261,0
1515175161,0
1515176061,0
1515176961,0
1515177861,0
1515178761,0
1515179661,0
1515180561,0
1515181461,0
1515182361,0
1515183261,0
1515184161,0
1515185061,0
1515185961,0
1515186861,0
1515187761,0
1515188661,0
1515189561,0
1515190461,0
1515191361,0
1515192261,0
1515193161,0
1515194061,0
1515194961,0
1515195861,0
1515196761,0
1515197661,0
1515198561,0
1515199461,0
1515200361,0
1515201261,0
1515202161,0
1515203061,0
1515203961,0
1515204861,0
1515205761,0
1515206661,0
1515207561,0
1515208461,0
1515209361,0
1515210261,0
1515211161,0
1515212061,0
1515212961,0
1515213861,0
1515214761,0
1515215661,0
1515216561,0
1515217461,0
1515218361,0
1515219261,0
1515220161,0
1515221061,0
1515221961,0
1515222861,0
1515223761,0
1515224661,0
1515225561,0
1515226461,0
1515227361,0
1515228261,0
1515229161,0
1515230061,0
1515230961,0
1515231861,0
1515232761,0
1515233661,0
1515234561,0
1515235461,0
1515236361,0
1515237261,0
1515238161,0
1515239061,0
1515239961,0
1515240861,0
1515241761,0
1515242661,0
1515243561,0
1515244461,0
1515245361,0
1515246261,0
1515247161,0
1515248061,0
1515248961,0
1515249861,0
1515250761,0
1515251661,0
1515252561,0
1515253461,0
1515254361,0
1515255261,0
1515256161,0
1515257061,0
1515257961,0
1515258861,0
1515259761,0
1515260661,0
1515261561,0
1515262461,0
1515263361,0
1515264261,0
1515265161,0
1515266061,0
1515266961,0
1515267861,0
1515268761,0
1515269661,0
1515270561,0
1515271461,0
1515272361,0
1515273261,0
1515274161,0
1515275061,0
1515275961,0
1515276861,0
1515277761,0
1515278661,0
1515279561,0
1515280461,0
1515281361,0
1515282261,0
1515283161,0
1515284061,0
1515284961,0
1515285861,0
1515286761,0
1515287661,0
1515288561,0
1515289461,0
1515290361,0
1515291261,0
1515292161,0
1515293061,0
1515293961,0
1515294861,0
1515295761,0
1515296661,0
1515297561,0
1515298461,0
1515299361,0
1515300261,0
1515301161,0
1515302061,0
1515302961,0
1515303861,0
1515304761,0
1515305661,0
1515306561,0
1515307461,0
1515308361,0
1515309261,0
1515310161,0
1515311061,0
1515311961,0
1515312861,0
1515313761,0
1515314661,0
1515315561,0
1515316461,0
1515317361,0
1515318261,0
1515319161,0
1515320061,0
1515320961,0
1515321861,0
1515322761,0
1515323661,0
1515324561,0
1515325461,0
1515326361,0
1515327261,0
1515328161,0
1515329061,0
1515329961,0
1515330861,0
1515331761,0
1515332661,0
1515333561,0
1515334461,0
1515335361,0
1515336261,0
1515337161,0
1515338061,0
1515338961,0
1515339861,0
1515340761,0
1515341661,0
1515342561,0
1515343461,0
1515344361,0
1515345261,0
1515346161,0
1515347061,0
1515347961,0
1515348861,0
1515349761,0
1515350661,0
1515351561,0
1515352461,0
1515353361,0
1515354261,0
1515355161,0
1515356061,0
1515356961,0
1515357861,0
1515358761,0
1515359661,0
1515360561,0
1515361461,0
1515362361,0
1515363261,0
1515364161,0
1515365061,0
1515365961,0
1515366861,0
1515367761,0
1515368661,0
1515369561,0
1515370461,0
1515371361,0
1515372261,0
1515373161,0
1515374061,0
1515374961,0
1515375861,0
1515376761,0
1515377661,0
1515378561,0
1515379461,0
1515380361,0
1515381261,0
1515382161,0
1515383061,0
1515383961,0
1515384861,0
1515385761,0
1515386661,0
1515387561,0
1515388461,0
1515389361,0
1515390261,0
1515391161,0
1515392061,0
1515392961,0
1515393861,0
1515394761,0
1515395661,0
1515396561,0
1515397461,0
