t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit,duration_unit
1513089954,108,0.068000,0.007928,0.000000,0.001066,0.008000,0.008000,0.008000,0.008000,0.008000,0.008000,0.126557,0.000086,0.071268,0.216193,calls/second,seconds
1513090854,2,0.141000,0.006000,0.006000,0.000159,0.006000,0.006000,0.006000,0.006000,0.006000,0.006000,0.002224,0.000000,0.010295,0.074398,calls/second,seconds
1513091754,2,0.047000,0.006000,0.006000,0.000048,0.006000,0.006000,0.006000,0.006000,0.006000,0.006000,0.002224,0.000000,0.010295,0.074398,calls/second,seconds
1513092654,2,0.038000,0.007000,0.007000,0.000037,0.007000,0.007000,0.007000,0.007000,0.007000,0.007000,0.002224,0.000000,0.010295,0.074398,calls/second,seconds
1513093554,2,0.040000,0.008000,0.008000,0.000038,0.008000,0.008000,0.008000,0.008000,0.008000,0.008000,0.002224,0.000000,0.010295,0.074398,calls/second,seconds
1513094454,2,0.039000,0.006000,0.006000,0.000039,0.006000,0.006000,0.006000,0.006000,0.006000,0.006000,0.002224,0.000000,0.010295,0.074398,calls/second,seconds
1513095354,2,0.045000,0.006000,0.006000,0.000046,0.006000,0.006000,0.006000,0.006000,0.006000,0.006000,0.002224,0.000000,0.010295,0.074398,calls/second,seconds
1513096254,2,0.037000,0.006000,0.006000,0.000037,0.006000,0.006000,0.006000,0.006000,0.006000,0.006000,0.002224,0.000000,0.010295,0.074398,calls/second,seconds
1513097154,2,0.039000,0.006000,0.006000,0.000039,0.006000,0.006000,0.006000,0.006000,0.006000,0.006000,0.002224,0.000000,0.010295,0.074398,calls/second,seconds
1513098054,2,0.038000,0.006000,0.006000,0.000038,0.006000,0.006000,0.006000,0.006000,0.006000,0.006000,0.002224,0.000000,0.010295,0.074398,calls/second,seconds
1513098954,2,0.045000,0.006000,0.006000,0.000046,0.006000,0.006000,0.006000,0.006000,0.006000,0.006000,0.002224,0.000000,0.010295,0.074398,calls/second,seconds
1513099854,2,0.037000,0.006000,0.006000,0.000037,0.006000,0.006000,0.006000,0.006000,0.006000,0.006000,0.002224,0.000000,0.010295,0.074398,calls/second,seconds
1513100754,2,0.046000,0.006000,0.006000,0.000047,0.006000,0.006000,0.006000,0.006000,0.006000,0.006000,0.002224,0.000000,0.010295,0.074398,calls/second,seconds
1513101654,2,0.037000,0.006000,0.006000,0.000037,0.006000,0.006000,0.006000,0.006000,0.006000,0.006000,0.002224,0.000000,0.010295,0.074398,calls/second,seconds
1513102554,2,0.037000,0.006000,0.006000,0.000037,0.006000,0.006000,0.006000,0.006000,0.006000,0.006000,0.002224,0.000000,0.010295,0.074398,calls/second,seconds
1513103454,2,0.036000,0.006000,0.006000,0.000035,0.006000,0.006000,0.006000,0.006000,0.006000,0.006000,0.002224,0.000000,0.010295,0.074398,calls/second,seconds
1513104354,2,0.039000,0.006000,0.006000,0.000039,0.006000,0.006000,0.006000,0.006000,0.006000,0.006000,0.002224,0.000000,0.010295,0.074398,calls/second,seconds
1513105254,2,0.035000,0.006000,0.006000,0.000034,0.006000,0.006000,0.006000,0.006000,0.006000,0.006000,0.002224,0.000000,0.010295,0.074398,calls/second,seconds
1513110998,3,0.206000,0.205999,0.001000,0.000531,0.206000,0.206000,0.206000,0.206000,0.206000,0.206000,0.003578,0.000000,0.025148,0.159054,calls/second,seconds
