t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit,duration_unit
1513134398,1,0.006000,0.006000,0.006000,0.000000,0.006000,0.006000,0.006000,0.006000,0.006000,0.006000,0.002740,0.000496,0.060239,0.134064,calls/second,seconds
1513307098,1,0.003000,0.003000,0.003000,0.000000,0.003000,0.003000,0.003000,0.003000,0.003000,0.003000,0.003790,0.002853,0.085483,0.150654,calls/second,seconds
1513393498,1,0.002000,0.002000,0.002000,0.000000,0.002000,0.002000,0.002000,0.002000,0.002000,0.002000,0.003789,0.002853,0.085483,0.150654,calls/second,seconds
1513479898,1,0.002000,0.002000,0.002000,0.000000,0.002000,0.002000,0.002000,0.002000,0.002000,0.002000,0.003789,0.002853,0.085483,0.150654,calls/second,seconds
1513566298,1,0.002000,0.002000,0.002000,0.000000,0.002000,0.002000,0.002000,0.002000,0.002000,0.002000,0.003789,0.002853,0.085483,0.150654,calls/second,seconds
1513652698,1,0.002000,0.002000,0.002000,0.000000,0.002000,0.002000,0.002000,0.002000,0.002000,0.002000,0.003789,0.002853,0.085483,0.150654,calls/second,seconds
1513739373,1,0.005000,0.005000,0.005000,0.000000,0.005000,0.005000,0.005000,0.005000,0.005000,0.005000,0.001855,0.000029,0.034180,0.110989,calls/second,seconds
1513825773,1,0.005000,0.005000,0.005000,0.000000,0.005000,0.005000,0.005000,0.005000,0.005000,0.005000,0.001855,0.000029,0.034180,0.110989,calls/second,seconds
1513912173,1,0.004000,0.004000,0.004000,0.000000,0.004000,0.004000,0.004000,0.004000,0.004000,0.004000,0.001855,0.000029,0.034180,0.110989,calls/second,seconds
1513998573,1,0.002000,0.002000,0.002000,0.000000,0.002000,0.002000,0.002000,0.002000,0.002000,0.002000,0.001855,0.000029,0.034180,0.110989,calls/second,seconds
1514084973,1,0.003000,0.003000,0.003000,0.000000,0.003000,0.003000,0.003000,0.003000,0.003000,0.003000,0.001855,0.000029,0.034180,0.110989,calls/second,seconds
1514171373,1,0.002000,0.002000,0.002000,0.000000,0.002000,0.002000,0.002000,0.002000,0.002000,0.002000,0.001854,0.000029,0.034180,0.110989,calls/second,seconds
1514257773,1,0.003000,0.003000,0.003000,0.000000,0.003000,0.003000,0.003000,0.003000,0.003000,0.003000,0.001855,0.000029,0.034180,0.110989,calls/second,seconds
1514344173,1,0.003000,0.003000,0.003000,0.000000,0.003000,0.003000,0.003000,0.003000,0.003000,0.003000,0.001854,0.000029,0.034180,0.110989,calls/second,seconds
1514430573,1,0.004000,0.004000,0.004000,0.000000,0.004000,0.004000,0.004000,0.004000,0.004000,0.004000,0.001855,0.000029,0.034180,0.110989,calls/second,seconds
1514516973,1,0.003000,0.003000,0.003000,0.000000,0.003000,0.003000,0.003000,0.003000,0.003000,0.003000,0.001855,0.000029,0.034180,0.110989,calls/second,seconds
1514603373,1,0.005000,0.005000,0.005000,0.000000,0.005000,0.005000,0.005000,0.005000,0.005000,0.005000,0.001855,0.000029,0.034180,0.110989,calls/second,seconds
1514689773,1,0.004000,0.004000,0.004000,0.000000,0.004000,0.004000,0.004000,0.004000,0.004000,0.004000,0.001855,0.000029,0.034180,0.110989,calls/second,seconds
1514776173,1,0.004000,0.004000,0.004000,0.000000,0.004000,0.004000,0.004000,0.004000,0.004000,0.004000,0.001855,0.000029,0.034180,0.110989,calls/second,seconds
1514862573,1,0.004000,0.004000,0.004000,0.000000,0.004000,0.004000,0.004000,0.004000,0.004000,0.004000,0.001855,0.000029,0.034180,0.110989,calls/second,seconds
1514948973,1,0.005000,0.005000,0.005000,0.000000,0.005000,0.005000,0.005000,0.005000,0.005000,0.005000,0.001855,0.000029,0.034180,0.110989,calls/second,seconds
1515122061,1,0.005000,0.005000,0.005000,0.000000,0.005000,0.005000,0.005000,0.005000,0.005000,0.005000,0.001182,0.000000,0.012162,0.078648,calls/second,seconds
1515208461,1,0.005000,0.005000,0.005000,0.000000,0.005000,0.005000,0.005000,0.005000,0.005000,0.005000,0.001182,0.000000,0.012162,0.078648,calls/second,seconds
1515294861,1,0.004000,0.004000,0.004000,0.000000,0.004000,0.004000,0.004000,0.004000,0.004000,0.004000,0.001182,0.000000,0.012162,0.078648,calls/second,seconds
1515381261,1,0.004000,0.004000,0.004000,0.000000,0.004000,0.004000,0.004000,0.004000,0.004000,0.004000,0.001182,0.000000,0.012162,0.078648,calls/second,seconds
1515467661,1,0.004000,0.004000,0.004000,0.000000,0.004000,0.004000,0.004000,0.004000,0.004000,0.004000,0.001182,0.000000,0.012162,0.078648,calls/second,seconds
1515554061,1,0.004000,0.004000,0.004000,0.000000,0.004000,0.004000,0.004000,0.004000,0.004000,0.004000,0.001182,0.000000,0.012162,0.078648,calls/second,seconds
1515640461,1,0.005000,0.005000,0.005000,0.000000,0.005000,0.005000,0.005000,0.005000,0.005000,0.005000,0.001182,0.000000,0.012162,0.078648,calls/second,seconds
1515726861,1,0.005000,0.005000,0.005000,0.000000,0.005000,0.005000,0.005000,0.005000,0.005000,0.005000,0.001182,0.000000,0.012162,0.078648,calls/second,seconds
1515812618,1,0.002000,0.002000,0.002000,0.000000,0.002000,0.002000,0.002000,0.002000,0.002000,0.002000,0.005887,0.013897,0.117329,0.167426,calls/second,seconds
1515899018,1,0.004000,0.004000,0.004000,0.000000,0.004000,0.004000,0.004000,0.004000,0.004000,0.004000,0.005896,0.013897,0.117329,0.167426,calls/second,seconds
