t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit,duration_unit
1513091754,1,0.001000,0.001000,0.001000,0.000000,0.001000,0.001000,0.001000,0.001000,0.001000,0.001000,0.001171,0.000000,0.011961,0.078212,calls/second,seconds
1513092654,1,0.003000,0.003000,0.003000,0.000000,0.003000,0.003000,0.003000,0.003000,0.003000,0.003000,0.001806,0.000023,0.032513,0.109154,calls/second,seconds
1513093554,1,0.002000,0.002000,0.002000,0.000000,0.002000,0.002000,0.002000,0.002000,0.002000,0.002000,0.003941,0.003370,0.088380,0.152337,calls/second,seconds
1513095354,1,0.001000,0.001000,0.001000,0.000000,0.001000,0.001000,0.001000,0.001000,0.001000,0.001000,0.001171,0.000000,0.011961,0.078212,calls/second,seconds
1513096254,1,0.002000,0.002000,0.002000,0.000000,0.002000,0.002000,0.002000,0.002000,0.002000,0.002000,0.001806,0.000023,0.032513,0.109154,calls/second,seconds
1513097154,1,0.002000,0.002000,0.002000,0.000000,0.002000,0.002000,0.002000,0.002000,0.002000,0.002000,0.003941,0.003370,0.088380,0.152337,calls/second,seconds
1513098954,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.001171,0.000000,0.011961,0.078212,calls/second,seconds
1513099854,1,0.001000,0.001000,0.001000,0.000000,0.001000,0.001000,0.001000,0.001000,0.001000,0.001000,0.001806,0.000023,0.032513,0.109154,calls/second,seconds
1513100754,1,0.003000,0.003000,0.003000,0.000000,0.003000,0.003000,0.003000,0.003000,0.003000,0.003000,0.003940,0.003370,0.088380,0.152337,calls/second,seconds
1513102554,1,0.001000,0.001000,0.001000,0.000000,0.001000,0.001000,0.001000,0.001000,0.001000,0.001000,0.001171,0.000000,0.011961,0.078212,calls/second,seconds
1513103454,1,0.001000,0.001000,0.001000,0.000000,0.001000,0.001000,0.001000,0.001000,0.001000,0.001000,0.001806,0.000023,0.032513,0.109154,calls/second,seconds
1513104354,1,0.001000,0.001000,0.001000,0.000000,0.001000,0.001000,0.001000,0.001000,0.001000,0.001000,0.003940,0.003370,0.088380,0.152337,calls/second,seconds
1513112798,1,0.004000,0.004000,0.004000,0.000000,0.004000,0.004000,0.004000,0.004000,0.004000,0.004000,0.001183,0.000000,0.012162,0.078648,calls/second,seconds
1513113698,1,0.003000,0.003000,0.003000,0.000000,0.003000,0.003000,0.003000,0.003000,0.003000,0.003000,0.001834,0.000025,0.033060,0.109762,calls/second,seconds
1513114598,1,0.003000,0.003000,0.003000,0.000000,0.003000,0.003000,0.003000,0.003000,0.003000,0.003000,0.004081,0.003663,0.089866,0.153186,calls/second,seconds
1513116398,1,0.001000,0.001000,0.001000,0.000000,0.001000,0.001000,0.001000,0.001000,0.001000,0.001000,0.001183,0.000000,0.012162,0.078648,calls/second,seconds
1513117298,1,0.001000,0.001000,0.001000,0.000000,0.001000,0.001000,0.001000,0.001000,0.001000,0.001000,0.001834,0.000025,0.033060,0.109762,calls/second,seconds
1513118198,1,0.001000,0.001000,0.001000,0.000000,0.001000,0.001000,0.001000,0.001000,0.001000,0.001000,0.004080,0.003663,0.089866,0.153186,calls/second,seconds
1513119998,1,0.001000,0.001000,0.001000,0.000000,0.001000,0.001000,0.001000,0.001000,0.001000,0.001000,0.001183,0.000000,0.012162,0.078648,calls/second,seconds
1513120898,1,0.005000,0.005000,0.005000,0.000000,0.005000,0.005000,0.005000,0.005000,0.005000,0.005000,0.001834,0.000025,0.033060,0.109762,calls/second,seconds
1513121798,1,0.003000,0.003000,0.003000,0.000000,0.003000,0.003000,0.003000,0.003000,0.003000,0.003000,0.004080,0.003663,0.089866,0.153186,calls/second,seconds
1513123598,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.001183,0.000000,0.012162,0.078648,calls/second,seconds
1513124498,1,0.001000,0.001000,0.001000,0.000000,0.001000,0.001000,0.001000,0.001000,0.001000,0.001000,0.001835,0.000025,0.033060,0.109762,calls/second,seconds
1513125398,1,0.001000,0.001000,0.001000,0.000000,0.001000,0.001000,0.001000,0.001000,0.001000,0.001000,0.004080,0.003663,0.089866,0.153186,calls/second,seconds
