t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit,duration_unit
1513130798,1,0.808000,0.808000,0.808000,0.000000,0.808000,0.808000,0.808000,0.808000,0.808000,0.808000,0.002511,0.000301,0.054506,0.129669,calls/second,seconds
1513303498,1,0.898000,0.898000,0.898000,0.000000,0.898000,0.898000,0.898000,0.898000,0.898000,0.898000,0.003362,0.001592,0.076070,0.144907,calls/second,seconds
1513389898,1,0.711000,0.711000,0.711000,0.000000,0.711000,0.711000,0.711000,0.711000,0.711000,0.711000,0.003360,0.001592,0.076070,0.144907,calls/second,seconds
1513476298,1,0.689000,0.689000,0.689000,0.000000,0.689000,0.689000,0.689000,0.689000,0.689000,0.689000,0.003359,0.001592,0.076070,0.144907,calls/second,seconds
1513562698,1,0.744000,0.744000,0.744000,0.000000,0.744000,0.744000,0.744000,0.744000,0.744000,0.744000,0.003360,0.001592,0.076070,0.144907,calls/second,seconds
1513649098,1,0.764000,0.764000,0.764000,0.000000,0.764000,0.764000,0.764000,0.764000,0.764000,0.764000,0.003360,0.001592,0.076070,0.144907,calls/second,seconds
1513735773,1,0.852000,0.852000,0.852000,0.000000,0.852000,0.852000,0.852000,0.852000,0.852000,0.852000,0.001746,0.000016,0.030416,0.106755,calls/second,seconds
1513822173,1,0.514000,0.514000,0.514000,0.000000,0.514000,0.514000,0.514000,0.514000,0.514000,0.514000,0.001745,0.000016,0.030416,0.106755,calls/second,seconds
1513908573,1,0.559000,0.559000,0.559000,0.000000,0.559000,0.559000,0.559000,0.559000,0.559000,0.559000,0.001745,0.000016,0.030416,0.106755,calls/second,seconds
1513994973,1,0.790000,0.790000,0.790000,0.000000,0.790000,0.790000,0.790000,0.790000,0.790000,0.790000,0.001745,0.000016,0.030416,0.106755,calls/second,seconds
1514081373,1,1.083000,1.083000,1.083000,0.000000,1.083000,1.083000,1.083000,1.083000,1.083000,1.083000,0.001746,0.000016,0.030416,0.106755,calls/second,seconds
1514167773,1,0.852000,0.852000,0.852000,0.000000,0.852000,0.852000,0.852000,0.852000,0.852000,0.852000,0.001746,0.000016,0.030416,0.106755,calls/second,seconds
1514254173,1,0.822000,0.822000,0.822000,0.000000,0.822000,0.822000,0.822000,0.822000,0.822000,0.822000,0.001746,0.000016,0.030416,0.106755,calls/second,seconds
1514340573,1,1.006000,1.006000,1.006000,0.000000,1.006000,1.006000,1.006000,1.006000,1.006000,1.006000,0.001746,0.000016,0.030416,0.106755,calls/second,seconds
1514426973,1,0.621000,0.621000,0.621000,0.000000,0.621000,0.621000,0.621000,0.621000,0.621000,0.621000,0.001745,0.000016,0.030416,0.106755,calls/second,seconds
1514513373,1,0.820000,0.820000,0.820000,0.000000,0.820000,0.820000,0.820000,0.820000,0.820000,0.820000,0.001746,0.000016,0.030416,0.106755,calls/second,seconds
1514599773,1,0.801000,0.801000,0.801000,0.000000,0.801000,0.801000,0.801000,0.801000,0.801000,0.801000,0.001745,0.000016,0.030416,0.106755,calls/second,seconds
1514686173,1,0.734000,0.734000,0.734000,0.000000,0.734000,0.734000,0.734000,0.734000,0.734000,0.734000,0.001745,0.000016,0.030416,0.106755,calls/second,seconds
1514772573,1,0.793000,0.793000,0.793000,0.000000,0.793000,0.793000,0.793000,0.793000,0.793000,0.793000,0.001745,0.000016,0.030416,0.106755,calls/second,seconds
1514858973,1,1.465000,1.465000,1.465000,0.000000,1.465000,1.465000,1.465000,1.465000,1.465000,1.465000,0.001748,0.000016,0.030416,0.106755,calls/second,seconds
1514945373,1,0.642000,0.642000,0.642000,0.000000,0.642000,0.642000,0.642000,0.642000,0.642000,0.642000,0.001745,0.000016,0.030416,0.106755,calls/second,seconds
1515118461,1,1.016000,1.016000,1.016000,0.000000,1.016000,1.016000,1.016000,1.016000,1.016000,1.016000,0.001162,0.000000,0.011569,0.077348,calls/second,seconds
1515204861,1,0.930000,0.930000,0.930000,0.000000,0.930000,0.930000,0.930000,0.930000,0.930000,0.930000,0.001162,0.000000,0.011569,0.077348,calls/second,seconds
1515291261,1,0.976000,0.976000,0.976000,0.000000,0.976000,0.976000,0.976000,0.976000,0.976000,0.976000,0.001162,0.000000,0.011569,0.077348,calls/second,seconds
1515377661,1,0.704000,0.704000,0.704000,0.000000,0.704000,0.704000,0.704000,0.704000,0.704000,0.704000,0.001161,0.000000,0.011569,0.077348,calls/second,seconds
1515464061,1,0.759000,0.759000,0.759000,0.000000,0.759000,0.759000,0.759000,0.759000,0.759000,0.759000,0.001159,0.000000,0.011569,0.077348,calls/second,seconds
1515550461,1,0.693000,0.693000,0.693000,0.000000,0.693000,0.693000,0.693000,0.693000,0.693000,0.693000,0.001161,0.000000,0.011569,0.077348,calls/second,seconds
1515636861,1,0.851000,0.851000,0.851000,0.000000,0.851000,0.851000,0.851000,0.851000,0.851000,0.851000,0.001162,0.000000,0.011569,0.077348,calls/second,seconds
1515723261,1,0.681000,0.681000,0.681000,0.000000,0.681000,0.681000,0.681000,0.681000,0.681000,0.681000,0.001161,0.000000,0.011569,0.077348,calls/second,seconds
1515809018,1,0.828000,0.828000,0.828000,0.000000,0.828000,0.828000,0.828000,0.828000,0.828000,0.828000,0.004588,0.006039,0.099317,0.158378,calls/second,seconds
1515895418,1,0.751000,0.751000,0.751000,0.000000,0.751000,0.751000,0.751000,0.751000,0.751000,0.751000,0.004587,0.006039,0.099317,0.158378,calls/second,seconds
1515981818,1,1.008000,1.008000,1.008000,0.000000,1.008000,1.008000,1.008000,1.008000,1.008000,1.008000,0.004592,0.006039,0.099317,0.158378,calls/second,seconds
1516068169,1,0.970000,0.970000,0.970000,0.000000,0.970000,0.970000,0.970000,0.970000,0.970000,0.970000,0.005932,0.013897,0.117329,0.167426,calls/second,seconds
1516154569,1,0.850000,0.850000,0.850000,0.000000,0.850000,0.850000,0.850000,0.850000,0.850000,0.850000,0.005929,0.013897,0.117329,0.167426,calls/second,seconds
1516240969,1,0.825000,0.825000,0.825000,0.000000,0.825000,0.825000,0.825000,0.825000,0.825000,0.825000,0.005928,0.013897,0.117329,0.167426,calls/second,seconds
1516327369,1,0.893000,0.893000,0.893000,0.000000,0.893000,0.893000,0.893000,0.893000,0.893000,0.893000,0.005930,0.013897,0.117329,0.167426,calls/second,seconds
1516413769,1,0.898000,0.898000,0.898000,0.000000,0.898000,0.898000,0.898000,0.898000,0.898000,0.898000,0.005931,0.013897,0.117329,0.167426,calls/second,seconds
1516500169,1,0.793000,0.793000,0.793000,0.000000,0.793000,0.793000,0.793000,0.793000,0.793000,0.793000,0.005927,0.013897,0.117329,0.167426,calls/second,seconds
