t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit,duration_unit
1515104961,35,0.111000,0.010062,0.000000,0.022787,0.001000,0.003000,0.070000,0.070000,0.111000,0.111000,0.104097,0.010390,0.501932,0.992847,calls/second,seconds
1515115761,28,0.060000,0.005737,0.000000,0.014631,0.000000,0.001000,0.054000,0.060000,0.060000,0.060000,0.215072,0.238176,0.972692,1.239277,calls/second,seconds
1515116661,14,0.067000,0.005096,0.000000,0.017094,0.000000,0.001000,0.067000,0.067000,0.067000,0.067000,0.056252,0.051284,1.258121,2.144599,calls/second,seconds
1515158061,28,0.090000,0.006710,0.000000,0.018211,0.000000,0.001000,0.058000,0.090000,0.090000,0.090000,0.067794,0.002240,0.382502,0.907935,calls/second,seconds
1515158961,14,0.350000,0.024796,0.000000,0.089099,0.000000,0.001000,0.350000,0.350000,0.350000,0.350000,0.025161,0.000292,0.447663,1.519693,calls/second,seconds
1515159861,42,0.067000,0.005126,0.000000,0.016943,0.000000,0.001000,0.067000,0.067000,0.067000,0.067000,0.081691,0.004196,0.294526,0.824271,calls/second,seconds
1515169761,42,0.099000,0.006141,0.000000,0.021581,0.000000,0.000000,0.085000,0.085000,0.085000,0.099000,0.047876,0.000011,0.086888,0.549471,calls/second,seconds
1515170661,126,0.120000,0.006718,0.000000,0.017298,0.000000,0.001000,0.044000,0.071000,0.096000,0.096000,0.256277,0.206121,0.793504,1.740471,calls/second,seconds
1515194061,28,0.055000,0.004975,0.000000,0.012611,0.000000,0.001000,0.043000,0.055000,0.055000,0.055000,0.046080,0.000085,0.199515,0.730999,calls/second,seconds
1515194961,35,0.056000,0.005747,0.000000,0.013962,0.000000,0.001000,0.049000,0.050000,0.050000,0.056000,0.123691,0.074895,0.621629,1.058517,calls/second,seconds
1515195861,14,0.073000,0.005351,0.000000,0.018615,0.000000,0.001000,0.073000,0.073000,0.073000,0.073000,0.017560,0.000005,0.201148,1.163976,calls/second,seconds
