t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit,duration_unit
1513089954,31,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.050751,0.000033,0.040385,0.119324,calls/second,seconds
1515104961,58,0.011000,0.002498,0.000000,0.004156,0.000000,0.008000,0.011000,0.011000,0.011000,0.011000,0.172515,0.034609,1.975936,4.044661,calls/second,seconds
1515115761,29,0.003000,0.000138,0.000000,0.000571,0.000000,0.000000,0.001000,0.003000,0.003000,0.003000,0.222763,0.722184,3.823596,5.047883,calls/second,seconds
1515116661,29,0.007000,0.000586,0.000000,0.001377,0.000000,0.001000,0.003000,0.007000,0.007000,0.007000,0.116525,0.106231,2.606108,4.442384,calls/second,seconds
1515158061,29,0.030000,0.005655,0.000000,0.011124,0.000000,0.000000,0.030000,0.030000,0.030000,0.030000,0.070217,0.006791,1.503594,3.698243,calls/second,seconds
1515158961,29,0.003000,0.000379,0.000000,0.000847,0.000000,0.000000,0.003000,0.003000,0.003000,0.003000,0.052119,0.000606,0.927303,3.147935,calls/second,seconds
1515159861,58,0.004000,0.000681,0.000000,0.001385,0.000000,0.000000,0.004000,0.004000,0.004000,0.004000,0.112813,0.009097,1.119735,3.333809,calls/second,seconds
1515169761,58,0.011000,0.001410,0.000000,0.003119,0.000000,0.001000,0.010000,0.011000,0.011000,0.011000,0.066111,0.000022,0.331894,2.222429,calls/second,seconds
1515170661,87,0.015000,0.000608,0.000000,0.001899,0.000000,0.000000,0.004000,0.009000,0.011000,0.011000,0.176946,0.080011,1.267295,3.437963,calls/second,seconds
1515194061,29,0.006000,0.001586,0.000000,0.002221,0.000000,0.004000,0.006000,0.006000,0.006000,0.006000,0.047726,0.000263,0.784945,2.977819,calls/second,seconds
1515194961,58,0.009000,0.001889,0.000000,0.002727,0.001000,0.002000,0.009000,0.009000,0.009000,0.009000,0.204973,0.104250,2.379244,4.300445,calls/second,seconds
1515195861,29,0.006000,0.000552,0.000000,0.001452,0.000000,0.000000,0.004000,0.006000,0.006000,0.006000,0.036375,0.000011,0.416664,2.411093,calls/second,seconds
1519232958,29,0.003000,0.000517,0.000000,0.000815,0.000000,0.001000,0.002000,0.003000,0.003000,0.003000,0.129369,0.161141,2.832589,4.567514,calls/second,seconds
1519233858,58,0.007000,0.000324,0.000000,0.001082,0.000000,0.000000,0.002000,0.006000,0.007000,0.007000,0.107803,0.000989,1.010265,3.237419,calls/second,seconds
1519258158,29,0.005000,0.000862,0.000000,0.001456,0.000000,0.002000,0.004000,0.005000,0.005000,0.005000,0.045547,0.000160,0.710247,2.880195,calls/second,seconds
1519259058,58,0.003000,0.000350,0.000000,0.000751,0.000000,0.000000,0.002000,0.003000,0.003000,0.003000,0.065415,0.000003,0.314126,2.194005,calls/second,seconds
1519263558,58,0.005000,0.000707,0.000000,0.001233,0.000000,0.001000,0.003000,0.005000,0.005000,0.005000,0.098481,0.000441,0.855717,3.062665,calls/second,seconds
1519314858,29,0.028000,0.005276,0.000000,0.010068,0.000000,0.003000,0.027000,0.028000,0.028000,0.028000,0.064096,0.003487,1.315905,3.537476,calls/second,seconds
1519316658,29,0.002000,0.000172,0.000000,0.000460,0.000000,0.000000,0.001000,0.002000,0.002000,0.002000,0.035703,0.000009,0.396343,2.371241,calls/second,seconds
