t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit,duration_unit
1513089954,31,0.068000,0.006655,0.002000,0.012613,0.004000,0.006000,0.049000,0.068000,0.068000,0.068000,0.050750,0.000033,0.040385,0.119324,calls/second,seconds
1515104961,58,0.017000,0.008220,0.001000,0.004106,0.009000,0.011000,0.015000,0.017000,0.017000,0.017000,0.172513,0.034609,1.975936,4.044661,calls/second,seconds
1515115761,29,0.028000,0.006966,0.001000,0.008143,0.002000,0.009000,0.024000,0.028000,0.028000,0.028000,0.222752,0.722184,3.823596,5.047883,calls/second,seconds
1515116661,30,0.263000,0.016124,0.001000,0.046310,0.007000,0.010000,0.015000,0.263000,0.263000,0.263000,0.120537,0.109894,2.695974,4.595570,calls/second,seconds
1515158061,29,0.039000,0.015034,0.001000,0.012099,0.010000,0.027000,0.037000,0.039000,0.039000,0.039000,0.070210,0.006791,1.503594,3.698243,calls/second,seconds
1515158961,30,0.199000,0.014067,0.002000,0.034603,0.007000,0.011000,0.016000,0.199000,0.199000,0.199000,0.053916,0.000627,0.959278,3.256485,calls/second,seconds
1515159861,59,0.162000,0.011290,0.001000,0.028284,0.007000,0.010000,0.017000,0.162000,0.162000,0.162000,0.114756,0.009367,1.121196,3.334653,calls/second,seconds
1515169761,59,0.163000,0.017676,0.001000,0.027223,0.013000,0.016000,0.028000,0.163000,0.163000,0.163000,0.067250,0.000023,0.332334,2.222995,calls/second,seconds
1515170661,87,0.025000,0.010541,0.001000,0.005836,0.010000,0.014000,0.021000,0.024000,0.025000,0.025000,0.176943,0.080011,1.267295,3.437963,calls/second,seconds
1515194061,29,0.019000,0.008828,0.000000,0.005079,0.010000,0.012000,0.016000,0.019000,0.019000,0.019000,0.047725,0.000263,0.784945,2.977819,calls/second,seconds
1515194961,58,0.020000,0.010250,0.000000,0.004925,0.010000,0.014000,0.019000,0.020000,0.020000,0.020000,0.204968,0.104250,2.379244,4.300445,calls/second,seconds
1515195861,30,0.177000,0.014767,0.001000,0.030543,0.008000,0.014000,0.020000,0.177000,0.177000,0.177000,0.037629,0.000011,0.431032,2.494234,calls/second,seconds
1519232958,29,0.009000,0.004034,0.000000,0.002619,0.004000,0.006000,0.008000,0.009000,0.009000,0.009000,0.129367,0.161141,2.832589,4.567514,calls/second,seconds
1519233858,58,0.013000,0.003818,0.000000,0.002363,0.004000,0.005000,0.007000,0.012000,0.013000,0.013000,0.107802,0.000989,1.010265,3.237419,calls/second,seconds
1519258158,29,0.012000,0.002966,0.000000,0.002470,0.002000,0.004000,0.007000,0.012000,0.012000,0.012000,0.045547,0.000160,0.710247,2.880195,calls/second,seconds
1519259058,58,0.012000,0.003687,0.000000,0.002909,0.003000,0.004000,0.011000,0.012000,0.012000,0.012000,0.065415,0.000003,0.314126,2.194005,calls/second,seconds
1519263558,59,0.008000,0.002634,0.000000,0.002085,0.002000,0.004000,0.007000,0.008000,0.008000,0.008000,0.100178,0.000444,0.856291,3.063283,calls/second,seconds
1519314858,29,0.028000,0.005931,0.000000,0.008816,0.003000,0.004000,0.028000,0.028000,0.028000,0.028000,0.064091,0.003487,1.315905,3.537476,calls/second,seconds
1519316658,30,0.011000,0.003233,0.000000,0.002276,0.003000,0.004000,0.008000,0.011000,0.011000,0.011000,0.036934,0.000009,0.410010,2.453008,calls/second,seconds
