t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit,duration_unit
1513089954,7,0.003000,0.000341,0.000000,0.000514,0.000000,0.001000,0.001000,0.001000,0.001000,0.003000,0.008202,0.000003,0.013962,0.081253,calls/second,seconds
1513110998,38,0.006000,0.000285,0.000000,0.000987,0.000000,0.000000,0.001000,0.006000,0.006000,0.006000,0.045028,0.000007,0.457765,2.926633,calls/second,seconds
1513248006,38,0.001000,0.000107,0.000000,0.000309,0.000000,0.000000,0.001000,0.001000,0.001000,0.001000,0.045212,0.000007,0.457765,2.926633,calls/second,seconds
1513267498,38,0.004000,0.000263,0.000000,0.000710,0.000000,0.000000,0.001000,0.004000,0.004000,0.004000,0.047315,0.000013,0.536949,3.141860,calls/second,seconds
1515080661,38,0.009000,0.000388,0.000000,0.001456,0.000000,0.000000,0.002000,0.009000,0.009000,0.009000,0.045021,0.000007,0.457765,2.926633,calls/second,seconds
1515769897,38,0.002000,0.000211,0.000000,0.000470,0.000000,0.000000,0.001000,0.002000,0.002000,0.002000,0.045432,0.000007,0.465458,2.942938,calls/second,seconds
1515781585,38,0.005000,0.000208,0.000000,0.000857,0.000000,0.000000,0.002000,0.005000,0.005000,0.005000,0.046282,0.000009,0.489323,2.992398,calls/second,seconds
1515782918,38,0.005000,0.000341,0.000000,0.001150,0.000000,0.000000,0.005000,0.005000,0.005000,0.005000,0.045879,0.000009,0.494017,3.055787,calls/second,seconds
1516041169,38,0.001000,0.000184,0.000000,0.000388,0.000000,0.000000,0.001000,0.001000,0.001000,0.001000,0.044106,0.000005,0.439617,2.939232,calls/second,seconds
1516877847,38,0.009000,0.000385,0.000000,0.001445,0.000000,0.000000,0.002000,0.009000,0.009000,0.009000,0.045094,0.000005,0.299704,1.904239,calls/second,seconds
1517522958,38,0.001000,0.000078,0.000000,0.000269,0.000000,0.000000,0.001000,0.001000,0.001000,0.001000,0.044378,0.000005,0.447005,2.955606,calls/second,seconds
1519374973,38,0.002000,0.000182,0.000000,0.000503,0.000000,0.000000,0.002000,0.002000,0.002000,0.002000,0.044713,0.000006,0.462156,2.988629,calls/second,seconds
1519381976,38,0.001000,0.000052,0.000000,0.000222,0.000000,0.000000,0.001000,0.001000,0.001000,0.001000,0.044137,0.000005,0.439617,2.939232,calls/second,seconds
1519661541,38,0.002000,0.000263,0.000000,0.000495,0.000000,0.000000,0.001000,0.002000,0.002000,0.002000,0.045377,0.000007,0.477821,3.022022,calls/second,seconds
1519664145,38,0.001000,0.000105,0.000000,0.000307,0.000000,0.000000,0.001000,0.001000,0.001000,0.001000,0.045077,0.000007,0.457765,2.926633,calls/second,seconds
