t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit,duration_unit
1513089954,1,0.001000,0.001000,0.001000,0.000000,0.001000,0.001000,0.001000,0.001000,0.001000,0.001000,0.001171,0.000000,0.011961,0.078212,calls/second,seconds
1513110998,1,3.775000,3.775000,3.775000,0.000000,3.775000,3.775000,3.775000,3.775000,3.775000,3.775000,0.001190,0.000000,0.012366,0.079086,calls/second,seconds
1513248006,1,4.170000,4.170000,4.170000,0.000000,4.170000,4.170000,4.170000,4.170000,4.170000,4.170000,0.001196,0.000000,0.012574,0.079527,calls/second,seconds
1513267498,1,2.555000,2.555000,2.555000,0.000000,2.555000,2.555000,2.555000,2.555000,2.555000,2.555000,0.001249,0.000000,0.014130,0.082681,calls/second,seconds
1515080661,1,3.894000,3.894000,3.894000,0.000000,3.894000,3.894000,3.894000,3.894000,3.894000,3.894000,0.001190,0.000000,0.012366,0.079086,calls/second,seconds
1515769897,1,4.473000,4.473000,4.473000,0.000000,4.473000,4.473000,4.473000,4.473000,4.473000,4.473000,0.001202,0.000000,0.012786,0.079970,calls/second,seconds
1515781585,1,3.349000,3.349000,3.349000,0.000000,3.349000,3.349000,3.349000,3.349000,3.349000,3.349000,0.001223,0.000000,0.013441,0.081314,calls/second,seconds
1515782918,1,2.548000,2.548000,2.548000,0.000000,2.548000,2.548000,2.548000,2.548000,2.548000,2.548000,0.001211,0.000000,0.013000,0.080415,calls/second,seconds
1516041169,1,2.234000,2.234000,2.234000,0.000000,2.234000,2.234000,2.234000,2.234000,2.234000,2.234000,0.001164,0.000000,0.011763,0.077779,calls/second,seconds
1516877847,1,5.849000,5.849000,5.849000,0.000000,5.849000,5.849000,5.849000,5.849000,5.849000,5.849000,0.001195,0.000000,0.012574,0.079527,calls/second,seconds
1517522958,1,2.871000,2.871000,2.871000,0.000000,2.871000,2.871000,2.871000,2.871000,2.871000,2.871000,0.001172,0.000000,0.011961,0.078212,calls/second,seconds
1519374973,1,2.337000,2.337000,2.337000,0.000000,2.337000,2.337000,2.337000,2.337000,2.337000,2.337000,0.001180,0.000000,0.012162,0.078648,calls/second,seconds
1519381976,1,2.058000,2.058000,2.058000,0.000000,2.058000,2.058000,2.058000,2.058000,2.058000,2.058000,0.001164,0.000000,0.011763,0.077779,calls/second,seconds
1519661541,1,3.244000,3.244000,3.244000,0.000000,3.244000,3.244000,3.244000,3.244000,3.244000,3.244000,0.001199,0.000000,0.012786,0.079970,calls/second,seconds
1519664145,1,3.286000,3.286000,3.286000,0.000000,3.286000,3.286000,3.286000,3.286000,3.286000,3.286000,0.001191,0.000000,0.012574,0.079527,calls/second,seconds
