t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit,duration_unit
1513089954,19,0.049000,0.003776,0.000000,0.006103,0.000000,0.008000,0.017000,0.017000,0.017000,0.049000,0.022263,0.000008,0.041477,0.242881,calls/second,seconds
1513110998,4,0.016000,0.005389,0.001000,0.006313,0.003000,0.016000,0.016000,0.016000,0.016000,0.016000,0.004722,0.000000,0.012775,0.079963,calls/second,seconds
1513248006,4,0.010000,0.003331,0.001000,0.003943,0.001000,0.010000,0.010000,0.010000,0.010000,0.010000,0.004734,0.000000,0.013000,0.080415,calls/second,seconds
1513267498,4,0.003000,0.001282,0.000000,0.001085,0.001000,0.003000,0.003000,0.003000,0.003000,0.003000,0.004963,0.000000,0.014597,0.083597,calls/second,seconds
1515080661,3,0.009000,0.004667,0.002000,0.003091,0.003000,0.009000,0.009000,0.009000,0.009000,0.009000,0.003582,0.000001,0.037723,0.238581,calls/second,seconds
1515769897,4,0.005000,0.002299,0.001000,0.001652,0.002000,0.005000,0.005000,0.005000,0.005000,0.005000,0.004752,0.000000,0.013000,0.080415,calls/second,seconds
1515781585,4,0.009000,0.003582,0.001000,0.003221,0.002000,0.009000,0.009000,0.009000,0.009000,0.009000,0.004853,0.000000,0.013885,0.082215,calls/second,seconds
1515782918,4,0.007000,0.003308,0.001000,0.002278,0.003000,0.007000,0.007000,0.007000,0.007000,0.007000,0.004809,0.000000,0.013430,0.081306,calls/second,seconds
1516041169,4,0.004000,0.001528,0.000000,0.001500,0.001000,0.004000,0.004000,0.004000,0.004000,0.004000,0.004633,0.000000,0.012152,0.078641,calls/second,seconds
1516877847,3,0.005000,0.002667,0.001000,0.001700,0.002000,0.005000,0.005000,0.005000,0.005000,0.005000,0.003596,0.000001,0.038357,0.239910,calls/second,seconds
1517522958,4,0.004000,0.001774,0.001000,0.001313,0.001000,0.004000,0.004000,0.004000,0.004000,0.004000,0.004642,0.000000,0.012152,0.078641,calls/second,seconds
1519374973,4,0.004000,0.001819,0.000000,0.001466,0.002000,0.004000,0.004000,0.004000,0.004000,0.004000,0.004670,0.000000,0.012366,0.079086,calls/second,seconds
1519381976,4,0.003000,0.001273,0.000000,0.001086,0.001000,0.003000,0.003000,0.003000,0.003000,0.003000,0.004637,0.000001,0.046275,0.309393,calls/second,seconds
1519661541,4,0.004000,0.001819,0.000000,0.001466,0.002000,0.004000,0.004000,0.004000,0.004000,0.004000,0.004741,0.000000,0.013000,0.080415,calls/second,seconds
1519664145,4,0.010000,0.004374,0.000000,0.003750,0.005000,0.010000,0.010000,0.010000,0.010000,0.010000,0.004728,0.000000,0.012775,0.079963,calls/second,seconds
